id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
86673,defe41cc,2023/02/21 13:09:29,1,fedc20debletest0,,-86.0,5,,1676956174000
86679,defe41cc,2023/02/21 13:09:30,1,fedc20debletest0,,-84.0,3,,1676956174000
86770,defe41cc,2023/02/21 13:09:56,1,fedc20debletest0,,-80.5,3,,1676956200000
86815,defe41cc,2023/02/21 13:10:05,1,fedc20debletest0,,-81.5,3,,1676956214000
86820,defe41cc,2023/02/21 13:10:09,1,fedc20debletest0,,-96.0,5,,1676956214000
86871,defe41cc,2023/02/21 13:10:31,1,fedc20debletest0,,-85.0,5,,1676956240000
86875,defe41cc,2023/02/21 13:10:35,1,fedc20debletest0,,-82.0,3,,1676956240000
87133,defe41cc,2023/02/21 13:10:44,1,fedc20debletest0,,-84.0,3,,1676956253000
87225,defe41cc,2023/02/21 13:11:01,1,fedc20debletest0,,-86.0,5,,1676956266000
87229,defe41cc,2023/02/21 13:11:02,1,fedc20debletest0,,-83.0,3,,1676956266000
87260,defe41cc,2023/02/21 13:11:14,1,fedc20debletest0,,-75.0,2,,1676956279000
87265,defe41cc,2023/02/21 13:11:15,1,fedc20debletest0,,-76.0,3,,1676956279000
87315,defe41cc,2023/02/21 13:11:37,1,fedc20debletest0,,-88.0,5,,1676956305000
87312,defe41cc,2023/02/21 13:11:41,1,fedc20debletest0,,-82.4,3,,1676956305000
87393,defe41cc,2023/02/21 13:11:50,1,fedc20debletest0,,-78.5,3,,1676956318000
87635,defe41cc,2023/02/21 13:12:20,1,fedc20debletest0,,-82.0,3,,1676956345000
87638,defe41cc,2023/02/21 13:12:21,1,fedc20debletest0,,-80.0,3,,1676956345000
87778,defe41cc,2023/02/21 13:12:43,1,fedc20debletest0,,-79.5,3,,1676956371000
87783,defe41cc,2023/02/21 13:12:46,1,fedc20debletest0,,-94.2,5,,1676956371000
87792,defe41cc,2023/02/21 13:12:47,1,fedc20debletest0,,-96.5,5,,1676956371000
87854,defe41cc,2023/02/21 13:12:56,1,fedc20debletest0,,-85.33333333333333,5,,1676956384000
87856,defe41cc,2023/02/21 13:13:13,1,fedc20debletest0,,-65.66666666666667,2,,1676956397000
87899,defe41cc,2023/02/21 13:13:22,1,fedc20debletest0,,-82.8,3,,1676956410000
87896,defe41cc,2023/02/21 13:13:26,1,fedc20debletest0,,-72.57142857142857,2,,1676956410000
88086,defe41cc,2023/02/21 13:13:48,1,fedc20debletest0,,-67.0,2,,1676956436000
88085,defe41cc,2023/02/21 13:13:52,1,fedc20debletest0,,-68.5,2,,1676956436000
88280,defe41cc,2023/02/21 13:14:01,1,fedc20debletest0,,-65.6,2,,1676956450000
