id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
79811,defe41cc,2023/02/21 12:25:03,1,fedc20debletest0,,-84.0,3,,1676953512000
79899,defe41cc,2023/02/21 12:25:21,1,fedc20debletest0,,-96.0,5,,1676953525000
79972,defe41cc,2023/02/21 12:25:30,1,fedc20debletest0,,-82.0,3,,1676953538000
79973,defe41cc,2023/02/21 12:25:34,1,fedc20debletest0,,-98.42857142857144,5,,1676953538000
79996,defe41cc,2023/02/21 12:25:56,1,fedc20debletest0,,-92.16666666666669,5,,1676953565000
79998,defe41cc,2023/02/21 12:26:00,1,fedc20debletest0,,-95.0,5,,1676953565000
80068,defe41cc,2023/02/21 12:26:26,1,fedc20debletest0,,-83.16666666666667,3,,1676953591000
80088,defe41cc,2023/02/21 12:26:35,1,fedc20debletest0,,-91.0,5,,1676953604000
80087,defe41cc,2023/02/21 12:26:39,1,fedc20debletest0,,-89.11111111111111,5,,1676953604000
80310,defe41cc,2023/02/21 12:27:15,1,fedc20debletest0,,-93.25,5,,1676953643000
80313,defe41cc,2023/02/21 12:27:32,1,fedc20debletest0,,-92.0,5,,1676953657000
80328,defe41cc,2023/02/21 12:27:41,1,fedc20debletest0,,-91.0,5,,1676953670000
80430,defe41cc,2023/02/21 12:28:08,1,fedc20debletest0,,-96.0,5,,1676953696000
80419,defe41cc,2023/02/21 12:28:11,1,fedc20debletest0,,-91.57142857142856,5,,1676953696000
80599,defe41cc,2023/02/21 12:28:20,1,fedc20debletest0,,-97.0,5,,1676953709000
80673,defe41cc,2023/02/21 12:28:38,1,fedc20debletest0,,-80.0,3,,1676953722000
80696,defe41cc,2023/02/21 12:28:47,1,fedc20debletest0,,-81.45454545454545,3,,1676953735000
80694,defe41cc,2023/02/21 12:28:51,1,fedc20debletest0,,-87.2,5,,1676953735000
80723,defe41cc,2023/02/21 12:29:13,1,fedc20debletest0,,-87.33333333333333,5,,1676953762000
80721,defe41cc,2023/02/21 12:29:17,1,fedc20debletest0,,-83.0,3,,1676953762000
80752,defe41cc,2023/02/21 12:29:26,1,fedc20debletest0,,-85.88888888888889,5,,1676953775000
80860,defe41cc,2023/02/21 12:29:43,1,fedc20debletest0,,-86.57142857142857,5,,1676953788000
80869,defe41cc,2023/02/21 12:29:44,1,fedc20debletest0,,-86.0,5,,1676953788000
80981,defe41cc,2023/02/21 12:29:52,1,fedc20debletest0,,-79.16666666666667,3,,1676953801000
80985,defe41cc,2023/02/21 12:29:53,1,fedc20debletest0,,-79.4,3,,1676953801000
80977,defe41cc,2023/02/21 12:29:56,1,fedc20debletest0,,-95.0,5,,1676953801000
80980,defe41cc,2023/02/21 12:29:57,1,fedc20debletest0,,-84.0,3,,1676953801000
81063,defe41cc,2023/02/21 12:30:19,1,fedc20debletest0,,-97.0,5,,1676953827000
81064,defe41cc,2023/02/21 12:30:23,1,fedc20debletest0,,-89.76923076923077,5,,1676953827000
81117,defe41cc,2023/02/21 12:30:32,1,fedc20debletest0,,-86.42857142857143,5,,1676953841000
81121,defe41cc,2023/02/21 12:30:49,1,fedc20debletest0,,-80.2,3,,1676953854000
81140,defe41cc,2023/02/21 12:30:58,1,fedc20debletest0,,-85.58333333333333,5,,1676953867000
81142,defe41cc,2023/02/21 12:31:02,1,fedc20debletest0,,-76.66666666666667,3,,1676953867000
81157,defe41cc,2023/02/21 12:31:03,1,fedc20debletest0,,-80.33333333333333,3,,1676953867000
81394,defe41cc,2023/02/21 12:31:25,1,fedc20debletest0,,-76.71428571428571,3,,1676953893000
81427,defe41cc,2023/02/21 12:31:38,1,fedc20debletest0,,-89.16666666666667,5,,1676953906000
81429,defe41cc,2023/02/21 12:31:55,1,fedc20debletest0,,-76.3,3,,1676953919000
81537,defe41cc,2023/02/21 12:32:04,1,fedc20debletest0,,-78.22222222222223,3,,1676953933000
81535,defe41cc,2023/02/21 12:32:08,1,fedc20debletest0,,-83.0,3,,1676953933000
81564,defe41cc,2023/02/21 12:32:30,1,fedc20debletest0,,-69.08333333333333,2,,1676953959000
81569,defe41cc,2023/02/21 12:32:34,1,fedc20debletest0,,-68.71428571428571,2,,1676953959000
81666,defe41cc,2023/02/21 12:32:43,1,fedc20debletest0,,-80.4,3,,1676953972000
81771,defe41cc,2023/02/21 12:33:10,1,fedc20debletest0,,-80.0,3,,1676953998000
81768,defe41cc,2023/02/21 12:33:14,1,fedc20debletest0,,-60.0,1,,1676953998000
81865,defe41cc,2023/02/21 12:33:36,1,fedc20debletest0,,-77.22222222222223,3,,1676954025000
81862,defe41cc,2023/02/21 12:33:40,1,fedc20debletest0,,-64.84615384615384,1,,1676954025000
81896,defe41cc,2023/02/21 12:33:49,1,fedc20debletest0,,-67.0,2,,1676954038000
81899,defe41cc,2023/02/21 12:34:06,1,fedc20debletest0,,-81.55555555555556,3,,1676954051000
82098,defe41cc,2023/02/21 12:34:15,1,fedc20debletest0,,-102.66666666666669,5,,1676954064000
82111,defe41cc,2023/02/21 12:34:16,1,fedc20debletest0,,-99.0,5,,1676954064000
82096,defe41cc,2023/02/21 12:34:19,1,fedc20debletest0,,-86.1,5,,1676954064000
82133,defe41cc,2023/02/21 12:34:45,1,fedc20debletest0,,-78.85714285714286,3,,1676954090000
82140,defe41cc,2023/02/21 12:34:46,1,fedc20debletest0,,-81.75,3,,1676954090000
82230,defe41cc,2023/02/21 12:34:55,1,fedc20debletest0,,-84.77777777777777,3,,1676954103000
