id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
83295,fedc20de,2023/02/21 12:38:26,1,cb581061bletest0,,-77.6,3,,1676954353000
83297,fedc20de,2023/02/21 12:38:27,1,cb581061bletest0,,-75.66666666666667,2,,1676954353000
83299,fedc20de,2023/02/21 12:38:28,1,cb581061bletest0,,-69.85714285714286,2,,1676954353000
83302,fedc20de,2023/02/21 12:38:29,1,cb581061bletest0,,-75.0,2,,1676954353000
83303,fedc20de,2023/02/21 12:38:30,1,cb581061bletest0,,-75.0,2,,1676954353000
83306,fedc20de,2023/02/21 12:38:31,1,cb581061bletest0,,-74.42857142857143,2,,1676954353000
83307,fedc20de,2023/02/21 12:38:32,1,cb581061bletest0,,-74.0,2,,1676954353000
83309,fedc20de,2023/02/21 12:38:33,1,cb581061bletest0,,-66.28571428571429,2,,1676954353000
83312,fedc20de,2023/02/21 12:38:34,1,cb581061bletest0,,-75.2,2,,1676954353000
83313,fedc20de,2023/02/21 12:38:35,1,cb581061bletest0,,-69.25,2,,1676954353000
83315,fedc20de,2023/02/21 12:38:36,1,cb581061bletest0,,-74.0,2,,1676954353000
83317,fedc20de,2023/02/21 12:38:37,1,cb581061bletest0,,-79.23076923076923,3,,1676954353000
83319,fedc20de,2023/02/21 12:38:38,1,cb581061bletest0,,-74.22222222222223,2,,1676954353000
83322,fedc20de,2023/02/21 12:38:40,1,cb581061bletest0,,-65.375,2,,1676954353000
83325,fedc20de,2023/02/21 12:38:41,1,cb581061bletest0,,-71.4,2,,1676954353000
83327,fedc20de,2023/02/21 12:38:43,1,cb581061bletest0,,-74.75,2,,1676954353000
