id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
88090,defe41cc,2023/02/21 13:13:48,1,cb581061bletest0,,-83.0,3,,1676956436000
88093,defe41cc,2023/02/21 13:13:52,1,cb581061bletest0,,-78.0,3,,1676956436000
88331,defe41cc,2023/02/21 13:14:31,1,cb581061bletest0,,-78.0,3,,1676956476000
88622,defe41cc,2023/02/21 13:15:23,1,cb581061bletest0,,-73.0,2,,1676956528000
88629,defe41cc,2023/02/21 13:15:24,1,cb581061bletest0,,-77.75,3,,1676956528000
88794,defe41cc,2023/02/21 13:15:32,1,cb581061bletest0,,-74.0,2,,1676956541000
88803,defe41cc,2023/02/21 13:15:33,1,cb581061bletest0,,-83.66666666666667,3,,1676956541000
88793,defe41cc,2023/02/21 13:15:36,1,cb581061bletest0,,-85.0,5,,1676956541000
88801,defe41cc,2023/02/21 13:15:37,1,cb581061bletest0,,-81.0,3,,1676956541000
89225,defe41cc,2023/02/21 13:17:04,1,cb581061bletest0,,-84.0,3,,1676956633000
89237,defe41cc,2023/02/21 13:17:05,1,cb581061bletest0,,-78.0,3,,1676956633000
89223,defe41cc,2023/02/21 13:17:08,1,cb581061bletest0,,-74.0,2,,1676956633000
89239,defe41cc,2023/02/21 13:17:09,1,cb581061bletest0,,-79.66666666666667,3,,1676956633000
89489,defe41cc,2023/02/21 13:17:48,1,cb581061bletest0,,-78.5,3,,1676956673000
89834,defe41cc,2023/02/21 13:18:23,1,cb581061bletest0,,-77.0,3,,1676956712000
90198,defe41cc,2023/02/21 13:19:46,1,cb581061bletest0,,-79.0,3,,1676956791000
90375,defe41cc,2023/02/21 13:19:55,1,cb581061bletest0,,-75.0,2,,1676956804000
90594,defe41cc,2023/02/21 13:20:34,1,cb581061bletest0,,-74.0,2,,1676956843000
90597,defe41cc,2023/02/21 13:20:35,1,cb581061bletest0,,-79.0,3,,1676956843000
90921,defe41cc,2023/02/21 13:21:27,1,cb581061bletest0,,-83.66666666666667,3,,1676956896000
90923,defe41cc,2023/02/21 13:21:31,1,cb581061bletest0,,-79.0,3,,1676956896000
91152,defe41cc,2023/02/21 13:22:10,1,cb581061bletest0,,-72.0,2,,1676956935000
91162,defe41cc,2023/02/21 13:22:11,1,cb581061bletest0,,-72.0,2,,1676956935000
91421,defe41cc,2023/02/21 13:22:45,1,cb581061bletest0,,-74.0,2,,1676956974000
91425,defe41cc,2023/02/21 13:22:46,1,cb581061bletest0,,-75.0,2,,1676956974000
