"id","identity_code","ground_index","arrival_time"
"864","75909e89bletest0","1","2023/03/24 09:39:34"
"865","0926bde8bletest0","9","2023/03/24 09:39:38"
"866","fedc20debletest0","2","2023/03/24 09:39:38"
"867","dc32f1d2bletest0","10","2023/03/24 09:39:40"
"868","0926bde8bletest0","8","2023/03/24 09:41:02"
"869","75909e89bletest0","2","2023/03/24 09:41:03"
"870","fedc20debletest0","3","2023/03/24 09:41:02"
"871","dc32f1d2bletest0","9","2023/03/24 09:41:04"
"872","fedc20debletest0","4","2023/03/24 09:42:02"
"873","75909e89bletest0","1","2023/03/24 09:42:03"
"874","0926bde8bletest0","7","2023/03/24 09:43:02"
"875","75909e89bletest0","2","2023/03/24 09:43:03"
"876","fedc20debletest0","5","2023/03/24 09:43:03"
"877","dc32f1d2bletest0","8","2023/03/24 09:43:05"
"878","75909e89bletest0","3","2023/03/24 09:44:03"
"879","0926bde8bletest0","6","2023/03/24 09:45:02"
"880","75909e89bletest0","4","2023/03/24 09:45:03"
"881","dc32f1d2bletest0","7","2023/03/24 09:45:04"
"882","fedc20debletest0","4","2023/03/24 09:45:04"
"883","75909e89bletest0","5","2023/03/24 09:46:02"
"884","fedc20debletest0","3","2023/03/24 09:47:03"
"885","fedc20debletest0","4","2023/03/24 09:48:02"
"886","0926bde8bletest0","5","2023/03/24 09:48:03"
"887","75909e89bletest0","6","2023/03/24 09:48:03"
"888","dc32f1d2bletest0","6","2023/03/24 09:48:04"
"889","75909e89bletest0","7","2023/03/24 09:49:02"
"890","fedc20debletest0","5","2023/03/24 09:49:03"
"891","0926bde8bletest0","4","2023/03/24 09:49:03"
"892","dc32f1d2bletest0","5","2023/03/24 09:49:08"
"893","75909e89bletest0","8","2023/03/24 09:50:02"
"894","fedc20debletest0","6","2023/03/24 09:50:02"
"895","0926bde8bletest0","3","2023/03/24 09:50:02"
"896","dc32f1d2bletest0","4","2023/03/24 09:50:06"
"897","75909e89bletest0","9","2023/03/24 09:51:02"
"898","0926bde8bletest0","2","2023/03/24 09:51:02"
"899","dc32f1d2bletest0","3","2023/03/24 09:51:06"
"900","75909e89bletest0","10","2023/03/24 09:52:02"
"901","fedc20debletest0","7","2023/03/24 09:52:02"
"902","fedc20debletest0","8","2023/03/24 09:53:03"
"903","0926bde8bletest0","1","2023/03/24 09:53:03"
"904","dc32f1d2bletest0","2","2023/03/24 09:53:06"
"905","75909e89bletest0","9","2023/03/24 09:54:03"
"906","0926bde8bletest0","2","2023/03/24 09:55:02"
"907","fedc20debletest0","9","2023/03/24 09:55:02"
"908","dc32f1d2bletest0","1","2023/03/24 09:55:03"
"909","75909e89bletest0","8","2023/03/24 09:56:02"
"910","0926bde8bletest0","3","2023/03/24 09:56:02"
"911","fedc20debletest0","10","2023/03/24 09:56:03"
"912","dc32f1d2bletest0","2","2023/03/24 09:56:04"
