"id","identity_code","ground_index","arrival_time"
"1281","e6208a42bletest0","1","2023/04/27 21:03:03"
"1282","dc32f1d2bletest0","10","2023/04/27 21:03:03"
"1283","defe41ccbletest0","10","2023/04/27 21:03:06"
"1287","e6208a42bletest0","2","2023/04/27 21:04:07"
"1290","dc32f1d2bletest0","9","2023/04/27 21:06:04"
"1291","e6208a42bletest0","3","2023/04/27 21:06:07"
"1292","defe41ccbletest0","9","2023/04/27 21:06:09"
"1296","e6208a42bletest0","4","2023/04/27 21:09:00"
"1299","defe41ccbletest0","8","2023/04/27 21:09:12"
"1300","dc32f1d2bletest0","8","2023/04/27 21:09:12"
"1303","e6208a42bletest0","5","2023/04/27 21:11:00"
"1307","defe41ccbletest0","9","2023/04/27 21:12:05"
"1308","dc32f1d2bletest0","7","2023/04/27 21:12:09"
"1311","dc32f1d2bletest0","8","2023/04/27 21:14:08"
"1312","defe41ccbletest0","10","2023/04/27 21:14:11"
"1314","e6208a42bletest0","6","2023/04/27 21:16:00"
"1316","dc32f1d2bletest0","9","2023/04/27 21:16:05"
"1317","defe41ccbletest0","9","2023/04/27 21:16:00"
"1321","defe41ccbletest0","8","2023/04/27 21:17:00"
"1322","e6208a42bletest0","5","2023/04/27 21:17:00"
"1323","dc32f1d2bletest0","10","2023/04/27 21:18:02"
"1324","defe41ccbletest0","7","2023/04/27 21:18:04"
"1325","e6208a42bletest0","4","2023/04/27 21:18:14"
