"id","identity_code","ground_index","arrival_time"
"1105","defe41ccbletest0","1","2023/04/27 20:00:01"
"1108","dc32f1d2bletest0","10","2023/04/27 20:00:05"
"1109","e6208a42bletest0","1","2023/04/27 20:00:07"
"1114","dc32f1d2bletest0","9","2023/04/27 20:02:07"
"1115","defe41ccbletest0","2","2023/04/27 20:02:12"
"1116","e6208a42bletest0","3","2023/04/27 20:03:34"
"1119","dc32f1d2bletest0","8","2023/04/27 20:04:07"
"1120","defe41ccbletest0","3","2023/04/27 20:04:08"
"1122","defe41ccbletest0","4","2023/04/27 20:05:15"
"1123","e6208a42bletest0","2","2023/04/27 20:06:03"
"1126","dc32f1d2bletest0","7","2023/04/27 20:06:08"
"1127","dc32f1d2bletest0","0","2023/04/27 20:06:09"
"1130","dc32f1d2bletest0","6","2023/04/27 20:08:04"
"1132","e6208a42bletest0","3","2023/04/27 20:08:09"
"1133","defe41ccbletest0","5","2023/04/27 20:08:12"
"1137","dc32f1d2bletest0","5","2023/04/27 20:10:05"
"1138","defe41ccbletest0","6","2023/04/27 20:10:08"
"1139","e6208a42bletest0","4","2023/04/27 20:10:11"
"1141","dc32f1d2bletest0","4","2023/04/27 20:12:03"
"1144","defe41ccbletest0","7","2023/04/27 20:12:07"
"1145","e6208a42bletest0","5","2023/04/27 20:12:08"
"1148","dc32f1d2bletest0","3","2023/04/27 20:14:04"
"1149","defe41ccbletest0","6","2023/04/27 20:14:09"
"1150","e6208a42bletest0","4","2023/04/27 20:14:10"
