"id","identity_code","ground_index","arrival_time"
"1161","0926bde8bletest0","10","2023/04/27 20:21:01"
"1162","164732b9bletest0","2","2023/04/27 20:21:04"
"1166","f69de6fcbletest0","1","2023/04/27 20:21:17"
"1167","0926bde8bletest0","10","2023/04/27 20:22:01"
"1168","f69de6fcbletest0","1","2023/04/27 20:22:03"
"1169","164732b9bletest0","2","2023/04/27 20:22:03"
"1172","0926bde8bletest0","9","2023/04/27 20:24:02"
"1173","164732b9bletest0","3","2023/04/27 20:24:06"
"1174","f69de6fcbletest0","2","2023/04/27 20:24:06"
"1178","164732b9bletest0","4","2023/04/27 20:26:03"
"1179","f69de6fcbletest0","3","2023/04/27 20:26:03"
"1183","0926bde8bletest0","8","2023/04/27 20:28:02"
"1184","164732b9bletest0","5","2023/04/27 20:28:02"
"1188","f69de6fcbletest0","4","2023/04/27 20:29:02"
"1189","164732b9bletest0","6","2023/04/27 20:30:02"
"1190","f69de6fcbletest0","5","2023/04/27 20:31:02"
"1193","0926bde8bletest0","7","2023/04/27 20:32:04"
"1194","164732b9bletest0","7","2023/04/27 20:32:05"
"1196","f69de6fcbletest0","6","2023/04/27 20:33:01"
"1199","164732b9bletest0","8","2023/04/27 20:34:01"
"1200","0926bde8bletest0","6","2023/04/27 20:34:03"
"1201","f69de6fcbletest0","7","2023/04/27 20:34:02"
"1205","0926bde8bletest0","5","2023/04/27 20:36:02"
"1209","f69de6fcbletest0","8","2023/04/27 20:37:03"
"1210","164732b9bletest0","9","2023/04/27 20:37:04"
"1211","0926bde8bletest0","4","2023/04/27 20:38:02"
"1212","f69de6fcbletest0","7","2023/04/27 20:38:02"
"1213","164732b9bletest0","10","2023/04/27 20:38:05"
