"id","identity_code","ground_index","arrival_time"
"818","fedc20debletest0","9","2023/03/24 09:15:46"
"819","dc32f1d2bletest0","1","2023/03/24 09:15:47"
"820","75909e89bletest0","10","2023/03/24 09:15:48"
"821","0926bde8bletest0","2","2023/03/24 09:15:51"
"822","fedc20debletest0","8","2023/03/24 09:17:04"
"823","0926bde8bletest0","3","2023/03/24 09:17:06"
"824","75909e89bletest0","9","2023/03/24 09:17:13"
"825","dc32f1d2bletest0","2","2023/03/24 09:18:02"
"826","fedc20debletest0","7","2023/03/24 09:18:03"
"827","75909e89bletest0","8","2023/03/24 09:19:03"
"828","0926bde8bletest0","4","2023/03/24 09:20:02"
"829","dc32f1d2bletest0","3","2023/03/24 09:20:05"
"830","fedc20debletest0","8","2023/03/24 09:20:07"
"831","75909e89bletest0","7","2023/03/24 09:21:02"
"832","75909e89bletest0","6","2023/03/24 09:22:02"
"833","0926bde8bletest0","5","2023/03/24 09:22:03"
"834","fedc20debletest0","9","2023/03/24 09:22:03"
"835","dc32f1d2bletest0","4","2023/03/24 09:22:06"
"836","75909e89bletest0","5","2023/03/24 09:23:02"
"837","fedc20debletest0","8","2023/03/24 09:23:03"
"838","0926bde8bletest0","6","2023/03/24 09:24:02"
"839","75909e89bletest0","4","2023/03/24 09:24:03"
"840","fedc20debletest0","7","2023/03/24 09:24:03"
"841","dc32f1d2bletest0","5","2023/03/24 09:24:09"
"842","fedc20debletest0","6","2023/03/24 09:25:02"
"843","75909e89bletest0","3","2023/03/24 09:25:03"
"844","0926bde8bletest0","7","2023/03/24 09:25:02"
"845","0926bde8bletest0","8","2023/03/24 09:26:02"
"846","75909e89bletest0","4","2023/03/24 09:26:04"
"847","dc32f1d2bletest0","6","2023/03/24 09:26:04"
"848","0926bde8bletest0","9","2023/03/24 09:27:02"
"849","fedc20debletest0","5","2023/03/24 09:27:03"
"850","75909e89bletest0","3","2023/03/24 09:27:04"
"851","dc32f1d2bletest0","7","2023/03/24 09:27:08"
"852","0926bde8bletest0","10","2023/03/24 09:28:02"
"853","fedc20debletest0","4","2023/03/24 09:28:03"
"854","75909e89bletest0","2","2023/03/24 09:28:04"
"855","dc32f1d2bletest0","8","2023/03/24 09:28:05"
"856","75909e89bletest0","1","2023/03/24 09:29:02"
"857","fedc20debletest0","3","2023/03/24 09:29:02"
"858","dc32f1d2bletest0","9","2023/03/24 09:29:03"
"859","fedc20debletest0","2","2023/03/24 09:30:02"
"860","0926bde8bletest0","9","2023/03/24 09:31:02"
"861","fedc20debletest0","1","2023/03/24 09:31:03"
"862","75909e89bletest0","2","2023/03/24 09:31:03"
"863","dc32f1d2bletest0","10","2023/03/24 09:31:06"
