"id","identity_code","ground_index","arrival_time"
"1007","75909e89bletest0","2","2023/03/24 10:46:01"
"1008","dc32f1d2bletest0","10","2023/03/24 10:46:02"
"1009","0926bde8bletest0","9","2023/03/24 10:46:02"
"1010","fedc20debletest0","1","2023/03/24 10:46:12"
"1011","0926bde8bletest0","8","2023/03/24 10:48:02"
"1012","75909e89bletest0","3","2023/03/24 10:48:02"
"1013","fedc20debletest0","2","2023/03/24 10:48:03"
"1014","dc32f1d2bletest0","9","2023/03/24 10:48:10"
"1015","75909e89bletest0","4","2023/03/24 10:49:02"
"1016","0926bde8bletest0","7","2023/03/24 10:49:03"
"1017","75909e89bletest0","5","2023/03/24 10:50:02"
"1018","dc32f1d2bletest0","8","2023/03/24 10:50:03"
"1019","0926bde8bletest0","6","2023/03/24 10:50:03"
"1020","fedc20debletest0","3","2023/03/24 10:50:03"
"1021","fedc20debletest0","4","2023/03/24 10:51:02"
"1022","75909e89bletest0","6","2023/03/24 10:51:05"
"1023","fedc20debletest0","5","2023/03/24 10:52:02"
"1024","75909e89bletest0","7","2023/03/24 10:52:03"
"1025","0926bde8bletest0","5","2023/03/24 10:52:02"
"1026","dc32f1d2bletest0","7","2023/03/24 10:52:03"
"1027","75909e89bletest0","8","2023/03/24 10:53:03"
"1028","fedc20debletest0","6","2023/03/24 10:53:04"
"1029","fedc20debletest0","7","2023/03/24 10:54:02"
"1030","75909e89bletest0","9","2023/03/24 10:54:03"
"1031","dc32f1d2bletest0","6","2023/03/24 10:54:03"
"1032","0926bde8bletest0","4","2023/03/24 10:54:23"
"1033","75909e89bletest0","10","2023/03/24 10:55:02"
"1034","fedc20debletest0","8","2023/03/24 10:55:02"
"1035","0926bde8bletest0","3","2023/03/24 10:55:38"
"1036","dc32f1d2bletest0","5","2023/03/24 10:56:03"
"1037","75909e89bletest0","9","2023/03/24 10:57:02"
"1038","fedc20debletest0","9","2023/03/24 10:57:03"
"1039","0926bde8bletest0","2","2023/03/24 10:57:04"
"1040","0926bde8bletest0","1","2023/03/24 10:58:02"
"1041","fedc20debletest0","10","2023/03/24 10:58:04"
"1042","dc32f1d2bletest0","4","2023/03/24 10:58:04"
"1043","75909e89bletest0","8","2023/03/24 10:59:03"
"1044","fedc20debletest0","9","2023/03/24 10:59:03"
