id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
99835,fedc20de,2023/03/24 09:15:10,1,75909e89bletest0,,-60.0,1,,1679620554000
99836,fedc20de,2023/03/24 09:15:11,1,75909e89bletest0,,-60.0,1,,1679620554000
99840,fedc20de,2023/03/24 09:15:12,1,75909e89bletest0,,-50.0,1,,1679620554000
99846,fedc20de,2023/03/24 09:15:13,1,75909e89bletest0,,-57.0,1,,1679620554000
99850,fedc20de,2023/03/24 09:15:14,1,75909e89bletest0,,-51.0,1,,1679620554000
99854,fedc20de,2023/03/24 09:15:15,1,75909e89bletest0,,-78.0,3,,1679620554000
99856,fedc20de,2023/03/24 09:15:16,1,75909e89bletest0,,-55.0,1,,1679620554000
99862,fedc20de,2023/03/24 09:15:17,1,75909e89bletest0,,-61.0,1,,1679620554000
100084,fedc20de,2023/03/24 09:15:59,1,75909e89bletest0,,-68.0,2,,1679620638000
100085,fedc20de,2023/03/24 09:16:00,1,75909e89bletest0,,-64.0,1,,1679620638000
100093,fedc20de,2023/03/24 09:16:02,1,75909e89bletest0,,-71.0,2,,1679620638000
100101,fedc20de,2023/03/24 09:16:04,1,75909e89bletest0,,-63.0,1,,1679620638000
100112,fedc20de,2023/03/24 09:16:05,1,75909e89bletest0,,-61.0,1,,1679620638000
100120,fedc20de,2023/03/24 09:16:06,1,75909e89bletest0,,-64.0,1,,1679620638000
100109,fedc20de,2023/03/24 09:16:47,1,75909e89bletest0,,-70.0,2,,1679620638000
100117,fedc20de,2023/03/24 09:16:48,1,75909e89bletest0,,-62.0,1,,1679620638000
100462,fedc20de,2023/03/24 09:17:34,1,75909e89bletest0,,-70.0,2,,1679620740000
100466,fedc20de,2023/03/24 09:17:35,1,75909e89bletest0,,-57.0,1,,1679620740000
100785,fedc20de,2023/03/24 09:19:07,1,75909e89bletest0,,-60.5,1,,1679620831000
100796,fedc20de,2023/03/24 09:19:10,1,75909e89bletest0,,-57.5,1,,1679620831000
100805,fedc20de,2023/03/24 09:19:11,1,75909e89bletest0,,-46.0,1,,1679620831000
100808,fedc20de,2023/03/24 09:19:12,1,75909e89bletest0,,-60.0,1,,1679620831000
100816,fedc20de,2023/03/24 09:19:13,1,75909e89bletest0,,-56.0,1,,1679620831000
100826,fedc20de,2023/03/24 09:19:14,1,75909e89bletest0,,-54.0,1,,1679620831000
100829,fedc20de,2023/03/24 09:19:15,1,75909e89bletest0,,-55.0,1,,1679620831000
