id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
103947,7.5909e+93,2023/03/24 09:40:11,1,fedc20debletest0,,-75.33333333333333,2,,1679622054000
103956,7.5909e+93,2023/03/24 09:40:12,1,fedc20debletest0,,-86.0,5,,1679622054000
103962,7.5909e+93,2023/03/24 09:40:13,1,fedc20debletest0,,-72.0,2,,1679622054000
103967,7.5909e+93,2023/03/24 09:40:14,1,fedc20debletest0,,-78.5,3,,1679622054000
103970,7.5909e+93,2023/03/24 09:40:15,1,fedc20debletest0,,-73.0,2,,1679622054000
103973,7.5909e+93,2023/03/24 09:40:16,1,fedc20debletest0,,-74.5,2,,1679622054000
103979,7.5909e+93,2023/03/24 09:40:17,1,fedc20debletest0,,-80.0,3,,1679622054000
103985,7.5909e+93,2023/03/24 09:40:18,1,fedc20debletest0,,-79.0,3,,1679622054000
103988,7.5909e+93,2023/03/24 09:40:19,1,fedc20debletest0,,-78.0,3,,1679622054000
103991,7.5909e+93,2023/03/24 09:40:20,1,fedc20debletest0,,-79.0,3,,1679622054000
103994,7.5909e+93,2023/03/24 09:40:22,1,fedc20debletest0,,-74.0,2,,1679622054000
103997,7.5909e+93,2023/03/24 09:40:23,1,fedc20debletest0,,-72.0,2,,1679622054000
104000,7.5909e+93,2023/03/24 09:40:24,1,fedc20debletest0,,-73.0,2,,1679622054000
104002,7.5909e+93,2023/03/24 09:40:26,1,fedc20debletest0,,-81.0,3,,1679622054000
104120,7.5909e+93,2023/03/24 09:40:58,1,fedc20debletest0,,-73.33333333333333,2,,1679622126000
104123,7.5909e+93,2023/03/24 09:40:59,1,fedc20debletest0,,-70.5,2,,1679622126000
104126,7.5909e+93,2023/03/24 09:41:00,1,fedc20debletest0,,-75.5,2,,1679622126000
104130,7.5909e+93,2023/03/24 09:41:01,1,fedc20debletest0,,-72.0,2,,1679622126000
104134,7.5909e+93,2023/03/24 09:41:02,1,fedc20debletest0,,-81.0,3,,1679622126000
104137,7.5909e+93,2023/03/24 09:41:03,1,fedc20debletest0,,-75.0,2,,1679622126000
104141,7.5909e+93,2023/03/24 09:41:04,1,fedc20debletest0,,-83.0,3,,1679622126000
104145,7.5909e+93,2023/03/24 09:41:05,1,fedc20debletest0,,-70.0,2,,1679622126000
104148,7.5909e+93,2023/03/24 09:41:06,1,fedc20debletest0,,-72.0,2,,1679622126000
104152,7.5909e+93,2023/03/24 09:41:07,1,fedc20debletest0,,-74.5,2,,1679622126000
104119,7.5909e+93,2023/03/24 09:41:28,1,fedc20debletest0,,-76.5,3,,1679622126000
104131,7.5909e+93,2023/03/24 09:41:29,1,fedc20debletest0,,-76.0,3,,1679622126000
