id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
104122,7.5909e+93,2023/03/24 09:41:28,1,0926bde8bletest0,,-77.0,3,,1679622126000
104127,7.5909e+93,2023/03/24 09:41:29,1,0926bde8bletest0,,-69.5,2,,1679622126000
104139,7.5909e+93,2023/03/24 09:41:30,1,0926bde8bletest0,,-73.33333333333333,2,,1679622126000
104427,7.5909e+93,2023/03/24 09:42:10,1,0926bde8bletest0,,-75.0,2,,1679622217000
104434,7.5909e+93,2023/03/24 09:42:12,1,0926bde8bletest0,,-78.5,3,,1679622217000
104442,7.5909e+93,2023/03/24 09:42:13,1,0926bde8bletest0,,-82.0,3,,1679622217000
104453,7.5909e+93,2023/03/24 09:42:14,1,0926bde8bletest0,,-81.0,3,,1679622217000
104457,7.5909e+93,2023/03/24 09:42:15,1,0926bde8bletest0,,-80.0,3,,1679622217000
104469,7.5909e+93,2023/03/24 09:42:16,1,0926bde8bletest0,,-83.0,3,,1679622217000
104424,7.5909e+93,2023/03/24 09:42:55,1,0926bde8bletest0,,-80.5,3,,1679622217000
104432,7.5909e+93,2023/03/24 09:42:56,1,0926bde8bletest0,,-81.5,3,,1679622217000
104440,7.5909e+93,2023/03/24 09:42:57,1,0926bde8bletest0,,-77.5,3,,1679622217000
104447,7.5909e+93,2023/03/24 09:42:58,1,0926bde8bletest0,,-78.0,3,,1679622217000
104455,7.5909e+93,2023/03/24 09:42:59,1,0926bde8bletest0,,-87.0,5,,1679622217000
104462,7.5909e+93,2023/03/24 09:43:00,1,0926bde8bletest0,,-81.0,3,,1679622217000
104470,7.5909e+93,2023/03/24 09:43:01,1,0926bde8bletest0,,-79.0,3,,1679622217000
104474,7.5909e+93,2023/03/24 09:43:02,1,0926bde8bletest0,,-69.75,2,,1679622217000
104484,7.5909e+93,2023/03/24 09:43:03,1,0926bde8bletest0,,-76.0,3,,1679622217000
104488,7.5909e+93,2023/03/24 09:43:04,1,0926bde8bletest0,,-73.0,2,,1679622217000
104716,7.5909e+93,2023/03/24 09:43:41,1,0926bde8bletest0,,-74.0,2,,1679622303000
104720,7.5909e+93,2023/03/24 09:43:42,1,0926bde8bletest0,,-75.66666666666667,2,,1679622303000
104732,7.5909e+93,2023/03/24 09:43:43,1,0926bde8bletest0,,-70.5,2,,1679622303000
104740,7.5909e+93,2023/03/24 09:43:44,1,0926bde8bletest0,,-71.0,2,,1679622303000
104743,7.5909e+93,2023/03/24 09:43:45,1,0926bde8bletest0,,-69.66666666666667,2,,1679622303000
104751,7.5909e+93,2023/03/24 09:43:46,1,0926bde8bletest0,,-70.33333333333333,2,,1679622303000
104758,7.5909e+93,2023/03/24 09:43:47,1,0926bde8bletest0,,-76.66666666666667,3,,1679622303000
104768,7.5909e+93,2023/03/24 09:43:48,1,0926bde8bletest0,,-71.66666666666667,2,,1679622303000
104774,7.5909e+93,2023/03/24 09:43:49,1,0926bde8bletest0,,-73.0,2,,1679622303000
104778,7.5909e+93,2023/03/24 09:43:50,1,0926bde8bletest0,,-69.0,2,,1679622303000
104780,7.5909e+93,2023/03/24 09:43:51,1,0926bde8bletest0,,-75.0,2,,1679622303000
104782,7.5909e+93,2023/03/24 09:43:52,1,0926bde8bletest0,,-80.5,3,,1679622303000
104783,7.5909e+93,2023/03/24 09:43:53,1,0926bde8bletest0,,-71.5,2,,1679622303000
104787,7.5909e+93,2023/03/24 09:43:54,1,0926bde8bletest0,,-68.0,2,,1679622303000
104745,7.5909e+93,2023/03/24 09:44:30,1,0926bde8bletest0,,-64.5,1,,1679622303000
104753,7.5909e+93,2023/03/24 09:44:31,1,0926bde8bletest0,,-67.0,2,,1679622303000
104763,7.5909e+93,2023/03/24 09:44:32,1,0926bde8bletest0,,-70.0,2,,1679622303000
104769,7.5909e+93,2023/03/24 09:44:33,1,0926bde8bletest0,,-67.0,2,,1679622303000
105027,7.5909e+93,2023/03/24 09:45:11,1,0926bde8bletest0,,-60.0,1,,1679622390000
105031,7.5909e+93,2023/03/24 09:45:12,1,0926bde8bletest0,,-58.0,1,,1679622390000
105043,7.5909e+93,2023/03/24 09:45:13,1,0926bde8bletest0,,-62.0,1,,1679622390000
105049,7.5909e+93,2023/03/24 09:45:14,1,0926bde8bletest0,,-59.0,1,,1679622390000
105052,7.5909e+93,2023/03/24 09:45:15,1,0926bde8bletest0,,-74.0,2,,1679622390000
105060,7.5909e+93,2023/03/24 09:45:16,1,0926bde8bletest0,,-59.5,1,,1679622390000
105066,7.5909e+93,2023/03/24 09:45:17,1,0926bde8bletest0,,-62.0,1,,1679622390000
105070,7.5909e+93,2023/03/24 09:45:19,1,0926bde8bletest0,,-68.0,2,,1679622390000
105073,7.5909e+93,2023/03/24 09:45:20,1,0926bde8bletest0,,-63.0,1,,1679622390000
105074,7.5909e+93,2023/03/24 09:45:21,1,0926bde8bletest0,,-66.0,2,,1679622390000
105034,7.5909e+93,2023/03/24 09:45:59,1,0926bde8bletest0,,-64.5,1,,1679622390000
105042,7.5909e+93,2023/03/24 09:46:00,1,0926bde8bletest0,,-62.66666666666666,1,,1679622390000
105048,7.5909e+93,2023/03/24 09:46:01,1,0926bde8bletest0,,-58.0,1,,1679622390000
105054,7.5909e+93,2023/03/24 09:46:02,1,0926bde8bletest0,,-57.0,1,,1679622390000
105057,7.5909e+93,2023/03/24 09:46:03,1,0926bde8bletest0,,-53.0,1,,1679622390000
105064,7.5909e+93,2023/03/24 09:46:04,1,0926bde8bletest0,,-54.0,1,,1679622390000
105396,7.5909e+93,2023/03/24 09:46:49,1,0926bde8bletest0,,-52.66666666666666,1,,1679622486000
105400,7.5909e+93,2023/03/24 09:46:50,1,0926bde8bletest0,,-55.0,1,,1679622486000
105403,7.5909e+93,2023/03/24 09:46:51,1,0926bde8bletest0,,-53.0,1,,1679622486000
5,4,2,1,1
