id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
103881,0926bde8,2023/03/24 09:40:03,1,75909e89bletest0,,-73.0,2,,1679622045000
103886,0926bde8,2023/03/24 09:40:04,1,75909e89bletest0,,-73.0,2,,1679622045000
103889,0926bde8,2023/03/24 09:40:05,1,75909e89bletest0,,-76.0,3,,1679622045000
103893,0926bde8,2023/03/24 09:40:06,1,75909e89bletest0,,-75.0,2,,1679622045000
103899,0926bde8,2023/03/24 09:40:07,1,75909e89bletest0,,-76.0,3,,1679622045000
103914,0926bde8,2023/03/24 09:40:09,1,75909e89bletest0,,-73.5,2,,1679622045000
104188,0926bde8,2023/03/24 09:40:49,1,75909e89bletest0,,-72.0,2,,1679622137000
104194,0926bde8,2023/03/24 09:40:50,1,75909e89bletest0,,-74.5,2,,1679622137000
104209,0926bde8,2023/03/24 09:40:51,1,75909e89bletest0,,-83.0,3,,1679622137000
104213,0926bde8,2023/03/24 09:40:52,1,75909e89bletest0,,-75.0,2,,1679622137000
104587,0926bde8,2023/03/24 09:42:36,1,75909e89bletest0,,-85.0,5,,1679622235000
104870,0926bde8,2023/03/24 09:44:11,1,75909e89bletest0,,-62.0,1,,1679622322000
104878,0926bde8,2023/03/24 09:44:12,1,75909e89bletest0,,-63.0,1,,1679622322000
104860,0926bde8,2023/03/24 09:44:52,1,75909e89bletest0,,-66.0,2,,1679622322000
104871,0926bde8,2023/03/24 09:44:53,1,75909e89bletest0,,-72.5,2,,1679622322000
104888,0926bde8,2023/03/24 09:44:55,1,75909e89bletest0,,-63.0,1,,1679622322000
104891,0926bde8,2023/03/24 09:44:56,1,75909e89bletest0,,-80.0,3,,1679622322000
104894,0926bde8,2023/03/24 09:44:57,1,75909e89bletest0,,-65.0,1,,1679622322000
105165,0926bde8,2023/03/24 09:45:38,1,75909e89bletest0,,-52.0,1,,1679622428000
105173,0926bde8,2023/03/24 09:45:39,1,75909e89bletest0,,-57.0,1,,1679622428000
105101,0926bde8,2023/03/24 09:46:17,1,75909e89bletest0,,-49.5,1,,1679622428000
105114,0926bde8,2023/03/24 09:46:19,1,75909e89bletest0,,-46.0,1,,1679622428000
105127,0926bde8,2023/03/24 09:46:21,1,75909e89bletest0,,-43.0,1,,1679622428000
105135,0926bde8,2023/03/24 09:46:22,1,75909e89bletest0,,-48.0,1,,1679622428000
105143,0926bde8,2023/03/24 09:46:23,1,75909e89bletest0,,-43.0,1,,1679622428000
105155,0926bde8,2023/03/24 09:46:26,1,75909e89bletest0,,-48.0,1,,1679622428000
105167,0926bde8,2023/03/24 09:46:27,1,75909e89bletest0,,-49.0,1,,1679622428000
105409,0926bde8,2023/03/24 09:47:13,1,75909e89bletest0,,-50.0,1,,1679622528000
105417,0926bde8,2023/03/24 09:47:15,1,75909e89bletest0,,-47.0,1,,1679622528000
105426,0926bde8,2023/03/24 09:47:16,1,75909e89bletest0,,-48.0,1,,1679622528000
105438,0926bde8,2023/03/24 09:47:17,1,75909e89bletest0,,-46.0,1,,1679622528000
105451,0926bde8,2023/03/24 09:47:18,1,75909e89bletest0,,-48.0,1,,1679622528000
105459,0926bde8,2023/03/24 09:47:19,1,75909e89bletest0,,-48.0,1,,1679622528000
105471,0926bde8,2023/03/24 09:47:21,1,75909e89bletest0,,-46.0,1,,1679622528000
105416,0926bde8,2023/03/24 09:47:58,1,75909e89bletest0,,-48.0,1,,1679622528000
105425,0926bde8,2023/03/24 09:47:59,1,75909e89bletest0,,-51.0,1,,1679622528000
105436,0926bde8,2023/03/24 09:48:00,1,75909e89bletest0,,-49.0,1,,1679622528000
105452,0926bde8,2023/03/24 09:48:02,1,75909e89bletest0,,-70.0,2,,1679622528000
105474,0926bde8,2023/03/24 09:48:03,1,75909e89bletest0,,-76.0,3,,1679622528000
105482,0926bde8,2023/03/24 09:48:04,1,75909e89bletest0,,-69.0,2,,1679622528000
6,7,5,4,2,1,1,1
