id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
107939,fedc20de,2023/03/24 10:06:07,1,dc32f1d2bletest0,,-41.5,1,,1679623610000
107943,fedc20de,2023/03/24 10:06:08,1,dc32f1d2bletest0,,-52.0,1,,1679623610000
107947,fedc20de,2023/03/24 10:06:09,1,dc32f1d2bletest0,,-62.0,1,,1679623610000
107951,fedc20de,2023/03/24 10:06:10,1,dc32f1d2bletest0,,-62.0,1,,1679623610000
107955,fedc20de,2023/03/24 10:06:12,1,dc32f1d2bletest0,,-50.0,1,,1679623610000
107958,fedc20de,2023/03/24 10:06:13,1,dc32f1d2bletest0,,-57.333333333333336,1,,1679623610000
107967,fedc20de,2023/03/24 10:06:15,1,dc32f1d2bletest0,,-64.5,1,,1679623610000
107973,fedc20de,2023/03/24 10:06:16,1,dc32f1d2bletest0,,-72.0,2,,1679623610000
107982,fedc20de,2023/03/24 10:06:18,1,dc32f1d2bletest0,,-77.33333333333333,3,,1679623610000
107988,fedc20de,2023/03/24 10:06:19,1,dc32f1d2bletest0,,-70.75,2,,1679623610000
107994,fedc20de,2023/03/24 10:06:20,1,dc32f1d2bletest0,,-70.66666666666667,2,,1679623610000
108002,fedc20de,2023/03/24 10:06:21,1,dc32f1d2bletest0,,-64.0,1,,1679623610000
108195,fedc20de,2023/03/24 10:06:54,1,dc32f1d2bletest0,,-44.5,1,,1679623696000
108197,fedc20de,2023/03/24 10:06:55,1,dc32f1d2bletest0,,-44.0,1,,1679623696000
108201,fedc20de,2023/03/24 10:06:56,1,dc32f1d2bletest0,,-48.0,1,,1679623696000
108205,fedc20de,2023/03/24 10:06:57,1,dc32f1d2bletest0,,-47.5,1,,1679623696000
108209,fedc20de,2023/03/24 10:06:58,1,dc32f1d2bletest0,,-45.0,1,,1679623696000
108214,fedc20de,2023/03/24 10:06:59,1,dc32f1d2bletest0,,-49.0,1,,1679623696000
108218,fedc20de,2023/03/24 10:07:00,1,dc32f1d2bletest0,,-48.0,1,,1679623696000
108222,fedc20de,2023/03/24 10:07:01,1,dc32f1d2bletest0,,-46.0,1,,1679623696000
108230,fedc20de,2023/03/24 10:07:02,1,dc32f1d2bletest0,,-46.0,1,,1679623696000
108234,fedc20de,2023/03/24 10:07:03,1,dc32f1d2bletest0,,-56.66666666666666,1,,1679623696000
108241,fedc20de,2023/03/24 10:07:04,1,dc32f1d2bletest0,,-68.0,2,,1679623696000
108247,fedc20de,2023/03/24 10:07:05,1,dc32f1d2bletest0,,-68.0,2,,1679623696000
108250,fedc20de,2023/03/24 10:07:06,1,dc32f1d2bletest0,,-65.0,1,,1679623696000
108259,fedc20de,2023/03/24 10:07:07,1,dc32f1d2bletest0,,-70.0,2,,1679623696000
108202,fedc20de,2023/03/24 10:07:46,1,dc32f1d2bletest0,,-73.0,2,,1679623696000
108206,fedc20de,2023/03/24 10:07:47,1,dc32f1d2bletest0,,-75.5,2,,1679623696000
108217,fedc20de,2023/03/24 10:07:49,1,dc32f1d2bletest0,,-65.0,1,,1679623696000
108225,fedc20de,2023/03/24 10:07:50,1,dc32f1d2bletest0,,-64.0,1,,1679623696000
108229,fedc20de,2023/03/24 10:07:51,1,dc32f1d2bletest0,,-72.5,2,,1679623696000
108546,fedc20de,2023/03/24 10:08:32,1,dc32f1d2bletest0,,-69.0,2,,1679623788000
108554,fedc20de,2023/03/24 10:08:33,1,dc32f1d2bletest0,,-73.0,2,,1679623788000
108562,fedc20de,2023/03/24 10:08:34,1,dc32f1d2bletest0,,-74.5,2,,1679623788000
108568,fedc20de,2023/03/24 10:08:35,1,dc32f1d2bletest0,,-75.5,2,,1679623788000
108579,fedc20de,2023/03/24 10:08:37,1,dc32f1d2bletest0,,-63.0,1,,1679623788000
108582,fedc20de,2023/03/24 10:08:38,1,dc32f1d2bletest0,,-70.5,2,,1679623788000
108567,fedc20de,2023/03/24 10:09:20,1,dc32f1d2bletest0,,-76.5,3,,1679623788000
108575,fedc20de,2023/03/24 10:09:21,1,dc32f1d2bletest0,,-71.5,2,,1679623788000
1,2,4,4
