id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
76868,f69de6fc,2023/02/21 12:09:30,1,fedc20debletest0,null,-82.5,3,,1676952656000
76869,f69de6fc,2023/02/21 12:09:31,1,fedc20debletest0,null,-80.33333333333333,3,,1676952656000
76870,f69de6fc,2023/02/21 12:09:35,1,fedc20debletest0,null,-78.66666666666667,3,,1676952656000
76871,f69de6fc,2023/02/21 12:09:36,1,fedc20debletest0,null,-84,3,,1676952656000
76876,f69de6fc,2023/02/21 12:10:13,1,fedc20debletest0,null,-72,2,,1676952656000
76882,f69de6fc,2023/02/21 12:10:14,1,fedc20debletest0,null,-73.25,2,,1676952656000
76886,f69de6fc,2023/02/21 12:10:17,1,fedc20debletest0,null,-72,2,,1676952656000
76888,f69de6fc,2023/02/21 12:10:18,1,fedc20debletest0,null,-72.71428571428571,2,,1676952656000
76898,f69de6fc,2023/02/21 12:10:26,1,fedc20debletest0,null,-69.33333333333333,2,,1676952656000
77030,f69de6fc,2023/02/21 12:11:00,1,fedc20debletest0,null,-71.66666666666667,2,,1676952742000
77031,f69de6fc,2023/02/21 12:11:01,1,fedc20debletest0,null,-77.8,3,,1676952742000
77036,f69de6fc,2023/02/21 12:11:46,1,fedc20debletest0,null,-74.33333333333333,2,,1676952742000
77038,f69de6fc,2023/02/21 12:11:04,1,fedc20debletest0,null,-78.25,3,,1676952742000
77044,f69de6fc,2023/02/21 12:11:47,1,fedc20debletest0,null,-74.33333333333333,2,,1676952742000
77046,f69de6fc,2023/02/21 12:11:05,1,fedc20debletest0,null,-77.27272727272727,3,,1676952742000
77052,f69de6fc,2023/02/21 12:11:51,1,fedc20debletest0,null,-80.13636363636364,3,,1676952742000
77053,f69de6fc,2023/02/21 12:11:09,1,fedc20debletest0,null,-89.81818181818181,5,,1676952742000
77060,f69de6fc,2023/02/21 12:11:52,1,fedc20debletest0,null,-77,3,,1676952742000
77064,f69de6fc,2023/02/21 12:11:54,1,fedc20debletest0,null,-80,3,,1676952742000
77066,f69de6fc,2023/02/21 12:11:55,1,fedc20debletest0,null,-77.38461538461539,3,,1676952742000
77229,f69de6fc,2023/02/21 12:12:26,1,fedc20debletest0,null,-79.6,3,,1676952842000
77230,f69de6fc,2023/02/21 12:12:27,1,fedc20debletest0,null,-74.84615384615384,2,,1676952842000
77233,f69de6fc,2023/02/21 12:12:30,1,fedc20debletest0,null,-80,3,,1676952842000
77235,f69de6fc,2023/02/21 12:12:31,1,fedc20debletest0,null,-82.05555555555556,3,,1676952842000
77236,f69de6fc,2023/02/21 12:12:35,1,fedc20debletest0,null,-79.53333333333333,3,,1676952842000
77238,f69de6fc,2023/02/21 12:12:36,1,fedc20debletest0,null,-83.77777777777777,3,,1676952842000
77243,f69de6fc,2023/02/21 12:13:09,1,fedc20debletest0,null,-80,3,,1676952842000
77249,f69de6fc,2023/02/21 12:13:10,1,fedc20debletest0,null,-76.66666666666667,3,,1676952842000
77252,f69de6fc,2023/02/21 12:13:14,1,fedc20debletest0,null,-83.72727272727273,3,,1676952842000
77261,f69de6fc,2023/02/21 12:13:15,1,fedc20debletest0,null,-75.66666666666667,2,,1676952842000
77263,f69de6fc,2023/02/21 12:13:18,1,fedc20debletest0,null,-92.625,5,,1676952842000
77267,f69de6fc,2023/02/21 12:13:19,1,fedc20debletest0,null,-93.22222222222223,5,,1676952842000
77269,f69de6fc,2023/02/21 12:13:22,1,fedc20debletest0,null,-88.85185185185185,5,,1676952842000
77271,f69de6fc,2023/02/21 12:13:23,1,fedc20debletest0,null,-93,5,,1676952842000
77370,f69de6fc,2023/02/21 12:14:06,1,fedc20debletest0,null,-86.33333333333333,5,,1676952937000
77374,f69de6fc,2023/02/21 12:14:07,1,fedc20debletest0,null,-88,5,,1676952937000
77377,f69de6fc,2023/02/21 12:14:54,1,fedc20debletest0,null,-93,5,,1676952937000
77381,f69de6fc,2023/02/21 12:14:55,1,fedc20debletest0,null,-83.83870967741936,3,,1676952937000
77386,f69de6fc,2023/02/21 12:14:11,1,fedc20debletest0,null,-79.9375,3,,1676952937000
77389,f69de6fc,2023/02/21 12:14:12,1,fedc20debletest0,null,-79.13333333333334,3,,1676952937000
77391,f69de6fc,2023/02/21 12:14:59,1,fedc20debletest0,null,-74.91666666666667,2,,1676952937000
77397,f69de6fc,2023/02/21 12:15:00,1,fedc20debletest0,null,-77,3,,1676952937000
77398,f69de6fc,2023/02/21 12:14:15,1,fedc20debletest0,null,-80.5,3,,1676952937000
77400,f69de6fc,2023/02/21 12:15:03,1,fedc20debletest0,null,-83.0909090909091,3,,1676952937000
77403,f69de6fc,2023/02/21 12:14:16,1,fedc20debletest0,null,-81.6,3,,1676952937000
77405,f69de6fc,2023/02/21 12:14:19,1,fedc20debletest0,null,-80.72727272727273,3,,1676952937000
77406,f69de6fc,2023/02/21 12:15:04,1,fedc20debletest0,null,-82.5,3,,1676952937000
77408,f69de6fc,2023/02/21 12:14:20,1,fedc20debletest0,null,-83.66666666666667,3,,1676952937000
77647,f69de6fc,2023/02/21 12:15:42,1,fedc20debletest0,null,-85.05405405405405,5,,1676953026000
77652,f69de6fc,2023/02/21 12:15:43,1,fedc20debletest0,null,-82,3,,1676953026000
77654,f69de6fc,2023/02/21 12:15:46,1,fedc20debletest0,null,-78.73684210526316,3,,1676953026000
77655,f69de6fc,2023/02/21 12:16:27,1,fedc20debletest0,null,-80.38636363636364,3,,1676953026000
77672,f69de6fc,2023/02/21 12:15:47,1,fedc20debletest0,null,-72.45454545454545,2,,1676953026000
77675,f69de6fc,2023/02/21 12:16:28,1,fedc20debletest0,null,-76.88888888888889,3,,1676953026000
77679,f69de6fc,2023/02/21 12:16:31,1,fedc20debletest0,null,-75.23529411764706,2,,1676953026000
77683,f69de6fc,2023/02/21 12:15:50,1,fedc20debletest0,null,-84.12121212121212,3,,1676953026000
77688,f69de6fc,2023/02/21 12:16:32,1,fedc20debletest0,null,-77,3,,1676953026000
77690,f69de6fc,2023/02/21 12:15:51,1,fedc20debletest0,null,-83.75,3,,1676953026000
77696,f69de6fc,2023/02/21 12:15:54,1,fedc20debletest0,null,-84.8,3,,1676953026000
77697,f69de6fc,2023/02/21 12:16:35,1,fedc20debletest0,null,-73.47058823529412,2,,1676953026000
77703,f69de6fc,2023/02/21 12:16:36,1,fedc20debletest0,null,-73.41666666666667,2,,1676953026000
78026,f69de6fc,2023/02/21 12:17:10,1,fedc20debletest0,null,-66.7,2,,1676953109000
78030,f69de6fc,2023/02/21 12:17:11,1,fedc20debletest0,null,-61.64705882352941,1,,1676953109000
78031,f69de6fc,2023/02/21 12:17:49,1,fedc20debletest0,null,-76.77272727272727,3,,1676953109000
78041,f69de6fc,2023/02/21 12:17:14,1,fedc20debletest0,null,-70.14285714285714,2,,1676953109000
78051,f69de6fc,2023/02/21 12:17:50,1,fedc20debletest0,null,-71,2,,1676953109000
78057,f69de6fc,2023/02/21 12:17:15,1,fedc20debletest0,null,-69.03571428571429,2,,1676953109000
78058,f69de6fc,2023/02/21 12:17:54,1,fedc20debletest0,null,-67.28947368421052,2,,1676953109000
78064,f69de6fc,2023/02/21 12:17:18,1,fedc20debletest0,null,-64.5,1,,1676953109000
78069,f69de6fc,2023/02/21 12:17:55,1,fedc20debletest0,null,-65,1,,1676953109000
78071,f69de6fc,2023/02/21 12:17:58,1,fedc20debletest0,null,-71.20833333333333,2,,1676953109000
78072,f69de6fc,2023/02/21 12:17:19,1,fedc20debletest0,null,-64.14285714285714,1,,1676953109000
78082,f69de6fc,2023/02/21 12:17:23,1,fedc20debletest0,null,-67.66666666666667,2,,1676953109000
78452,f69de6fc,2023/02/21 12:18:33,1,fedc20debletest0,null,-67.84210526315789,2,,1676953205000
78453,f69de6fc,2023/02/21 12:19:20,1,fedc20debletest0,null,-74.52941176470588,2,,1676953205000
78464,f69de6fc,2023/02/21 12:18:34,1,fedc20debletest0,null,-66.44444444444444,2,,1676953205000
78465,f69de6fc,2023/02/21 12:19:21,1,fedc20debletest0,null,-75,2,,1676953205000
78474,f69de6fc,2023/02/21 12:18:38,1,fedc20debletest0,null,-64.5,1,,1676953205000
78479,f69de6fc,2023/02/21 12:19:25,1,fedc20debletest0,null,-78,3,,1676953205000
78482,f69de6fc,2023/02/21 12:18:39,1,fedc20debletest0,null,-64.75,1,,1676953205000
78483,f69de6fc,2023/02/21 12:19:26,1,fedc20debletest0,null,-74.14285714285714,2,,1676953205000
78492,f69de6fc,2023/02/21 12:18:42,1,fedc20debletest0,null,-73.53333333333333,2,,1676953205000
78495,f69de6fc,2023/02/21 12:19:29,1,fedc20debletest0,null,-79.22222222222223,3,,1676953205000
78497,f69de6fc,2023/02/21 12:19:30,1,fedc20debletest0,null,-77.17647058823529,3,,1676953205000
78501,f69de6fc,2023/02/21 12:18:43,1,fedc20debletest0,null,-69.71428571428571,2,,1676953205000
78506,f69de6fc,2023/02/21 12:19:33,1,fedc20debletest0,null,-78.85185185185185,3,,1676953205000
78510,f69de6fc,2023/02/21 12:18:46,1,fedc20debletest0,null,-64.78787878787878,1,,1676953205000
78513,f69de6fc,2023/02/21 12:19:34,1,fedc20debletest0,null,-81.72727272727273,3,,1676953205000
78518,f69de6fc,2023/02/21 12:18:47,1,fedc20debletest0,null,-62,1,,1676953205000
78901,f69de6fc,2023/02/21 12:20:09,1,fedc20debletest0,null,-77.57142857142857,3,,1676953300000
78904,f69de6fc,2023/02/21 12:20:10,1,fedc20debletest0,null,-80.7,3,,1676953300000
78906,f69de6fc,2023/02/21 12:20:59,1,fedc20debletest0,null,-88.5,5,,1676953300000
78909,f69de6fc,2023/02/21 12:20:14,1,fedc20debletest0,null,-84.06896551724138,3,,1676953300000
78912,f69de6fc,2023/02/21 12:21:00,1,fedc20debletest0,null,-85.34375,5,,1676953300000
78915,f69de6fc,2023/02/21 12:20:15,1,fedc20debletest0,null,-86,5,,1676953300000
