id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
81168,fedc20de,2023/02/21 12:30:27,1,f69de6fcbletest0,null,-60.5,1,,1676953874000
81171,fedc20de,2023/02/21 12:30:28,1,f69de6fcbletest0,null,-63.2,1,,1676953874000
81176,fedc20de,2023/02/21 12:30:29,1,f69de6fcbletest0,null,-71,2,,1676953874000
81180,fedc20de,2023/02/21 12:30:30,1,f69de6fcbletest0,null,-75,2,,1676953874000
81184,fedc20de,2023/02/21 12:30:31,1,f69de6fcbletest0,null,-72.33333333333333,2,,1676953874000
81187,fedc20de,2023/02/21 12:30:32,1,f69de6fcbletest0,null,-67,2,,1676953874000
85073,fedc20de,2023/02/21 13:04:08,1,f69de6fcbletest0,null,-78,3,,1676955941000
85094,fedc20de,2023/02/21 13:04:17,1,f69de6fcbletest0,null,-66,2,,1676955941000
85688,fedc20de,2023/02/21 13:06:29,1,f69de6fcbletest0,null,-70,2,,1676956030000
85699,fedc20de,2023/02/21 13:06:33,1,f69de6fcbletest0,null,-60,1,,1676956030000
85729,fedc20de,2023/02/21 13:05:49,1,f69de6fcbletest0,null,-67,2,,1676956030000
86314,fedc20de,2023/02/21 13:07:22,1,f69de6fcbletest0,null,-63,1,,1676956117000
86323,fedc20de,2023/02/21 13:07:25,1,f69de6fcbletest0,null,-73,2,,1676956117000
86327,fedc20de,2023/02/21 13:07:26,1,f69de6fcbletest0,null,-66,2,,1676956117000
92371,fedc20de,2023/02/21 13:24:40,1,f69de6fcbletest0,null,-55.5,1,,1676957137000
92373,fedc20de,2023/02/21 13:24:41,1,f69de6fcbletest0,null,-54,1,,1676957137000
92383,fedc20de,2023/02/21 13:24:45,1,f69de6fcbletest0,null,-59,1,,1676957137000
94179,fedc20de,2023/02/21 13:30:10,1,f69de6fcbletest0,null,-69.5,2,,1676957424000
