id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
85516,cb581061,2023/02/21 13:05:00,1,f69de6fcbletest0,null,-45,1,,1676955995000
86066,cb581061,2023/02/21 13:06:42,1,f69de6fcbletest0,null,-68,2,,1676956076000
86080,cb581061,2023/02/21 13:07:26,1,f69de6fcbletest0,null,-60,1,,1676956076000
86083,cb581061,2023/02/21 13:06:45,1,f69de6fcbletest0,null,-61,1,,1676956076000
86596,cb581061,2023/02/21 13:08:54,1,f69de6fcbletest0,null,-62,1,,1676956161000
86610,cb581061,2023/02/21 13:08:18,1,f69de6fcbletest0,null,-59,1,,1676956161000
87173,cb581061,2023/02/21 13:10:12,1,f69de6fcbletest0,null,-64,1,,1676956262000
87184,cb581061,2023/02/21 13:09:32,1,f69de6fcbletest0,null,-80,3,,1676956262000
87216,cb581061,2023/02/21 13:10:25,1,f69de6fcbletest0,null,-61,1,,1676956262000
87219,cb581061,2023/02/21 13:10:26,1,f69de6fcbletest0,null,-71,2,,1676956262000
87668,cb581061,2023/02/21 13:11:09,1,f69de6fcbletest0,null,-64,1,,1676956347000
87672,cb581061,2023/02/21 13:11:48,1,f69de6fcbletest0,null,-62,1,,1676956347000
88146,cb581061,2023/02/21 13:12:37,1,f69de6fcbletest0,null,-73,2,,1676956441000
88154,cb581061,2023/02/21 13:13:16,1,f69de6fcbletest0,null,-60,1,,1676956441000
88709,cb581061,2023/02/21 13:14:48,1,f69de6fcbletest0,null,-62,1,,1676956541000
88714,cb581061,2023/02/21 13:14:08,1,f69de6fcbletest0,null,-59,1,,1676956541000
88747,cb581061,2023/02/21 13:14:12,1,f69de6fcbletest0,null,-75,2,,1676956541000
88755,cb581061,2023/02/21 13:14:13,1,f69de6fcbletest0,null,-72,2,,1676956541000
88783,cb581061,2023/02/21 13:15:05,1,f69de6fcbletest0,null,-60,1,,1676956541000
89306,cb581061,2023/02/21 13:16:33,1,f69de6fcbletest0,null,-65,1,,1676956634000
89317,cb581061,2023/02/21 13:16:38,1,f69de6fcbletest0,null,-60,1,,1676956634000
89789,cb581061,2023/02/21 13:17:56,1,f69de6fcbletest0,null,-73,2,,1676956712000
89797,cb581061,2023/02/21 13:17:26,1,f69de6fcbletest0,null,-71,2,,1676956712000
90247,cb581061,2023/02/21 13:19:24,1,f69de6fcbletest0,null,-60,1,,1676956796000
90265,cb581061,2023/02/21 13:19:29,1,f69de6fcbletest0,null,-60,1,,1676956796000
90887,cb581061,2023/02/21 13:20:47,1,f69de6fcbletest0,null,-80,3,,1676956893000
91474,cb581061,2023/02/21 13:21:40,1,f69de6fcbletest0,null,-44,1,,1676956981000
91497,cb581061,2023/02/21 13:22:29,1,f69de6fcbletest0,null,-67,2,,1676956981000
91503,cb581061,2023/02/21 13:22:32,1,f69de6fcbletest0,null,-60,1,,1676956981000
92079,cb581061,2023/02/21 13:23:08,1,f69de6fcbletest0,null,-70,2,,1676957074000
92105,cb581061,2023/02/21 13:24:00,1,f69de6fcbletest0,null,-61,1,,1676957074000
92120,cb581061,2023/02/21 13:23:21,1,f69de6fcbletest0,null,-63,1,,1676957074000
92682,cb581061,2023/02/21 13:25:24,1,f69de6fcbletest0,null,-69,2,,1676957168000
92721,cb581061,2023/02/21 13:25:36,1,f69de6fcbletest0,null,-67,2,,1676957168000
93140,cb581061,2023/02/21 13:26:16,1,f69de6fcbletest0,null,-73,2,,1676957256000
93141,cb581061,2023/02/21 13:26:17,1,f69de6fcbletest0,null,-74,2,,1676957256000
93711,cb581061,2023/02/21 13:27:44,1,f69de6fcbletest0,null,-62,1,,1676957345000
93713,cb581061,2023/02/21 13:27:45,1,f69de6fcbletest0,null,-56,1,,1676957345000
94369,cb581061,2023/02/21 13:29:56,1,f69de6fcbletest0,null,-48,1,,1676957439000
94944,cb581061,2023/02/21 13:30:53,1,f69de6fcbletest0,null,-68,2,,1676957530000
95644,cb581061,2023/02/21 13:33:17,1,f69de6fcbletest0,null,-73,2,,1676957636000
96268,cb581061,2023/02/21 13:35:25,1,f69de6fcbletest0,null,-62,1,,1676957808000
96278,cb581061,2023/02/21 13:35:29,1,f69de6fcbletest0,null,-46,1,,1676957808000
