id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
76518,defe41cc,2023/02/21 12:00:18,1,cb581061bletest0,null,-41.5,1,,1676952023000
76596,defe41cc,2023/02/21 12:05:08,1,cb581061bletest0,null,-49,1,,1676952316000
76789,defe41cc,2023/02/21 12:09:44,1,cb581061bletest0,null,-81,3,,1676952592000
76824,defe41cc,2023/02/21 12:10:10,1,cb581061bletest0,null,-63.5,1,,1676952619000
76841,defe41cc,2023/02/21 12:10:36,1,cb581061bletest0,null,-79,3,,1676952645000
76842,defe41cc,2023/02/21 12:10:40,1,cb581061bletest0,null,-81.5,3,,1676952645000
76933,defe41cc,2023/02/21 12:11:16,1,cb581061bletest0,null,-75.8,2,,1676952684000
76934,defe41cc,2023/02/21 12:11:20,1,cb581061bletest0,null,-79,3,,1676952684000
76955,defe41cc,2023/02/21 12:11:46,1,cb581061bletest0,null,-79,3,,1676952711000
77006,defe41cc,2023/02/21 12:11:55,1,cb581061bletest0,null,-89.4,5,,1676952724000
77009,defe41cc,2023/02/21 12:12:12,1,cb581061bletest0,null,-78.5,3,,1676952737000
77068,defe41cc,2023/02/21 12:12:25,1,cb581061bletest0,null,-72,2,,1676952750000
77093,defe41cc,2023/02/21 12:12:48,1,cb581061bletest0,null,-71,2,,1676952776000
77096,defe41cc,2023/02/21 12:12:51,1,cb581061bletest0,null,-73.66666666666667,2,,1676952776000
77102,defe41cc,2023/02/21 12:12:52,1,cb581061bletest0,null,-82,3,,1676952776000
77136,defe41cc,2023/02/21 12:13:01,1,cb581061bletest0,null,-75,2,,1676952789000
77140,defe41cc,2023/02/21 12:13:18,1,cb581061bletest0,null,-79.66666666666667,3,,1676952802000
77158,defe41cc,2023/02/21 12:13:27,1,cb581061bletest0,null,-74,2,,1676952816000
77183,defe41cc,2023/02/21 12:13:57,1,cb581061bletest0,null,-77.66666666666667,3,,1676952842000
77188,defe41cc,2023/02/21 12:13:53,1,cb581061bletest0,null,-73,2,,1676952842000
77194,defe41cc,2023/02/21 12:13:54,1,cb581061bletest0,null,-71.25,2,,1676952842000
77273,defe41cc,2023/02/21 12:14:06,1,cb581061bletest0,null,-71,2,,1676952855000
77287,defe41cc,2023/02/21 12:14:37,1,cb581061bletest0,null,-71.5,2,,1676952881000
77288,defe41cc,2023/02/21 12:14:33,1,cb581061bletest0,null,-83,3,,1676952881000
77314,defe41cc,2023/02/21 12:15:03,1,cb581061bletest0,null,-63.57142857142857,1,,1676952908000
77315,defe41cc,2023/02/21 12:14:59,1,cb581061bletest0,null,-64,1,,1676952908000
77356,defe41cc,2023/02/21 12:15:29,1,cb581061bletest0,null,-69.28571428571429,2,,1676952934000
77410,defe41cc,2023/02/21 12:15:38,1,cb581061bletest0,null,-65.33333333333333,2,,1676952947000
77413,defe41cc,2023/02/21 12:15:42,1,cb581061bletest0,null,-66.16666666666667,2,,1676952947000
77588,defe41cc,2023/02/21 12:16:35,1,cb581061bletest0,null,-64,1,,1676952999000
77630,defe41cc,2023/02/21 12:16:48,1,cb581061bletest0,null,-51.333333333333336,1,,1676953013000
77632,defe41cc,2023/02/21 12:16:44,1,cb581061bletest0,null,-56.25,1,,1676953013000
77705,defe41cc,2023/02/21 12:17:10,1,cb581061bletest0,null,-77.33333333333333,3,,1676953039000
77714,defe41cc,2023/02/21 12:17:14,1,cb581061bletest0,null,-86.625,5,,1676953039000
77752,defe41cc,2023/02/21 12:17:23,1,cb581061bletest0,null,-67.5,2,,1676953052000
77754,defe41cc,2023/02/21 12:17:41,1,cb581061bletest0,null,-78.66666666666667,3,,1676953065000
77818,defe41cc,2023/02/21 12:17:54,1,cb581061bletest0,null,-69.66666666666667,2,,1676953078000
77823,defe41cc,2023/02/21 12:17:50,1,cb581061bletest0,null,-74,2,,1676953078000
77991,defe41cc,2023/02/21 12:18:20,1,cb581061bletest0,null,-70.33333333333333,2,,1676953105000
78086,defe41cc,2023/02/21 12:18:29,1,cb581061bletest0,null,-73.2,2,,1676953118000
78114,defe41cc,2023/02/21 12:18:59,1,cb581061bletest0,null,-78,3,,1676953144000
78117,defe41cc,2023/02/21 12:18:55,1,cb581061bletest0,null,-71.9,2,,1676953144000
