id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
638,defe41cc,2022/10/29 15:00:53,1,f69de6fcbletest0,null,-64,5,,0
639,defe41cc,2022/10/29 15:00:53,1,f69de6fcbletest0,null,-64,5,,0
640,defe41cc,2022/10/29 15:00:53,1,f69de6fcbletest0,null,-64,5,,0
641,defe41cc,2022/10/29 15:00:53,1,f69de6fcbletest0,null,-64,5,,0
671,defe41cc,2022/10/29 15:01:51,1,f69de6fcbletest0,null,-64,5,,0
672,defe41cc,2022/10/29 15:01:51,1,f69de6fcbletest0,null,-64,5,,0
674,defe41cc,2022/10/29 15:01:51,1,f69de6fcbletest0,null,-64,5,,0
675,defe41cc,2022/10/29 15:01:51,1,f69de6fcbletest0,null,-64,5,,0
704,defe41cc,2022/10/29 15:02:49,1,f69de6fcbletest0,null,-64,5,,0
705,defe41cc,2022/10/29 15:02:49,1,f69de6fcbletest0,null,-64,5,,0
706,defe41cc,2022/10/29 15:02:49,1,f69de6fcbletest0,null,-64,5,,0
707,defe41cc,2022/10/29 15:02:49,1,f69de6fcbletest0,null,-65,5,,0
708,defe41cc,2022/10/29 15:02:49,1,f69de6fcbletest0,null,-64,5,,0
737,defe41cc,2022/10/29 15:03:46,1,f69de6fcbletest0,null,-65,5,,0
738,defe41cc,2022/10/29 15:03:46,1,f69de6fcbletest0,null,-65,5,,0
739,defe41cc,2022/10/29 15:03:46,1,f69de6fcbletest0,null,-65,5,,0
740,defe41cc,2022/10/29 15:03:46,1,f69de6fcbletest0,null,-65,5,,0
741,defe41cc,2022/10/29 15:03:46,1,f69de6fcbletest0,null,-65,5,,0
770,defe41cc,2022/10/29 15:04:46,1,f69de6fcbletest0,null,-65,5,,0
771,defe41cc,2022/10/29 15:04:46,1,f69de6fcbletest0,null,-65,5,,0
772,defe41cc,2022/10/29 15:04:46,1,f69de6fcbletest0,null,-65,5,,0
773,defe41cc,2022/10/29 15:04:46,1,f69de6fcbletest0,null,-65,5,,0
774,defe41cc,2022/10/29 15:04:46,1,f69de6fcbletest0,null,-65,5,,0
792,defe41cc,2022/10/29 15:05:44,1,f69de6fcbletest0,null,-65,5,,0
