id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
76872,f69de6fc,2023/02/21 12:09:38,1,cb581061bletest0,null,-56,1,,1676952656000
76873,f69de6fc,2023/02/21 12:10:13,1,cb581061bletest0,null,-52,1,,1676952656000
76875,f69de6fc,2023/02/21 12:09:39,1,cb581061bletest0,null,-60.166666666666664,1,,1676952656000
76878,f69de6fc,2023/02/21 12:09:42,1,cb581061bletest0,null,-59,1,,1676952656000
76879,f69de6fc,2023/02/21 12:10:14,1,cb581061bletest0,null,-56,1,,1676952656000
76881,f69de6fc,2023/02/21 12:09:43,1,cb581061bletest0,null,-60.36363636363637,1,,1676952656000
76884,f69de6fc,2023/02/21 12:10:17,1,cb581061bletest0,null,-48.5,1,,1676952656000
76892,f69de6fc,2023/02/21 12:10:18,1,cb581061bletest0,null,-50.2,1,,1676952656000
76894,f69de6fc,2023/02/21 12:10:26,1,cb581061bletest0,null,-57.111111111111114,1,,1676952656000
76900,f69de6fc,2023/02/21 12:10:27,1,cb581061bletest0,null,-59.5,1,,1676952656000
77029,f69de6fc,2023/02/21 12:11:00,1,cb581061bletest0,null,-53.5,1,,1676952742000
77033,f69de6fc,2023/02/21 12:11:01,1,cb581061bletest0,null,-56.5,1,,1676952742000
77040,f69de6fc,2023/02/21 12:11:46,1,cb581061bletest0,null,-67.07142857142857,2,,1676952742000
77042,f69de6fc,2023/02/21 12:11:04,1,cb581061bletest0,null,-65,1,,1676952742000
77048,f69de6fc,2023/02/21 12:11:47,1,cb581061bletest0,null,-65,1,,1676952742000
77050,f69de6fc,2023/02/21 12:11:05,1,cb581061bletest0,null,-67.5,2,,1676952742000
77055,f69de6fc,2023/02/21 12:11:51,1,cb581061bletest0,null,-62.5,1,,1676952742000
77056,f69de6fc,2023/02/21 12:11:09,1,cb581061bletest0,null,-60.46666666666667,1,,1676952742000
77058,f69de6fc,2023/02/21 12:11:52,1,cb581061bletest0,null,-62,1,,1676952742000
77062,f69de6fc,2023/02/21 12:11:54,1,cb581061bletest0,null,-68.33333333333333,2,,1676952742000
77065,f69de6fc,2023/02/21 12:11:55,1,cb581061bletest0,null,-68.4375,2,,1676952742000
77228,f69de6fc,2023/02/21 12:12:26,1,cb581061bletest0,null,-69.64285714285714,2,,1676952842000
77231,f69de6fc,2023/02/21 12:12:27,1,cb581061bletest0,null,-60.2,1,,1676952842000
77232,f69de6fc,2023/02/21 12:12:30,1,cb581061bletest0,null,-65.28571428571429,2,,1676952842000
77234,f69de6fc,2023/02/21 12:12:31,1,cb581061bletest0,null,-63,1,,1676952842000
77237,f69de6fc,2023/02/21 12:12:35,1,cb581061bletest0,null,-66.23529411764706,2,,1676952842000
77239,f69de6fc,2023/02/21 12:12:36,1,cb581061bletest0,null,-70.45454545454545,2,,1676952842000
77240,f69de6fc,2023/02/21 12:13:09,1,cb581061bletest0,null,-59.55555555555556,1,,1676952842000
77246,f69de6fc,2023/02/21 12:13:10,1,cb581061bletest0,null,-62.2,1,,1676952842000
77255,f69de6fc,2023/02/21 12:13:14,1,cb581061bletest0,null,-75.63157894736842,2,,1676952842000
77258,f69de6fc,2023/02/21 12:13:15,1,cb581061bletest0,null,-70,2,,1676952842000
77265,f69de6fc,2023/02/21 12:13:18,1,cb581061bletest0,null,-83.9090909090909,3,,1676952842000
77268,f69de6fc,2023/02/21 12:13:19,1,cb581061bletest0,null,-76.33333333333333,3,,1676952842000
77270,f69de6fc,2023/02/21 12:13:22,1,cb581061bletest0,null,-75.72727272727273,2,,1676952842000
77371,f69de6fc,2023/02/21 12:14:06,1,cb581061bletest0,null,-76.2,3,,1676952937000
77373,f69de6fc,2023/02/21 12:14:54,1,cb581061bletest0,null,-75.6,2,,1676952937000
77378,f69de6fc,2023/02/21 12:14:07,1,cb581061bletest0,null,-71.36363636363636,2,,1676952937000
77382,f69de6fc,2023/02/21 12:14:11,1,cb581061bletest0,null,-79.5,3,,1676952937000
77385,f69de6fc,2023/02/21 12:14:55,1,cb581061bletest0,null,-70.75,2,,1676952937000
77388,f69de6fc,2023/02/21 12:14:59,1,cb581061bletest0,null,-67.14285714285714,2,,1676952937000
77392,f69de6fc,2023/02/21 12:14:12,1,cb581061bletest0,null,-73.58333333333333,2,,1676952937000
77394,f69de6fc,2023/02/21 12:15:00,1,cb581061bletest0,null,-69.08333333333333,2,,1676952937000
77395,f69de6fc,2023/02/21 12:14:15,1,cb581061bletest0,null,-73.92857142857143,2,,1676952937000
77401,f69de6fc,2023/02/21 12:14:16,1,cb581061bletest0,null,-77.36363636363636,3,,1676952937000
77402,f69de6fc,2023/02/21 12:15:03,1,cb581061bletest0,null,-75.46666666666667,2,,1676952937000
77404,f69de6fc,2023/02/21 12:15:04,1,cb581061bletest0,null,-79.28571428571429,3,,1676952937000
77407,f69de6fc,2023/02/21 12:14:19,1,cb581061bletest0,null,-67.7,2,,1676952937000
77409,f69de6fc,2023/02/21 12:14:20,1,cb581061bletest0,null,-68.3,2,,1676952937000
77649,f69de6fc,2023/02/21 12:15:42,1,cb581061bletest0,null,-69.33333333333333,2,,1676953026000
77656,f69de6fc,2023/02/21 12:16:27,1,cb581061bletest0,null,-84.23076923076923,3,,1676953026000
77660,f69de6fc,2023/02/21 12:15:46,1,cb581061bletest0,null,-80.66666666666667,3,,1676953026000
77671,f69de6fc,2023/02/21 12:16:28,1,cb581061bletest0,null,-77.4,3,,1676953026000
77676,f69de6fc,2023/02/21 12:15:47,1,cb581061bletest0,null,-76.625,3,,1676953026000
77682,f69de6fc,2023/02/21 12:16:31,1,cb581061bletest0,null,-74.25,2,,1676953026000
77686,f69de6fc,2023/02/21 12:16:32,1,cb581061bletest0,null,-72.66666666666667,2,,1676953026000
77687,f69de6fc,2023/02/21 12:15:50,1,cb581061bletest0,null,-80.52941176470588,3,,1676953026000
77692,f69de6fc,2023/02/21 12:15:51,1,cb581061bletest0,null,-86.5,5,,1676953026000
77695,f69de6fc,2023/02/21 12:16:35,1,cb581061bletest0,null,-78.11111111111111,3,,1676953026000
77701,f69de6fc,2023/02/21 12:15:54,1,cb581061bletest0,null,-75,2,,1676953026000
77702,f69de6fc,2023/02/21 12:16:36,1,cb581061bletest0,null,-80.8,3,,1676953026000
78027,f69de6fc,2023/02/21 12:17:10,1,cb581061bletest0,null,-71.11111111111111,2,,1676953109000
78033,f69de6fc,2023/02/21 12:17:11,1,cb581061bletest0,null,-65.25,2,,1676953109000
78040,f69de6fc,2023/02/21 12:17:49,1,cb581061bletest0,null,-77.11764705882354,3,,1676953109000
78049,f69de6fc,2023/02/21 12:17:14,1,cb581061bletest0,null,-68.14285714285714,2,,1676953109000
78054,f69de6fc,2023/02/21 12:17:50,1,cb581061bletest0,null,-73.11111111111111,2,,1676953109000
78059,f69de6fc,2023/02/21 12:17:15,1,cb581061bletest0,null,-78.41176470588235,3,,1676953109000
78060,f69de6fc,2023/02/21 12:17:54,1,cb581061bletest0,null,-73.6086956521739,2,,1676953109000
78067,f69de6fc,2023/02/21 12:17:55,1,cb581061bletest0,null,-75,2,,1676953109000
78068,f69de6fc,2023/02/21 12:17:18,1,cb581061bletest0,null,-71,2,,1676953109000
78070,f69de6fc,2023/02/21 12:17:19,1,cb581061bletest0,null,-73.87096774193549,2,,1676953109000
78073,f69de6fc,2023/02/21 12:17:58,1,cb581061bletest0,null,-77.72727272727273,3,,1676953109000
78080,f69de6fc,2023/02/21 12:17:23,1,cb581061bletest0,null,-71.875,2,,1676953109000
78081,f69de6fc,2023/02/21 12:17:59,1,cb581061bletest0,null,-94,5,,1676953109000
