id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
76538,fedc20de,2023/02/21 12:00:48,1,cb581061bletest0,null,-62,1,,1676952218000
76539,fedc20de,2023/02/21 12:00:49,1,cb581061bletest0,null,-60,1,,1676952218000
76541,fedc20de,2023/02/21 12:00:50,1,cb581061bletest0,null,-52,1,,1676952218000
76543,fedc20de,2023/02/21 12:00:51,1,cb581061bletest0,null,-78,3,,1676952218000
76544,fedc20de,2023/02/21 12:00:52,1,cb581061bletest0,null,-60.5,1,,1676952218000
76545,fedc20de,2023/02/21 12:00:54,1,cb581061bletest0,null,-61.666666666666664,1,,1676952218000
76546,fedc20de,2023/02/21 12:00:56,1,cb581061bletest0,null,-66,2,,1676952218000
76548,fedc20de,2023/02/21 12:00:57,1,cb581061bletest0,null,-66,2,,1676952218000
76551,fedc20de,2023/02/21 11:59:43,1,cb581061bletest0,null,-71,2,,1676952218000
76553,fedc20de,2023/02/21 11:59:45,1,cb581061bletest0,null,-69,2,,1676952218000
76555,fedc20de,2023/02/21 11:59:46,1,cb581061bletest0,null,-75,2,,1676952218000
76557,fedc20de,2023/02/21 11:59:47,1,cb581061bletest0,null,-75.5,2,,1676952218000
76574,fedc20de,2023/02/21 12:04:29,1,cb581061bletest0,null,-66,2,,1676952308000
76623,fedc20de,2023/02/21 12:05:12,1,cb581061bletest0,null,-58.5,1,,1676952397000
76624,fedc20de,2023/02/21 12:05:55,1,cb581061bletest0,null,-49,1,,1676952397000
76625,fedc20de,2023/02/21 12:05:56,1,cb581061bletest0,null,-50,1,,1676952397000
76626,fedc20de,2023/02/21 12:05:57,1,cb581061bletest0,null,-43.5,1,,1676952397000
76627,fedc20de,2023/02/21 12:05:58,1,cb581061bletest0,null,-47,1,,1676952397000
76628,fedc20de,2023/02/21 12:05:59,1,cb581061bletest0,null,-39,1,,1676952397000
76629,fedc20de,2023/02/21 12:06:00,1,cb581061bletest0,null,-46,1,,1676952397000
76630,fedc20de,2023/02/21 12:06:02,1,cb581061bletest0,null,-44,1,,1676952397000
76631,fedc20de,2023/02/21 12:06:03,1,cb581061bletest0,null,-42,1,,1676952397000
76632,fedc20de,2023/02/21 12:06:04,1,cb581061bletest0,null,-46.5,1,,1676952397000
76633,fedc20de,2023/02/21 12:06:05,1,cb581061bletest0,null,-47.666666666666664,1,,1676952397000
76634,fedc20de,2023/02/21 12:06:06,1,cb581061bletest0,null,-48,1,,1676952397000
76635,fedc20de,2023/02/21 12:06:07,1,cb581061bletest0,null,-52,1,,1676952397000
76661,fedc20de,2023/02/21 12:06:42,1,cb581061bletest0,null,-40,1,,1676952491000
76662,fedc20de,2023/02/21 12:06:44,1,cb581061bletest0,null,-41.5,1,,1676952491000
76663,fedc20de,2023/02/21 12:06:45,1,cb581061bletest0,null,-45,1,,1676952491000
76664,fedc20de,2023/02/21 12:06:46,1,cb581061bletest0,null,-44,1,,1676952491000
76665,fedc20de,2023/02/21 12:06:47,1,cb581061bletest0,null,-44.5,1,,1676952491000
76666,fedc20de,2023/02/21 12:06:48,1,cb581061bletest0,null,-52.333333333333336,1,,1676952491000
76667,fedc20de,2023/02/21 12:07:27,1,cb581061bletest0,null,-42,1,,1676952491000
76668,fedc20de,2023/02/21 12:07:28,1,cb581061bletest0,null,-49,1,,1676952491000
76669,fedc20de,2023/02/21 12:07:29,1,cb581061bletest0,null,-45,1,,1676952491000
76670,fedc20de,2023/02/21 12:07:30,1,cb581061bletest0,null,-45,1,,1676952491000
76671,fedc20de,2023/02/21 12:07:31,1,cb581061bletest0,null,-43,1,,1676952491000
76672,fedc20de,2023/02/21 12:07:32,1,cb581061bletest0,null,-45,1,,1676952491000
76673,fedc20de,2023/02/21 12:07:33,1,cb581061bletest0,null,-43,1,,1676952491000
76674,fedc20de,2023/02/21 12:07:34,1,cb581061bletest0,null,-40,1,,1676952491000
76675,fedc20de,2023/02/21 12:07:35,1,cb581061bletest0,null,-45.5,1,,1676952491000
76677,fedc20de,2023/02/21 12:07:36,1,cb581061bletest0,null,-40,1,,1676952491000
76679,fedc20de,2023/02/21 12:07:37,1,cb581061bletest0,null,-44,1,,1676952491000
76681,fedc20de,2023/02/21 12:07:38,1,cb581061bletest0,null,-46.666666666666664,1,,1676952491000
76683,fedc20de,2023/02/21 12:07:40,1,cb581061bletest0,null,-63,1,,1676952491000
76685,fedc20de,2023/02/21 12:07:41,1,cb581061bletest0,null,-50.5,1,,1676952491000
76687,fedc20de,2023/02/21 12:07:42,1,cb581061bletest0,null,-48,1,,1676952491000
76689,fedc20de,2023/02/21 12:07:43,1,cb581061bletest0,null,-49,1,,1676952491000
76703,fedc20de,2023/02/21 12:08:16,1,cb581061bletest0,null,-64,1,,1676952579000
76704,fedc20de,2023/02/21 12:08:17,1,cb581061bletest0,null,-63,1,,1676952579000
76705,fedc20de,2023/02/21 12:08:18,1,cb581061bletest0,null,-61,1,,1676952579000
76706,fedc20de,2023/02/21 12:08:19,1,cb581061bletest0,null,-63,1,,1676952579000
76707,fedc20de,2023/02/21 12:08:20,1,cb581061bletest0,null,-57,1,,1676952579000
76708,fedc20de,2023/02/21 12:08:21,1,cb581061bletest0,null,-59.5,1,,1676952579000
76709,fedc20de,2023/02/21 12:08:22,1,cb581061bletest0,null,-65,1,,1676952579000
76710,fedc20de,2023/02/21 12:08:57,1,cb581061bletest0,null,-50.666666666666664,1,,1676952579000
76711,fedc20de,2023/02/21 12:08:58,1,cb581061bletest0,null,-62,1,,1676952579000
76712,fedc20de,2023/02/21 12:08:59,1,cb581061bletest0,null,-72,2,,1676952579000
76713,fedc20de,2023/02/21 12:09:00,1,cb581061bletest0,null,-59.666666666666664,1,,1676952579000
76714,fedc20de,2023/02/21 12:09:01,1,cb581061bletest0,null,-68,2,,1676952579000
76715,fedc20de,2023/02/21 12:09:02,1,cb581061bletest0,null,-57,1,,1676952579000
76716,fedc20de,2023/02/21 12:09:03,1,cb581061bletest0,null,-60.5,1,,1676952579000
76717,fedc20de,2023/02/21 12:09:04,1,cb581061bletest0,null,-61,1,,1676952579000
76719,fedc20de,2023/02/21 12:09:05,1,cb581061bletest0,null,-65,1,,1676952579000
76721,fedc20de,2023/02/21 12:09:06,1,cb581061bletest0,null,-53,1,,1676952579000
76723,fedc20de,2023/02/21 12:09:07,1,cb581061bletest0,null,-77,3,,1676952579000
76725,fedc20de,2023/02/21 12:09:08,1,cb581061bletest0,null,-62,1,,1676952579000
80658,fedc20de,2023/02/21 12:28:09,1,cb581061bletest0,null,-66.8,2,,1676953716000
