id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
77778,164732b9,2023/02/21 12:17:20,1,0926bde8bletest0,null,-72,2,,1676953073000
77782,164732b9,2023/02/21 12:17:21,1,0926bde8bletest0,null,-70.33333333333333,2,,1676953073000
77803,164732b9,2023/02/21 12:17:25,1,0926bde8bletest0,null,-63.166666666666664,1,,1676953073000
77810,164732b9,2023/02/21 12:17:28,1,0926bde8bletest0,null,-63.5,1,,1676953073000
77813,164732b9,2023/02/21 12:17:29,1,0926bde8bletest0,null,-62,1,,1676953073000
78269,164732b9,2023/02/21 12:17:57,1,0926bde8bletest0,null,-64.33333333333333,1,,1676953171000
78282,164732b9,2023/02/21 12:17:58,1,0926bde8bletest0,null,-66,2,,1676953171000
78288,164732b9,2023/02/21 12:18:01,1,0926bde8bletest0,null,-78,3,,1676953171000
78294,164732b9,2023/02/21 12:18:02,1,0926bde8bletest0,null,-79,3,,1676953171000
78728,164732b9,2023/02/21 12:20:41,1,0926bde8bletest0,null,-65.33333333333333,2,,1676953273000
78738,164732b9,2023/02/21 12:20:42,1,0926bde8bletest0,null,-63,1,,1676953273000
79155,164732b9,2023/02/21 12:22:05,1,0926bde8bletest0,null,-82.66666666666667,3,,1676953368000
79166,164732b9,2023/02/21 12:22:10,1,0926bde8bletest0,null,-74,2,,1676953368000
79179,164732b9,2023/02/21 12:22:13,1,0926bde8bletest0,null,-89,5,,1676953368000
79201,164732b9,2023/02/21 12:22:18,1,0926bde8bletest0,null,-74,2,,1676953368000
79203,164732b9,2023/02/21 12:21:26,1,0926bde8bletest0,null,-78,3,,1676953368000
79206,164732b9,2023/02/21 12:21:27,1,0926bde8bletest0,null,-77.5,3,,1676953368000
79210,164732b9,2023/02/21 12:21:30,1,0926bde8bletest0,null,-79,3,,1676953368000
79219,164732b9,2023/02/21 12:21:31,1,0926bde8bletest0,null,-78.5,3,,1676953368000
79223,164732b9,2023/02/21 12:21:34,1,0926bde8bletest0,null,-77.33333333333333,3,,1676953368000
79225,164732b9,2023/02/21 12:21:35,1,0926bde8bletest0,null,-70,2,,1676953368000
79565,164732b9,2023/02/21 12:23:36,1,0926bde8bletest0,null,-77,3,,1676953449000
79580,164732b9,2023/02/21 12:23:37,1,0926bde8bletest0,null,-75,2,,1676953449000
79591,164732b9,2023/02/21 12:23:40,1,0926bde8bletest0,null,-65.66666666666667,2,,1676953449000
79599,164732b9,2023/02/21 12:23:41,1,0926bde8bletest0,null,-67.75,2,,1676953449000
79600,164732b9,2023/02/21 12:22:58,1,0926bde8bletest0,null,-71.5,2,,1676953449000
79605,164732b9,2023/02/21 12:23:44,1,0926bde8bletest0,null,-78.5,3,,1676953449000
79608,164732b9,2023/02/21 12:23:01,1,0926bde8bletest0,null,-68,2,,1676953449000
79613,164732b9,2023/02/21 12:23:45,1,0926bde8bletest0,null,-74.5,2,,1676953449000
79614,164732b9,2023/02/21 12:23:02,1,0926bde8bletest0,null,-78,3,,1676953449000
79619,164732b9,2023/02/21 12:23:05,1,0926bde8bletest0,null,-85,5,,1676953449000
79623,164732b9,2023/02/21 12:23:06,1,0926bde8bletest0,null,-79.5,3,,1676953449000
79946,164732b9,2023/02/21 12:25:03,1,0926bde8bletest0,null,-74,2,,1676953531000
79956,164732b9,2023/02/21 12:25:04,1,0926bde8bletest0,null,-72.16666666666667,2,,1676953531000
79962,164732b9,2023/02/21 12:25:08,1,0926bde8bletest0,null,-78.2,3,,1676953531000
79963,164732b9,2023/02/21 12:24:25,1,0926bde8bletest0,null,-73,2,,1676953531000
79968,164732b9,2023/02/21 12:25:09,1,0926bde8bletest0,null,-82,3,,1676953531000
79969,164732b9,2023/02/21 12:24:26,1,0926bde8bletest0,null,-73,2,,1676953531000
80303,164732b9,2023/02/21 12:26:32,1,0926bde8bletest0,null,-73,2,,1676953630000
80623,164732b9,2023/02/21 12:27:19,1,0926bde8bletest0,null,-69.5,2,,1676953712000
80627,164732b9,2023/02/21 12:27:20,1,0926bde8bletest0,null,-62,1,,1676953712000
80637,164732b9,2023/02/21 12:27:23,1,0926bde8bletest0,null,-72,2,,1676953712000
80639,164732b9,2023/02/21 12:27:24,1,0926bde8bletest0,null,-85,5,,1676953712000
81480,164732b9,2023/02/21 12:30:23,1,0926bde8bletest0,null,-66,2,,1676953920000
81490,164732b9,2023/02/21 12:30:24,1,0926bde8bletest0,null,-69,2,,1676953920000
81491,164732b9,2023/02/21 12:31:18,1,0926bde8bletest0,null,-74,2,,1676953920000
81498,164732b9,2023/02/21 12:31:19,1,0926bde8bletest0,null,-76.5,3,,1676953920000
81501,164732b9,2023/02/21 12:30:28,1,0926bde8bletest0,null,-76.5,3,,1676953920000
81504,164732b9,2023/02/21 12:31:22,1,0926bde8bletest0,null,-72.66666666666667,2,,1676953920000
81510,164732b9,2023/02/21 12:31:23,1,0926bde8bletest0,null,-71.75,2,,1676953920000
81514,164732b9,2023/02/21 12:31:26,1,0926bde8bletest0,null,-71,2,,1676953920000
81517,164732b9,2023/02/21 12:30:31,1,0926bde8bletest0,null,-80,3,,1676953920000
81526,164732b9,2023/02/21 12:30:32,1,0926bde8bletest0,null,-77,3,,1676953920000
81530,164732b9,2023/02/21 12:30:35,1,0926bde8bletest0,null,-67,2,,1676953920000
81534,164732b9,2023/02/21 12:30:36,1,0926bde8bletest0,null,-65,1,,1676953920000
81811,164732b9,2023/02/21 12:32:04,1,0926bde8bletest0,null,-66.5,2,,1676954011000
81823,164732b9,2023/02/21 12:32:05,1,0926bde8bletest0,null,-66,2,,1676954011000
81835,164732b9,2023/02/21 12:32:09,1,0926bde8bletest0,null,-65.57142857142857,2,,1676954011000
82162,164732b9,2023/02/21 12:34:14,1,0926bde8bletest0,null,-68.75,2,,1676954098000
82165,164732b9,2023/02/21 12:34:15,1,0926bde8bletest0,null,-79,3,,1676954098000
82173,164732b9,2023/02/21 12:34:18,1,0926bde8bletest0,null,-77.5,3,,1676954098000
82177,164732b9,2023/02/21 12:34:19,1,0926bde8bletest0,null,-77.33333333333333,3,,1676954098000
82545,164732b9,2023/02/21 12:35:02,1,0926bde8bletest0,null,-58,1,,1676954193000
83020,164732b9,2023/02/21 12:36:37,1,0926bde8bletest0,null,-76,3,,1676954287000
83034,164732b9,2023/02/21 12:37:17,1,0926bde8bletest0,null,-72,2,,1676954287000
83040,164732b9,2023/02/21 12:36:38,1,0926bde8bletest0,null,-72.75,2,,1676954287000
83050,164732b9,2023/02/21 12:37:18,1,0926bde8bletest0,null,-73,2,,1676954287000
83057,164732b9,2023/02/21 12:37:21,1,0926bde8bletest0,null,-79,3,,1676954287000
83065,164732b9,2023/02/21 12:37:22,1,0926bde8bletest0,null,-78.5,3,,1676954287000
83074,164732b9,2023/02/21 12:37:25,1,0926bde8bletest0,null,-68,2,,1676954287000
83078,164732b9,2023/02/21 12:37:26,1,0926bde8bletest0,null,-68.5,2,,1676954287000
83082,164732b9,2023/02/21 12:37:29,1,0926bde8bletest0,null,-71,2,,1676954287000
83388,164732b9,2023/02/21 12:38:59,1,0926bde8bletest0,null,-58.333333333333336,1,,1676954378000
83396,164732b9,2023/02/21 12:38:12,1,0926bde8bletest0,null,-63.75,1,,1676954378000
83406,164732b9,2023/02/21 12:38:13,1,0926bde8bletest0,null,-63,1,,1676954378000
83411,164732b9,2023/02/21 12:39:03,1,0926bde8bletest0,null,-58.25,1,,1676954378000
83420,164732b9,2023/02/21 12:39:04,1,0926bde8bletest0,null,-56,1,,1676954378000
