id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
100255,75909e89,2023/03/24 09:16:12,1,0926bde8bletest0,null,-74,2,,1679620672000
100259,75909e89,2023/03/24 09:16:13,1,0926bde8bletest0,null,-72.33333333333333,2,,1679620672000
100271,75909e89,2023/03/24 09:16:14,1,0926bde8bletest0,null,-72,2,,1679620672000
100279,75909e89,2023/03/24 09:16:15,1,0926bde8bletest0,null,-72.5,2,,1679620672000
100287,75909e89,2023/03/24 09:16:16,1,0926bde8bletest0,null,-72.5,2,,1679620672000
100291,75909e89,2023/03/24 09:16:17,1,0926bde8bletest0,null,-69.5,2,,1679620672000
100295,75909e89,2023/03/24 09:16:18,1,0926bde8bletest0,null,-71.5,2,,1679620672000
100949,75909e89,2023/03/24 09:19:27,1,0926bde8bletest0,null,-71.5,2,,1679620856000
100953,75909e89,2023/03/24 09:19:28,1,0926bde8bletest0,null,-71,2,,1679620856000
102041,75909e89,2023/03/24 09:24:45,1,0926bde8bletest0,null,-76,3,,1679621131000
102047,75909e89,2023/03/24 09:24:08,1,0926bde8bletest0,null,-73,2,,1679621131000
102053,75909e89,2023/03/24 09:24:47,1,0926bde8bletest0,null,-73.5,2,,1679621131000
102060,75909e89,2023/03/24 09:24:48,1,0926bde8bletest0,null,-87,5,,1679621131000
102068,75909e89,2023/03/24 09:24:49,1,0926bde8bletest0,null,-81,3,,1679621131000
102072,75909e89,2023/03/24 09:24:50,1,0926bde8bletest0,null,-79.5,3,,1679621131000
102080,75909e89,2023/03/24 09:24:51,1,0926bde8bletest0,null,-76,3,,1679621131000
102088,75909e89,2023/03/24 09:24:52,1,0926bde8bletest0,null,-76,3,,1679621131000
102095,75909e89,2023/03/24 09:24:53,1,0926bde8bletest0,null,-74.75,2,,1679621131000
102100,75909e89,2023/03/24 09:24:54,1,0926bde8bletest0,null,-76,3,,1679621131000
102300,75909e89,2023/03/24 09:25:35,1,0926bde8bletest0,null,-81,3,,1679621225000
102307,75909e89,2023/03/24 09:25:36,1,0926bde8bletest0,null,-83.5,3,,1679621225000
102315,75909e89,2023/03/24 09:25:38,1,0926bde8bletest0,null,-81,3,,1679621225000
102327,75909e89,2023/03/24 09:25:39,1,0926bde8bletest0,null,-83.5,3,,1679621225000
102714,75909e89,2023/03/24 09:27:50,1,0926bde8bletest0,null,-83,3,,1679621312000
102718,75909e89,2023/03/24 09:27:11,1,0926bde8bletest0,null,-86,5,,1679621312000
102721,75909e89,2023/03/24 09:27:51,1,0926bde8bletest0,null,-80,3,,1679621312000
102727,75909e89,2023/03/24 09:27:12,1,0926bde8bletest0,null,-81,3,,1679621312000
102731,75909e89,2023/03/24 09:27:13,1,0926bde8bletest0,null,-82,3,,1679621312000
102733,75909e89,2023/03/24 09:27:52,1,0926bde8bletest0,null,-79,3,,1679621312000
102740,75909e89,2023/03/24 09:27:14,1,0926bde8bletest0,null,-81.5,3,,1679621312000
102741,75909e89,2023/03/24 09:27:53,1,0926bde8bletest0,null,-82,3,,1679621312000
102752,75909e89,2023/03/24 09:27:15,1,0926bde8bletest0,null,-84.5,3,,1679621312000
102757,75909e89,2023/03/24 09:27:54,1,0926bde8bletest0,null,-84,3,,1679621312000
102770,75909e89,2023/03/24 09:27:55,1,0926bde8bletest0,null,-79,3,,1679621312000
102771,75909e89,2023/03/24 09:27:56,1,0926bde8bletest0,null,-85.66666666666667,5,,1679621312000
102782,75909e89,2023/03/24 09:27:57,1,0926bde8bletest0,null,-84,3,,1679621312000
102788,75909e89,2023/03/24 09:27:58,1,0926bde8bletest0,null,-85.5,5,,1679621312000
102791,75909e89,2023/03/24 09:27:59,1,0926bde8bletest0,null,-81.5,3,,1679621312000
103195,75909e89,2023/03/24 09:28:44,1,0926bde8bletest0,null,-80,3,,1679621399000
103207,75909e89,2023/03/24 09:28:46,1,0926bde8bletest0,null,-84,3,,1679621399000
103215,75909e89,2023/03/24 09:28:47,1,0926bde8bletest0,null,-85,5,,1679621399000
103219,75909e89,2023/03/24 09:28:48,1,0926bde8bletest0,null,-77,3,,1679621399000
103223,75909e89,2023/03/24 09:28:49,1,0926bde8bletest0,null,-85,5,,1679621399000
103232,75909e89,2023/03/24 09:28:50,1,0926bde8bletest0,null,-83,3,,1679621399000
103238,75909e89,2023/03/24 09:28:51,1,0926bde8bletest0,null,-83,3,,1679621399000
103242,75909e89,2023/03/24 09:28:52,1,0926bde8bletest0,null,-91,5,,1679621399000
