id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
99895,75909e89,2023/03/24 09:15:18,1,dc32f1d2bletest0,null,-79.5,3,,1679620567000
99897,75909e89,2023/03/24 09:15:19,1,dc32f1d2bletest0,null,-71.66666666666667,2,,1679620567000
99905,75909e89,2023/03/24 09:15:20,1,dc32f1d2bletest0,null,-76,3,,1679620567000
99919,75909e89,2023/03/24 09:15:21,1,dc32f1d2bletest0,null,-72.5,2,,1679620567000
99923,75909e89,2023/03/24 09:15:22,1,dc32f1d2bletest0,null,-73,2,,1679620567000
100253,75909e89,2023/03/24 09:17:01,1,dc32f1d2bletest0,null,-75,2,,1679620672000
100261,75909e89,2023/03/24 09:17:02,1,dc32f1d2bletest0,null,-76,3,,1679620672000
101356,75909e89,2023/03/24 09:21:57,1,dc32f1d2bletest0,null,-64,1,,1679620950000
101360,75909e89,2023/03/24 09:21:58,1,dc32f1d2bletest0,null,-62,1,,1679620950000
101366,75909e89,2023/03/24 09:21:59,1,dc32f1d2bletest0,null,-66,2,,1679620950000
101368,75909e89,2023/03/24 09:22:00,1,dc32f1d2bletest0,null,-63,1,,1679620950000
101374,75909e89,2023/03/24 09:22:01,1,dc32f1d2bletest0,null,-59,1,,1679620950000
101682,75909e89,2023/03/24 09:23:24,1,dc32f1d2bletest0,null,-51,1,,1679621044000
101686,75909e89,2023/03/24 09:23:25,1,dc32f1d2bletest0,null,-47.666666666666664,1,,1679621044000
101694,75909e89,2023/03/24 09:23:26,1,dc32f1d2bletest0,null,-46,1,,1679621044000
101706,75909e89,2023/03/24 09:23:27,1,dc32f1d2bletest0,null,-48.5,1,,1679621044000
101707,75909e89,2023/03/24 09:22:48,1,dc32f1d2bletest0,null,-59,1,,1679621044000
101713,75909e89,2023/03/24 09:22:49,1,dc32f1d2bletest0,null,-69.5,2,,1679621044000
101715,75909e89,2023/03/24 09:23:29,1,dc32f1d2bletest0,null,-62,1,,1679621044000
101716,75909e89,2023/03/24 09:22:50,1,dc32f1d2bletest0,null,-57,1,,1679621044000
101718,75909e89,2023/03/24 09:23:30,1,dc32f1d2bletest0,null,-55.5,1,,1679621044000
101719,75909e89,2023/03/24 09:22:51,1,dc32f1d2bletest0,null,-59,1,,1679621044000
101723,75909e89,2023/03/24 09:23:31,1,dc32f1d2bletest0,null,-59.333333333333336,1,,1679621044000
101725,75909e89,2023/03/24 09:23:32,1,dc32f1d2bletest0,null,-58.333333333333336,1,,1679621044000
101726,75909e89,2023/03/24 09:23:33,1,dc32f1d2bletest0,null,-48.75,1,,1679621044000
102066,75909e89,2023/03/24 09:24:13,1,dc32f1d2bletest0,null,-72,2,,1679621131000
102070,75909e89,2023/03/24 09:24:14,1,dc32f1d2bletest0,null,-73,2,,1679621131000
102079,75909e89,2023/03/24 09:24:15,1,dc32f1d2bletest0,null,-76.33333333333333,3,,1679621131000
102083,75909e89,2023/03/24 09:24:16,1,dc32f1d2bletest0,null,-71,2,,1679621131000
102093,75909e89,2023/03/24 09:24:17,1,dc32f1d2bletest0,null,-74.66666666666667,2,,1679621131000
102099,75909e89,2023/03/24 09:24:18,1,dc32f1d2bletest0,null,-80,3,,1679621131000
102717,75909e89,2023/03/24 09:27:50,1,dc32f1d2bletest0,null,-79,3,,1679621312000
102719,75909e89,2023/03/24 09:27:51,1,dc32f1d2bletest0,null,-74,2,,1679621312000
102737,75909e89,2023/03/24 09:27:52,1,dc32f1d2bletest0,null,-76,3,,1679621312000
102745,75909e89,2023/03/24 09:27:53,1,dc32f1d2bletest0,null,-81.5,3,,1679621312000
102753,75909e89,2023/03/24 09:27:54,1,dc32f1d2bletest0,null,-78,3,,1679621312000
103149,75909e89,2023/03/24 09:28:36,1,dc32f1d2bletest0,null,-85,5,,1679621399000
103155,75909e89,2023/03/24 09:29:21,1,dc32f1d2bletest0,null,-82,3,,1679621399000
103157,75909e89,2023/03/24 09:28:37,1,dc32f1d2bletest0,null,-91,5,,1679621399000
103164,75909e89,2023/03/24 09:29:22,1,dc32f1d2bletest0,null,-80.5,3,,1679621399000
103165,75909e89,2023/03/24 09:28:38,1,dc32f1d2bletest0,null,-79,3,,1679621399000
103168,75909e89,2023/03/24 09:28:39,1,dc32f1d2bletest0,null,-84,3,,1679621399000
103169,75909e89,2023/03/24 09:29:24,1,dc32f1d2bletest0,null,-80,3,,1679621399000
103176,75909e89,2023/03/24 09:28:40,1,dc32f1d2bletest0,null,-89,5,,1679621399000
103181,75909e89,2023/03/24 09:29:25,1,dc32f1d2bletest0,null,-78.5,3,,1679621399000
103185,75909e89,2023/03/24 09:29:26,1,dc32f1d2bletest0,null,-78,3,,1679621399000
103193,75909e89,2023/03/24 09:29:27,1,dc32f1d2bletest0,null,-79.66666666666667,3,,1679621399000
103205,75909e89,2023/03/24 09:29:28,1,dc32f1d2bletest0,null,-78,3,,1679621399000
103209,75909e89,2023/03/24 09:29:29,1,dc32f1d2bletest0,null,-81,3,,1679621399000
103221,75909e89,2023/03/24 09:29:30,1,dc32f1d2bletest0,null,-85,5,,1679621399000
