id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
99891,75909e89,2023/03/24 09:14:37,1,fedc20debletest0,null,-80,3,,1679620567000
99892,75909e89,2023/03/24 09:15:18,1,fedc20debletest0,null,-76.5,3,,1679620567000
99894,75909e89,2023/03/24 09:14:38,1,fedc20debletest0,null,-78,3,,1679620567000
99898,75909e89,2023/03/24 09:14:39,1,fedc20debletest0,null,-66,2,,1679620567000
99900,75909e89,2023/03/24 09:15:19,1,fedc20debletest0,null,-72,2,,1679620567000
99901,75909e89,2023/03/24 09:14:40,1,fedc20debletest0,null,-66.5,2,,1679620567000
99904,75909e89,2023/03/24 09:14:41,1,fedc20debletest0,null,-76,3,,1679620567000
99908,75909e89,2023/03/24 09:15:20,1,fedc20debletest0,null,-75,2,,1679620567000
99909,75909e89,2023/03/24 09:14:42,1,fedc20debletest0,null,-74,2,,1679620567000
99912,75909e89,2023/03/24 09:14:43,1,fedc20debletest0,null,-72,2,,1679620567000
99914,75909e89,2023/03/24 09:15:21,1,fedc20debletest0,null,-75,2,,1679620567000
99916,75909e89,2023/03/24 09:14:44,1,fedc20debletest0,null,-75,2,,1679620567000
99920,75909e89,2023/03/24 09:14:45,1,fedc20debletest0,null,-79.5,3,,1679620567000
99924,75909e89,2023/03/24 09:14:46,1,fedc20debletest0,null,-75,2,,1679620567000
99927,75909e89,2023/03/24 09:15:22,1,fedc20debletest0,null,-70,2,,1679620567000
99928,75909e89,2023/03/24 09:14:47,1,fedc20debletest0,null,-78,3,,1679620567000
99931,75909e89,2023/03/24 09:15:23,1,fedc20debletest0,null,-78,3,,1679620567000
99932,75909e89,2023/03/24 09:14:48,1,fedc20debletest0,null,-80,3,,1679620567000
99935,75909e89,2023/03/24 09:15:24,1,fedc20debletest0,null,-77.5,3,,1679620567000
99936,75909e89,2023/03/24 09:14:49,1,fedc20debletest0,null,-78,3,,1679620567000
99939,75909e89,2023/03/24 09:15:25,1,fedc20debletest0,null,-74.5,2,,1679620567000
99940,75909e89,2023/03/24 09:14:50,1,fedc20debletest0,null,-77,3,,1679620567000
99943,75909e89,2023/03/24 09:15:26,1,fedc20debletest0,null,-69,2,,1679620567000
99946,75909e89,2023/03/24 09:15:27,1,fedc20debletest0,null,-77,3,,1679620567000
99949,75909e89,2023/03/24 09:15:28,1,fedc20debletest0,null,-75,2,,1679620567000
99951,75909e89,2023/03/24 09:15:29,1,fedc20debletest0,null,-73,2,,1679620567000
99955,75909e89,2023/03/24 09:15:30,1,fedc20debletest0,null,-71.5,2,,1679620567000
99957,75909e89,2023/03/24 09:15:31,1,fedc20debletest0,null,-74,2,,1679620567000
99961,75909e89,2023/03/24 09:15:32,1,fedc20debletest0,null,-74,2,,1679620567000
99964,75909e89,2023/03/24 09:15:33,1,fedc20debletest0,null,-77.66666666666667,3,,1679620567000
99967,75909e89,2023/03/24 09:15:34,1,fedc20debletest0,null,-77,3,,1679620567000
99970,75909e89,2023/03/24 09:15:35,1,fedc20debletest0,null,-72,2,,1679620567000
100250,75909e89,2023/03/24 09:17:01,1,fedc20debletest0,null,-74.5,2,,1679620672000
100251,75909e89,2023/03/24 09:16:12,1,fedc20debletest0,null,-78,3,,1679620672000
100257,75909e89,2023/03/24 09:17:02,1,fedc20debletest0,null,-75.66666666666667,2,,1679620672000
100263,75909e89,2023/03/24 09:16:13,1,fedc20debletest0,null,-76,3,,1679620672000
100265,75909e89,2023/03/24 09:17:03,1,fedc20debletest0,null,-78.5,3,,1679620672000
100267,75909e89,2023/03/24 09:16:14,1,fedc20debletest0,null,-73.5,2,,1679620672000
100269,75909e89,2023/03/24 09:17:04,1,fedc20debletest0,null,-75.2,2,,1679620672000
100273,75909e89,2023/03/24 09:17:05,1,fedc20debletest0,null,-79.66666666666667,3,,1679620672000
100275,75909e89,2023/03/24 09:16:15,1,fedc20debletest0,null,-80,3,,1679620672000
