id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
100173,dc32f1d2,2023/03/24 09:16:16,1,0926bde8bletest0,null,-67.5,2,,1679620665000
100177,dc32f1d2,2023/03/24 09:16:17,1,0926bde8bletest0,null,-79.5,3,,1679620665000
100182,dc32f1d2,2023/03/24 09:16:18,1,0926bde8bletest0,null,-78,3,,1679620665000
100856,dc32f1d2,2023/03/24 09:19:59,1,0926bde8bletest0,null,-67.33333333333333,2,,1679620845000
100857,dc32f1d2,2023/03/24 09:19:21,1,0926bde8bletest0,null,-65,1,,1679620845000
100861,dc32f1d2,2023/03/24 09:19:22,1,0926bde8bletest0,null,-89,5,,1679620845000
100868,dc32f1d2,2023/03/24 09:20:00,1,0926bde8bletest0,null,-69.5,2,,1679620845000
100873,dc32f1d2,2023/03/24 09:19:23,1,0926bde8bletest0,null,-68,2,,1679620845000
100881,dc32f1d2,2023/03/24 09:19:25,1,0926bde8bletest0,null,-65,1,,1679620845000
100888,dc32f1d2,2023/03/24 09:20:01,1,0926bde8bletest0,null,-71,2,,1679620845000
100889,dc32f1d2,2023/03/24 09:19:26,1,0926bde8bletest0,null,-75,2,,1679620845000
100896,dc32f1d2,2023/03/24 09:20:02,1,0926bde8bletest0,null,-67,2,,1679620845000
100897,dc32f1d2,2023/03/24 09:19:27,1,0926bde8bletest0,null,-66,2,,1679620845000
100905,dc32f1d2,2023/03/24 09:19:28,1,0926bde8bletest0,null,-72,2,,1679620845000
100908,dc32f1d2,2023/03/24 09:20:03,1,0926bde8bletest0,null,-73,2,,1679620845000
100919,dc32f1d2,2023/03/24 09:20:04,1,0926bde8bletest0,null,-67,2,,1679620845000
100923,dc32f1d2,2023/03/24 09:20:05,1,0926bde8bletest0,null,-70,2,,1679620845000
100929,dc32f1d2,2023/03/24 09:20:06,1,0926bde8bletest0,null,-70,2,,1679620845000
101205,dc32f1d2,2023/03/24 09:21:34,1,0926bde8bletest0,null,-66,2,,1679620936000
101206,dc32f1d2,2023/03/24 09:20:49,1,0926bde8bletest0,null,-69,2,,1679620936000
101212,dc32f1d2,2023/03/24 09:21:35,1,0926bde8bletest0,null,-63,1,,1679620936000
101215,dc32f1d2,2023/03/24 09:20:50,1,0926bde8bletest0,null,-62.5,1,,1679620936000
101220,dc32f1d2,2023/03/24 09:21:36,1,0926bde8bletest0,null,-67,2,,1679620936000
101223,dc32f1d2,2023/03/24 09:20:51,1,0926bde8bletest0,null,-65,1,,1679620936000
101228,dc32f1d2,2023/03/24 09:21:37,1,0926bde8bletest0,null,-72,2,,1679620936000
101234,dc32f1d2,2023/03/24 09:20:52,1,0926bde8bletest0,null,-71.5,2,,1679620936000
101240,dc32f1d2,2023/03/24 09:21:38,1,0926bde8bletest0,null,-79,3,,1679620936000
101246,dc32f1d2,2023/03/24 09:20:53,1,0926bde8bletest0,null,-62,1,,1679620936000
101260,dc32f1d2,2023/03/24 09:21:39,1,0926bde8bletest0,null,-64,1,,1679620936000
101262,dc32f1d2,2023/03/24 09:20:54,1,0926bde8bletest0,null,-71,2,,1679620936000
101270,dc32f1d2,2023/03/24 09:21:40,1,0926bde8bletest0,null,-69,2,,1679620936000
101274,dc32f1d2,2023/03/24 09:21:41,1,0926bde8bletest0,null,-67,2,,1679620936000
101276,dc32f1d2,2023/03/24 09:20:55,1,0926bde8bletest0,null,-68,2,,1679620936000
101284,dc32f1d2,2023/03/24 09:20:56,1,0926bde8bletest0,null,-70,2,,1679620936000
101290,dc32f1d2,2023/03/24 09:21:42,1,0926bde8bletest0,null,-71,2,,1679620936000
101547,dc32f1d2,2023/03/24 09:23:00,1,0926bde8bletest0,null,-63,1,,1679621021000
101553,dc32f1d2,2023/03/24 09:23:02,1,0926bde8bletest0,null,-74,2,,1679621021000
101555,dc32f1d2,2023/03/24 09:22:20,1,0926bde8bletest0,null,-73,2,,1679621021000
101561,dc32f1d2,2023/03/24 09:23:03,1,0926bde8bletest0,null,-64,1,,1679621021000
101567,dc32f1d2,2023/03/24 09:22:21,1,0926bde8bletest0,null,-71.2,2,,1679621021000
101569,dc32f1d2,2023/03/24 09:23:04,1,0926bde8bletest0,null,-89.5,5,,1679621021000
101571,dc32f1d2,2023/03/24 09:22:22,1,0926bde8bletest0,null,-70,2,,1679621021000
101583,dc32f1d2,2023/03/24 09:22:23,1,0926bde8bletest0,null,-65,1,,1679621021000
101586,dc32f1d2,2023/03/24 09:23:05,1,0926bde8bletest0,null,-69.66666666666667,2,,1679621021000
101594,dc32f1d2,2023/03/24 09:23:06,1,0926bde8bletest0,null,-70.5,2,,1679621021000
101599,dc32f1d2,2023/03/24 09:22:24,1,0926bde8bletest0,null,-66.5,2,,1679621021000
101609,dc32f1d2,2023/03/24 09:22:25,1,0926bde8bletest0,null,-64.6,1,,1679621021000
101610,dc32f1d2,2023/03/24 09:23:07,1,0926bde8bletest0,null,-67,2,,1679621021000
101620,dc32f1d2,2023/03/24 09:23:08,1,0926bde8bletest0,null,-71,2,,1679621021000
101624,dc32f1d2,2023/03/24 09:23:09,1,0926bde8bletest0,null,-67,2,,1679621021000
101633,dc32f1d2,2023/03/24 09:23:10,1,0926bde8bletest0,null,-66.66666666666667,2,,1679621021000
101638,dc32f1d2,2023/03/24 09:23:11,1,0926bde8bletest0,null,-69,2,,1679621021000
101647,dc32f1d2,2023/03/24 09:23:12,1,0926bde8bletest0,null,-65,1,,1679621021000
101932,dc32f1d2,2023/03/24 09:23:50,1,0926bde8bletest0,null,-67,2,,1679621126000
101944,dc32f1d2,2023/03/24 09:23:51,1,0926bde8bletest0,null,-68.5,2,,1679621126000
101956,dc32f1d2,2023/03/24 09:23:52,1,0926bde8bletest0,null,-69.5,2,,1679621126000
101966,dc32f1d2,2023/03/24 09:24:39,1,0926bde8bletest0,null,-78.66666666666667,3,,1679621126000
101976,dc32f1d2,2023/03/24 09:23:53,1,0926bde8bletest0,null,-67,2,,1679621126000
101978,dc32f1d2,2023/03/24 09:24:40,1,0926bde8bletest0,null,-65,1,,1679621126000
101984,dc32f1d2,2023/03/24 09:23:54,1,0926bde8bletest0,null,-68,2,,1679621126000
101986,dc32f1d2,2023/03/24 09:24:41,1,0926bde8bletest0,null,-64.5,1,,1679621126000
101994,dc32f1d2,2023/03/24 09:24:42,1,0926bde8bletest0,null,-71,2,,1679621126000
101996,dc32f1d2,2023/03/24 09:23:55,1,0926bde8bletest0,null,-64.5,1,,1679621126000
102006,dc32f1d2,2023/03/24 09:24:43,1,0926bde8bletest0,null,-71,2,,1679621126000
102009,dc32f1d2,2023/03/24 09:23:56,1,0926bde8bletest0,null,-68,2,,1679621126000
102013,dc32f1d2,2023/03/24 09:23:57,1,0926bde8bletest0,null,-66,2,,1679621126000
102017,dc32f1d2,2023/03/24 09:24:45,1,0926bde8bletest0,null,-71,2,,1679621126000
102023,dc32f1d2,2023/03/24 09:23:58,1,0926bde8bletest0,null,-68,2,,1679621126000
102024,dc32f1d2,2023/03/24 09:24:47,1,0926bde8bletest0,null,-70.5,2,,1679621126000
102029,dc32f1d2,2023/03/24 09:23:59,1,0926bde8bletest0,null,-70.25,2,,1679621126000
102036,dc32f1d2,2023/03/24 09:24:49,1,0926bde8bletest0,null,-71,2,,1679621126000
102037,dc32f1d2,2023/03/24 09:24:00,1,0926bde8bletest0,null,-69.5,2,,1679621126000
102373,dc32f1d2,2023/03/24 09:26:16,1,0926bde8bletest0,null,-76.25,3,,1679621227000
102377,dc32f1d2,2023/03/24 09:26:17,1,0926bde8bletest0,null,-75,2,,1679621227000
102381,dc32f1d2,2023/03/24 09:26:18,1,0926bde8bletest0,null,-80,3,,1679621227000
102383,dc32f1d2,2023/03/24 09:26:19,1,0926bde8bletest0,null,-72,2,,1679621227000
102397,dc32f1d2,2023/03/24 09:25:31,1,0926bde8bletest0,null,-69.66666666666667,2,,1679621227000
102402,dc32f1d2,2023/03/24 09:25:32,1,0926bde8bletest0,null,-75.5,2,,1679621227000
102408,dc32f1d2,2023/03/24 09:25:33,1,0926bde8bletest0,null,-74.5,2,,1679621227000
102416,dc32f1d2,2023/03/24 09:25:34,1,0926bde8bletest0,null,-80.66666666666667,3,,1679621227000
102424,dc32f1d2,2023/03/24 09:25:35,1,0926bde8bletest0,null,-67.5,2,,1679621227000
102433,dc32f1d2,2023/03/24 09:25:36,1,0926bde8bletest0,null,-75,2,,1679621227000
102439,dc32f1d2,2023/03/24 09:25:37,1,0926bde8bletest0,null,-73.33333333333333,2,,1679621227000
102445,dc32f1d2,2023/03/24 09:25:38,1,0926bde8bletest0,null,-83,3,,1679621227000
102815,dc32f1d2,2023/03/24 09:27:56,1,0926bde8bletest0,null,-75,2,,1679621321000
102817,dc32f1d2,2023/03/24 09:27:11,1,0926bde8bletest0,null,-65,1,,1679621321000
102820,dc32f1d2,2023/03/24 09:27:57,1,0926bde8bletest0,null,-86,5,,1679621321000
102821,dc32f1d2,2023/03/24 09:27:12,1,0926bde8bletest0,null,-67.5,2,,1679621321000
102822,dc32f1d2,2023/03/24 09:27:58,1,0926bde8bletest0,null,-76.66666666666667,3,,1679621321000
102823,dc32f1d2,2023/03/24 09:27:13,1,0926bde8bletest0,null,-68.5,2,,1679621321000
102824,dc32f1d2,2023/03/24 09:27:59,1,0926bde8bletest0,null,-76.5,3,,1679621321000
102826,dc32f1d2,2023/03/24 09:28:00,1,0926bde8bletest0,null,-74,2,,1679621321000
102827,dc32f1d2,2023/03/24 09:27:14,1,0926bde8bletest0,null,-74.66666666666667,2,,1679621321000
102830,dc32f1d2,2023/03/24 09:28:01,1,0926bde8bletest0,null,-73.5,2,,1679621321000
102831,dc32f1d2,2023/03/24 09:27:15,1,0926bde8bletest0,null,-70,2,,1679621321000
102832,dc32f1d2,2023/03/24 09:28:02,1,0926bde8bletest0,null,-71,2,,1679621321000
102834,dc32f1d2,2023/03/24 09:28:03,1,0926bde8bletest0,null,-79.5,3,,1679621321000
102838,dc32f1d2,2023/03/24 09:28:04,1,0926bde8bletest0,null,-75.66666666666667,2,,1679621321000
102845,dc32f1d2,2023/03/24 09:28:05,1,0926bde8bletest0,null,-71,2,,1679621321000
103246,dc32f1d2,2023/03/24 09:29:33,1,0926bde8bletest0,null,-61,1,,1679621415000
103247,dc32f1d2,2023/03/24 09:29:34,1,0926bde8bletest0,null,-59.333333333333336,1,,1679621415000
103249,dc32f1d2,2023/03/24 09:28:45,1,0926bde8bletest0,null,-65,1,,1679621415000
103252,dc32f1d2,2023/03/24 09:29:35,1,0926bde8bletest0,null,-64,1,,1679621415000
103253,dc32f1d2,2023/03/24 09:28:46,1,0926bde8bletest0,null,-70,2,,1679621415000
103254,dc32f1d2,2023/03/24 09:29:36,1,0926bde8bletest0,null,-58,1,,1679621415000
103258,dc32f1d2,2023/03/24 09:28:47,1,0926bde8bletest0,null,-78.5,3,,1679621415000
