id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
103905,0926bde8,2023/03/24 09:40:07,1,dc32f1d2bletest0,null,-64,1,,1679622045000
103908,0926bde8,2023/03/24 09:40:08,1,dc32f1d2bletest0,null,-66,2,,1679622045000
103917,0926bde8,2023/03/24 09:40:09,1,dc32f1d2bletest0,null,-76,3,,1679622045000
103920,0926bde8,2023/03/24 09:40:10,1,dc32f1d2bletest0,null,-77,3,,1679622045000
103926,0926bde8,2023/03/24 09:40:11,1,dc32f1d2bletest0,null,-70,2,,1679622045000
103932,0926bde8,2023/03/24 09:40:12,1,dc32f1d2bletest0,null,-77,3,,1679622045000
103937,0926bde8,2023/03/24 09:40:13,1,dc32f1d2bletest0,null,-71,2,,1679622045000
104185,0926bde8,2023/03/24 09:40:49,1,dc32f1d2bletest0,null,-68,2,,1679622137000
104192,0926bde8,2023/03/24 09:41:33,1,dc32f1d2bletest0,null,-70,2,,1679622137000
104197,0926bde8,2023/03/24 09:40:50,1,dc32f1d2bletest0,null,-72.16666666666667,2,,1679622137000
104199,0926bde8,2023/03/24 09:41:34,1,dc32f1d2bletest0,null,-77,3,,1679622137000
104205,0926bde8,2023/03/24 09:40:51,1,dc32f1d2bletest0,null,-69.57142857142857,2,,1679622137000
104207,0926bde8,2023/03/24 09:41:35,1,dc32f1d2bletest0,null,-74,2,,1679622137000
104215,0926bde8,2023/03/24 09:41:36,1,dc32f1d2bletest0,null,-74.33333333333333,2,,1679622137000
104217,0926bde8,2023/03/24 09:40:52,1,dc32f1d2bletest0,null,-70.5,2,,1679622137000
104222,0926bde8,2023/03/24 09:41:37,1,dc32f1d2bletest0,null,-74,2,,1679622137000
104229,0926bde8,2023/03/24 09:40:53,1,dc32f1d2bletest0,null,-71.33333333333333,2,,1679622137000
104230,0926bde8,2023/03/24 09:41:39,1,dc32f1d2bletest0,null,-83.5,3,,1679622137000
104239,0926bde8,2023/03/24 09:40:54,1,dc32f1d2bletest0,null,-70,2,,1679622137000
104241,0926bde8,2023/03/24 09:41:40,1,dc32f1d2bletest0,null,-74.5,2,,1679622137000
104243,0926bde8,2023/03/24 09:40:55,1,dc32f1d2bletest0,null,-69.33333333333333,2,,1679622137000
104251,0926bde8,2023/03/24 09:40:56,1,dc32f1d2bletest0,null,-70,2,,1679622137000
104253,0926bde8,2023/03/24 09:41:42,1,dc32f1d2bletest0,null,-77,3,,1679622137000
104256,0926bde8,2023/03/24 09:41:43,1,dc32f1d2bletest0,null,-72,2,,1679622137000
104265,0926bde8,2023/03/24 09:41:45,1,dc32f1d2bletest0,null,-70,2,,1679622137000
104271,0926bde8,2023/03/24 09:41:46,1,dc32f1d2bletest0,null,-74,2,,1679622137000
104273,0926bde8,2023/03/24 09:41:47,1,dc32f1d2bletest0,null,-81.5,3,,1679622137000
104514,0926bde8,2023/03/24 09:43:06,1,dc32f1d2bletest0,null,-71,2,,1679622235000
104522,0926bde8,2023/03/24 09:43:07,1,dc32f1d2bletest0,null,-65,1,,1679622235000
104533,0926bde8,2023/03/24 09:43:09,1,dc32f1d2bletest0,null,-75,2,,1679622235000
104540,0926bde8,2023/03/24 09:42:29,1,dc32f1d2bletest0,null,-67,2,,1679622235000
104541,0926bde8,2023/03/24 09:43:10,1,dc32f1d2bletest0,null,-80,3,,1679622235000
104548,0926bde8,2023/03/24 09:42:30,1,dc32f1d2bletest0,null,-74,2,,1679622235000
104554,0926bde8,2023/03/24 09:43:12,1,dc32f1d2bletest0,null,-81,3,,1679622235000
104555,0926bde8,2023/03/24 09:42:31,1,dc32f1d2bletest0,null,-66.66666666666667,2,,1679622235000
104562,0926bde8,2023/03/24 09:42:32,1,dc32f1d2bletest0,null,-65.33333333333333,2,,1679622235000
104563,0926bde8,2023/03/24 09:43:13,1,dc32f1d2bletest0,null,-70,2,,1679622235000
104569,0926bde8,2023/03/24 09:42:33,1,dc32f1d2bletest0,null,-61,1,,1679622235000
104571,0926bde8,2023/03/24 09:43:14,1,dc32f1d2bletest0,null,-72.5,2,,1679622235000
104577,0926bde8,2023/03/24 09:42:34,1,dc32f1d2bletest0,null,-65,1,,1679622235000
104579,0926bde8,2023/03/24 09:43:15,1,dc32f1d2bletest0,null,-70,2,,1679622235000
104581,0926bde8,2023/03/24 09:42:35,1,dc32f1d2bletest0,null,-63.5,1,,1679622235000
104586,0926bde8,2023/03/24 09:43:17,1,dc32f1d2bletest0,null,-72,2,,1679622235000
