id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
104287,dc32f1d2,2023/03/24 09:41:54,1,75909e89bletest0,null,-78,3,,1679622161000
104295,dc32f1d2,2023/03/24 09:41:55,1,75909e89bletest0,null,-64,1,,1679622161000
104299,dc32f1d2,2023/03/24 09:41:56,1,75909e89bletest0,null,-79,3,,1679622161000
104307,dc32f1d2,2023/03/24 09:41:57,1,75909e89bletest0,null,-68,2,,1679622161000
104319,dc32f1d2,2023/03/24 09:41:59,1,75909e89bletest0,null,-70,2,,1679622161000
104328,dc32f1d2,2023/03/24 09:42:00,1,75909e89bletest0,null,-65.5,2,,1679622161000
104336,dc32f1d2,2023/03/24 09:42:01,1,75909e89bletest0,null,-75,2,,1679622161000
104337,dc32f1d2,2023/03/24 09:41:17,1,75909e89bletest0,null,-67,2,,1679622161000
104345,dc32f1d2,2023/03/24 09:42:02,1,75909e89bletest0,null,-76,3,,1679622161000
104348,dc32f1d2,2023/03/24 09:41:18,1,75909e89bletest0,null,-80,3,,1679622161000
104352,dc32f1d2,2023/03/24 09:42:03,1,75909e89bletest0,null,-93,5,,1679622161000
104361,dc32f1d2,2023/03/24 09:42:04,1,75909e89bletest0,null,-82,3,,1679622161000
104598,dc32f1d2,2023/03/24 09:42:45,1,75909e89bletest0,null,-72,2,,1679622247000
104599,dc32f1d2,2023/03/24 09:43:23,1,75909e89bletest0,null,-74,2,,1679622247000
104603,dc32f1d2,2023/03/24 09:42:46,1,75909e89bletest0,null,-74,2,,1679622247000
104609,dc32f1d2,2023/03/24 09:43:24,1,75909e89bletest0,null,-72,2,,1679622247000
104614,dc32f1d2,2023/03/24 09:42:48,1,75909e89bletest0,null,-75,2,,1679622247000
104617,dc32f1d2,2023/03/24 09:43:25,1,75909e89bletest0,null,-74,2,,1679622247000
104618,dc32f1d2,2023/03/24 09:42:49,1,75909e89bletest0,null,-78,3,,1679622247000
104631,dc32f1d2,2023/03/24 09:42:50,1,75909e89bletest0,null,-78,3,,1679622247000
104633,dc32f1d2,2023/03/24 09:43:28,1,75909e89bletest0,null,-63,1,,1679622247000
104643,dc32f1d2,2023/03/24 09:43:30,1,75909e89bletest0,null,-66,2,,1679622247000
104644,dc32f1d2,2023/03/24 09:42:51,1,75909e89bletest0,null,-75,2,,1679622247000
104651,dc32f1d2,2023/03/24 09:43:31,1,75909e89bletest0,null,-66,2,,1679622247000
104659,dc32f1d2,2023/03/24 09:43:32,1,75909e89bletest0,null,-66,2,,1679622247000
104664,dc32f1d2,2023/03/24 09:42:53,1,75909e89bletest0,null,-73,2,,1679622247000
104667,dc32f1d2,2023/03/24 09:43:33,1,75909e89bletest0,null,-67,2,,1679622247000
104671,dc32f1d2,2023/03/24 09:43:34,1,75909e89bletest0,null,-63,1,,1679622247000
104683,dc32f1d2,2023/03/24 09:43:35,1,75909e89bletest0,null,-72,2,,1679622247000
104898,dc32f1d2,2023/03/24 09:45:00,1,75909e89bletest0,null,-62,1,,1679622348000
104900,dc32f1d2,2023/03/24 09:44:13,1,75909e89bletest0,null,-69,2,,1679622348000
104901,dc32f1d2,2023/03/24 09:45:01,1,75909e89bletest0,null,-65,1,,1679622348000
104903,dc32f1d2,2023/03/24 09:44:14,1,75909e89bletest0,null,-61.5,1,,1679622348000
104914,dc32f1d2,2023/03/24 09:44:15,1,75909e89bletest0,null,-68,2,,1679622348000
104922,dc32f1d2,2023/03/24 09:44:16,1,75909e89bletest0,null,-62,1,,1679622348000
104926,dc32f1d2,2023/03/24 09:44:17,1,75909e89bletest0,null,-71,2,,1679622348000
104937,dc32f1d2,2023/03/24 09:44:18,1,75909e89bletest0,null,-68,2,,1679622348000
104945,dc32f1d2,2023/03/24 09:44:19,1,75909e89bletest0,null,-62,1,,1679622348000
104953,dc32f1d2,2023/03/24 09:44:20,1,75909e89bletest0,null,-66.5,2,,1679622348000
104958,dc32f1d2,2023/03/24 09:44:21,1,75909e89bletest0,null,-66,2,,1679622348000
105187,dc32f1d2,2023/03/24 09:45:53,1,75909e89bletest0,null,-62,1,,1679622451000
106048,dc32f1d2,2023/03/24 09:50:44,1,75909e89bletest0,null,-72,2,,1679622715000
106057,dc32f1d2,2023/03/24 09:50:46,1,75909e89bletest0,null,-73,2,,1679622715000
106263,dc32f1d2,2023/03/24 09:52:02,1,75909e89bletest0,null,-76,3,,1679622803000
106265,dc32f1d2,2023/03/24 09:52:03,1,75909e89bletest0,null,-70,2,,1679622803000
106283,dc32f1d2,2023/03/24 09:52:06,1,75909e89bletest0,null,-88,5,,1679622803000
106291,dc32f1d2,2023/03/24 09:52:07,1,75909e89bletest0,null,-82,3,,1679622803000
106302,dc32f1d2,2023/03/24 09:52:09,1,75909e89bletest0,null,-77.5,3,,1679622803000
106314,dc32f1d2,2023/03/24 09:52:11,1,75909e89bletest0,null,-78,3,,1679622803000
106319,dc32f1d2,2023/03/24 09:52:54,1,75909e89bletest0,null,-81,3,,1679622803000
106326,dc32f1d2,2023/03/24 09:52:55,1,75909e89bletest0,null,-75.5,2,,1679622803000
106332,dc32f1d2,2023/03/24 09:52:56,1,75909e89bletest0,null,-73,2,,1679622803000
106338,dc32f1d2,2023/03/24 09:52:57,1,75909e89bletest0,null,-79,3,,1679622803000
106564,dc32f1d2,2023/03/24 09:53:35,1,75909e89bletest0,null,-79,3,,1679622903000
106572,dc32f1d2,2023/03/24 09:53:36,1,75909e89bletest0,null,-74,2,,1679622903000
106580,dc32f1d2,2023/03/24 09:53:37,1,75909e89bletest0,null,-75,2,,1679622903000
106588,dc32f1d2,2023/03/24 09:53:38,1,75909e89bletest0,null,-78,3,,1679622903000
106596,dc32f1d2,2023/03/24 09:53:39,1,75909e89bletest0,null,-80,3,,1679622903000
106603,dc32f1d2,2023/03/24 09:53:40,1,75909e89bletest0,null,-76,3,,1679622903000
106615,dc32f1d2,2023/03/24 09:54:25,1,75909e89bletest0,null,-69,2,,1679622903000
106624,dc32f1d2,2023/03/24 09:54:27,1,75909e89bletest0,null,-70,2,,1679622903000
