"id","identity_code","ground_index","arrival_time"
"1214","e6208a42bletest0","10","2023/04/27 20:42:00"
"1218","dc32f1d2bletest0","1","2023/04/27 20:42:02"
"1219","defe41ccbletest0","9","2023/04/27 20:42:05"
"1220","dc32f1d2bletest0","2","2023/04/27 20:43:06"
"1221","e6208a42bletest0","9","2023/04/27 20:43:00"
"1223","defe41ccbletest0","8","2023/04/27 20:44:02"
"1225","dc32f1d2bletest0","3","2023/04/27 20:45:02"
"1226","defe41ccbletest0","7","2023/04/27 20:45:06"
"1227","e6208a42bletest0","8","2023/04/27 20:45:51"
"1231","dc32f1d2bletest0","4","2023/04/27 20:47:03"
"1233","defe41ccbletest0","6","2023/04/27 20:47:05"
"1234","e6208a42bletest0","7","2023/04/27 20:47:07"
"1236","defe41ccbletest0","5","2023/04/27 20:48:06"
"1237","e6208a42bletest0","6","2023/04/27 20:48:12"
"1240","dc32f1d2bletest0","5","2023/04/27 20:49:03"
"1241","defe41ccbletest0","4","2023/04/27 20:49:05"
"1242","e6208a42bletest0","5","2023/04/27 20:49:08"
"1244","defe41ccbletest0","3","2023/04/27 20:50:07"
"1245","e6208a42bletest0","4","2023/04/27 20:50:00"
"1248","dc32f1d2bletest0","6","2023/04/27 20:51:03"
"1249","e6208a42bletest0","5","2023/04/27 20:52:00"
"1251","defe41ccbletest0","2","2023/04/27 20:52:00"
"1254","defe41ccbletest0","3","2023/04/27 20:53:09"
"1255","e6208a42bletest0","4","2023/04/27 20:53:59"
"1256","dc32f1d2bletest0","7","2023/04/27 20:54:02"
"1257","defe41ccbletest0","2","2023/04/27 20:54:09"
"1261","defe41ccbletest0","1","2023/04/27 20:56:00"
"1263","dc32f1d2bletest0","8","2023/04/27 20:56:02"
"1265","e6208a42bletest0","5","2023/04/27 20:56:00"
"1268","dc32f1d2bletest0","9","2023/04/27 20:57:02"
"1269","defe41ccbletest0","2","2023/04/27 20:57:04"
"1271","e6208a42bletest0","6","2023/04/27 20:57:10"
