id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
129823,e6208a42,2023/04/27 21:05:20,1,dc32f1d2bletest0,null,-68.44444444444444,2,,1682600772000
129826,e6208a42,2023/04/27 21:05:21,1,dc32f1d2bletest0,null,-66.2,2,,1682600772000
129827,e6208a42,2023/04/27 21:05:22,1,dc32f1d2bletest0,null,-65.05882352941177,2,,1682600772000
129829,e6208a42,2023/04/27 21:05:23,1,dc32f1d2bletest0,null,-63.53333333333333,1,,1682600772000
129831,e6208a42,2023/04/27 21:05:24,1,dc32f1d2bletest0,null,-67,2,,1682600772000
129833,e6208a42,2023/04/27 21:04:36,1,dc32f1d2bletest0,null,-62,1,,1682600772000
129836,e6208a42,2023/04/27 21:05:25,1,dc32f1d2bletest0,null,-63.5,1,,1682600772000
129838,e6208a42,2023/04/27 21:05:26,1,dc32f1d2bletest0,null,-68.33333333333333,2,,1682600772000
129839,e6208a42,2023/04/27 21:04:37,1,dc32f1d2bletest0,null,-65.66666666666667,2,,1682600772000
129841,e6208a42,2023/04/27 21:05:27,1,dc32f1d2bletest0,null,-61,1,,1682600772000
129842,e6208a42,2023/04/27 21:04:38,1,dc32f1d2bletest0,null,-62.8,1,,1682600772000
129846,e6208a42,2023/04/27 21:04:39,1,dc32f1d2bletest0,null,-65.6,2,,1682600772000
129847,e6208a42,2023/04/27 21:05:28,1,dc32f1d2bletest0,null,-68.0909090909091,2,,1682600772000
129849,e6208a42,2023/04/27 21:05:29,1,dc32f1d2bletest0,null,-65.41176470588235,2,,1682600772000
129850,e6208a42,2023/04/27 21:04:40,1,dc32f1d2bletest0,null,-63,1,,1682600772000
129854,e6208a42,2023/04/27 21:04:41,1,dc32f1d2bletest0,null,-65,1,,1682600772000
129855,e6208a42,2023/04/27 21:05:30,1,dc32f1d2bletest0,null,-66.375,2,,1682600772000
129858,e6208a42,2023/04/27 21:04:42,1,dc32f1d2bletest0,null,-64.25,1,,1682600772000
129859,e6208a42,2023/04/27 21:05:31,1,dc32f1d2bletest0,null,-65.07142857142857,2,,1682600772000
129861,e6208a42,2023/04/27 21:05:32,1,dc32f1d2bletest0,null,-63.833333333333336,1,,1682600772000
129864,e6208a42,2023/04/27 21:04:43,1,dc32f1d2bletest0,null,-64.77777777777777,1,,1682600772000
129865,e6208a42,2023/04/27 21:05:33,1,dc32f1d2bletest0,null,-67.71428571428571,2,,1682600772000
129866,e6208a42,2023/04/27 21:04:44,1,dc32f1d2bletest0,null,-65.23529411764706,2,,1682600772000
129869,e6208a42,2023/04/27 21:05:34,1,dc32f1d2bletest0,null,-64.07692307692308,1,,1682600772000
129870,e6208a42,2023/04/27 21:04:45,1,dc32f1d2bletest0,null,-64.33333333333333,1,,1682600772000
129873,e6208a42,2023/04/27 21:05:35,1,dc32f1d2bletest0,null,-67.66666666666667,2,,1682600772000
129874,e6208a42,2023/04/27 21:04:46,1,dc32f1d2bletest0,null,-64.11111111111111,1,,1682600772000
129878,e6208a42,2023/04/27 21:04:47,1,dc32f1d2bletest0,null,-66.72727272727273,2,,1682600772000
129879,e6208a42,2023/04/27 21:05:36,1,dc32f1d2bletest0,null,-62.77777777777778,1,,1682600772000
129880,e6208a42,2023/04/27 21:05:37,1,dc32f1d2bletest0,null,-66.53333333333333,2,,1682600772000
129883,e6208a42,2023/04/27 21:04:48,1,dc32f1d2bletest0,null,-64.11764705882354,1,,1682600772000
129886,e6208a42,2023/04/27 21:05:38,1,dc32f1d2bletest0,null,-64.5,1,,1682600772000
129889,e6208a42,2023/04/27 21:04:49,1,dc32f1d2bletest0,null,-65.5,2,,1682600772000
129890,e6208a42,2023/04/27 21:05:39,1,dc32f1d2bletest0,null,-66.25,2,,1682600772000
129891,e6208a42,2023/04/27 21:04:50,1,dc32f1d2bletest0,null,-64.54545454545455,1,,1682600772000
129894,e6208a42,2023/04/27 21:04:51,1,dc32f1d2bletest0,null,-64.14285714285714,1,,1682600772000
129897,e6208a42,2023/04/27 21:04:52,1,dc32f1d2bletest0,null,-64,1,,1682600772000
129995,e6208a42,2023/04/27 21:07:03,1,dc32f1d2bletest0,null,-61,1,,1682600867000
129998,e6208a42,2023/04/27 21:06:16,1,dc32f1d2bletest0,null,-64.33333333333333,1,,1682600867000
129999,e6208a42,2023/04/27 21:07:04,1,dc32f1d2bletest0,null,-58.55555555555556,1,,1682600867000
130003,e6208a42,2023/04/27 21:06:17,1,dc32f1d2bletest0,null,-60,1,,1682600867000
130004,e6208a42,2023/04/27 21:07:05,1,dc32f1d2bletest0,null,-60.333333333333336,1,,1682600867000
130007,e6208a42,2023/04/27 21:06:18,1,dc32f1d2bletest0,null,-61.125,1,,1682600867000
130008,e6208a42,2023/04/27 21:07:06,1,dc32f1d2bletest0,null,-58.666666666666664,1,,1682600867000
130009,e6208a42,2023/04/27 21:06:19,1,dc32f1d2bletest0,null,-58.375,1,,1682600867000
130012,e6208a42,2023/04/27 21:07:07,1,dc32f1d2bletest0,null,-59.46153846153846,1,,1682600867000
130013,e6208a42,2023/04/27 21:06:20,1,dc32f1d2bletest0,null,-64.3,1,,1682600867000
130016,e6208a42,2023/04/27 21:07:08,1,dc32f1d2bletest0,null,-59.588235294117645,1,,1682600867000
130017,e6208a42,2023/04/27 21:06:21,1,dc32f1d2bletest0,null,-59.411764705882355,1,,1682600867000
130020,e6208a42,2023/04/27 21:07:09,1,dc32f1d2bletest0,null,-61.583333333333336,1,,1682600867000
130023,e6208a42,2023/04/27 21:06:22,1,dc32f1d2bletest0,null,-60.8,1,,1682600867000
130024,e6208a42,2023/04/27 21:07:10,1,dc32f1d2bletest0,null,-62.54545454545455,1,,1682600867000
130025,e6208a42,2023/04/27 21:06:23,1,dc32f1d2bletest0,null,-56.375,1,,1682600867000
130028,e6208a42,2023/04/27 21:07:11,1,dc32f1d2bletest0,null,-61.2,1,,1682600867000
130031,e6208a42,2023/04/27 21:06:24,1,dc32f1d2bletest0,null,-68.21428571428571,2,,1682600867000
130032,e6208a42,2023/04/27 21:07:12,1,dc32f1d2bletest0,null,-59.25,1,,1682600867000
130033,e6208a42,2023/04/27 21:06:25,1,dc32f1d2bletest0,null,-68.86666666666666,2,,1682600867000
130037,e6208a42,2023/04/27 21:06:26,1,dc32f1d2bletest0,null,-60.666666666666664,1,,1682600867000
130039,e6208a42,2023/04/27 21:07:13,1,dc32f1d2bletest0,null,-58.55555555555556,1,,1682600867000
130042,e6208a42,2023/04/27 21:06:27,1,dc32f1d2bletest0,null,-68.81818181818181,2,,1682600867000
130043,e6208a42,2023/04/27 21:07:14,1,dc32f1d2bletest0,null,-60.526315789473685,1,,1682600867000
130044,e6208a42,2023/04/27 21:06:28,1,dc32f1d2bletest0,null,-64.8,1,,1682600867000
130047,e6208a42,2023/04/27 21:07:15,1,dc32f1d2bletest0,null,-59.75,1,,1682600867000
130049,e6208a42,2023/04/27 21:07:16,1,dc32f1d2bletest0,null,-62.5,1,,1682600867000
130050,e6208a42,2023/04/27 21:06:29,1,dc32f1d2bletest0,null,-62.875,1,,1682600867000
130052,e6208a42,2023/04/27 21:06:30,1,dc32f1d2bletest0,null,-58.733333333333334,1,,1682600867000
130053,e6208a42,2023/04/27 21:07:17,1,dc32f1d2bletest0,null,-61.94117647058823,1,,1682600867000
130056,e6208a42,2023/04/27 21:06:31,1,dc32f1d2bletest0,null,-60.266666666666666,1,,1682600867000
130057,e6208a42,2023/04/27 21:07:18,1,dc32f1d2bletest0,null,-62,1,,1682600867000
130060,e6208a42,2023/04/27 21:06:32,1,dc32f1d2bletest0,null,-57.09090909090909,1,,1682600867000
130062,e6208a42,2023/04/27 21:06:33,1,dc32f1d2bletest0,null,-62.46666666666667,1,,1682600867000
130065,e6208a42,2023/04/27 21:06:34,1,dc32f1d2bletest0,null,-57.5,1,,1682600867000
130168,e6208a42,2023/04/27 21:08:36,1,dc32f1d2bletest0,null,-57.72222222222222,1,,1682600965000
130170,e6208a42,2023/04/27 21:08:37,1,dc32f1d2bletest0,null,-69.26666666666667,2,,1682600965000
130172,e6208a42,2023/04/27 21:07:51,1,dc32f1d2bletest0,null,-61,1,,1682600965000
130175,e6208a42,2023/04/27 21:08:38,1,dc32f1d2bletest0,null,-66.14285714285714,2,,1682600965000
130178,e6208a42,2023/04/27 21:07:52,1,dc32f1d2bletest0,null,-59.333333333333336,1,,1682600965000
130179,e6208a42,2023/04/27 21:08:39,1,dc32f1d2bletest0,null,-64.26666666666667,1,,1682600965000
130180,e6208a42,2023/04/27 21:07:53,1,dc32f1d2bletest0,null,-61.31578947368421,1,,1682600965000
130183,e6208a42,2023/04/27 21:08:40,1,dc32f1d2bletest0,null,-63,1,,1682600965000
130184,e6208a42,2023/04/27 21:07:54,1,dc32f1d2bletest0,null,-60.142857142857146,1,,1682600965000
130185,e6208a42,2023/04/27 21:08:41,1,dc32f1d2bletest0,null,-64.5,1,,1682600965000
130189,e6208a42,2023/04/27 21:07:55,1,dc32f1d2bletest0,null,-62.94117647058823,1,,1682600965000
130190,e6208a42,2023/04/27 21:08:42,1,dc32f1d2bletest0,null,-71.44444444444444,2,,1682600965000
130193,e6208a42,2023/04/27 21:07:56,1,dc32f1d2bletest0,null,-59.888888888888886,1,,1682600965000
130194,e6208a42,2023/04/27 21:08:43,1,dc32f1d2bletest0,null,-69.61538461538461,2,,1682600965000
130196,e6208a42,2023/04/27 21:08:44,1,dc32f1d2bletest0,null,-67.85714285714286,2,,1682600965000
130197,e6208a42,2023/04/27 21:07:57,1,dc32f1d2bletest0,null,-62,1,,1682600965000
130200,e6208a42,2023/04/27 21:08:45,1,dc32f1d2bletest0,null,-70.33333333333333,2,,1682600965000
130203,e6208a42,2023/04/27 21:07:58,1,dc32f1d2bletest0,null,-64,1,,1682600965000
130204,e6208a42,2023/04/27 21:08:46,1,dc32f1d2bletest0,null,-72.23076923076923,2,,1682600965000
130205,e6208a42,2023/04/27 21:07:59,1,dc32f1d2bletest0,null,-70.1875,2,,1682600965000
130209,e6208a42,2023/04/27 21:08:00,1,dc32f1d2bletest0,null,-67.88888888888889,2,,1682600965000
130210,e6208a42,2023/04/27 21:08:47,1,dc32f1d2bletest0,null,-66.11111111111111,2,,1682600965000
130212,e6208a42,2023/04/27 21:08:48,1,dc32f1d2bletest0,null,-69.76470588235294,2,,1682600965000
130213,e6208a42,2023/04/27 21:08:01,1,dc32f1d2bletest0,null,-72.4375,2,,1682600965000
130216,e6208a42,2023/04/27 21:08:49,1,dc32f1d2bletest0,null,-68.07142857142857,2,,1682600965000
130219,e6208a42,2023/04/27 21:08:02,1,dc32f1d2bletest0,null,-65.76470588235294,2,,1682600965000
130220,e6208a42,2023/04/27 21:08:50,1,dc32f1d2bletest0,null,-71.88888888888889,2,,1682600965000
130224,e6208a42,2023/04/27 21:08:51,1,dc32f1d2bletest0,null,-68.33333333333333,2,,1682600965000
130227,e6208a42,2023/04/27 21:08:52,1,dc32f1d2bletest0,null,-69.08333333333333,2,,1682600965000
130230,e6208a42,2023/04/27 21:08:03,1,dc32f1d2bletest0,null,-60.7,1,,1682600965000
130232,e6208a42,2023/04/27 21:08:04,1,dc32f1d2bletest0,null,-61,1,,1682600965000
130233,e6208a42,2023/04/27 21:08:53,1,dc32f1d2bletest0,null,-67.22222222222223,2,,1682600965000
130341,e6208a42,2023/04/27 21:10:08,1,dc32f1d2bletest0,null,-55.35294117647059,1,,1682601057000
130343,e6208a42,2023/04/27 21:10:09,1,dc32f1d2bletest0,null,-55.22222222222222,1,,1682601057000
130346,e6208a42,2023/04/27 21:10:10,1,dc32f1d2bletest0,null,-55.35294117647059,1,,1682601057000
130347,e6208a42,2023/04/27 21:09:29,1,dc32f1d2bletest0,null,-64.11764705882354,1,,1682601057000
130349,e6208a42,2023/04/27 21:09:30,1,dc32f1d2bletest0,null,-66.88888888888889,2,,1682601057000
130352,e6208a42,2023/04/27 21:10:11,1,dc32f1d2bletest0,null,-55.53333333333333,1,,1682601057000
130355,e6208a42,2023/04/27 21:09:31,1,dc32f1d2bletest0,null,-63.25,1,,1682601057000
130356,e6208a42,2023/04/27 21:10:12,1,dc32f1d2bletest0,null,-60.77777777777778,1,,1682601057000
130357,e6208a42,2023/04/27 21:10:13,1,dc32f1d2bletest0,null,-55.529411764705884,1,,1682601057000
130358,e6208a42,2023/04/27 21:09:32,1,dc32f1d2bletest0,null,-66.25,2,,1682601057000
130362,e6208a42,2023/04/27 21:09:33,1,dc32f1d2bletest0,null,-62.84615384615385,1,,1682601057000
130363,e6208a42,2023/04/27 21:10:14,1,dc32f1d2bletest0,null,-57.06666666666667,1,,1682601057000
130366,e6208a42,2023/04/27 21:09:34,1,dc32f1d2bletest0,null,-65,1,,1682601057000
130367,e6208a42,2023/04/27 21:10:15,1,dc32f1d2bletest0,null,-54,1,,1682601057000
130369,e6208a42,2023/04/27 21:10:16,1,dc32f1d2bletest0,null,-55.05882352941177,1,,1682601057000
130370,e6208a42,2023/04/27 21:09:35,1,dc32f1d2bletest0,null,-62.3125,1,,1682601057000
130373,e6208a42,2023/04/27 21:10:17,1,dc32f1d2bletest0,null,-55.5,1,,1682601057000
130374,e6208a42,2023/04/27 21:09:36,1,dc32f1d2bletest0,null,-63,1,,1682601057000
130378,e6208a42,2023/04/27 21:09:37,1,dc32f1d2bletest0,null,-63.90909090909091,1,,1682601057000
130379,e6208a42,2023/04/27 21:10:18,1,dc32f1d2bletest0,null,-53.666666666666664,1,,1682601057000
130383,e6208a42,2023/04/27 21:10:19,1,dc32f1d2bletest0,null,-55.94117647058823,1,,1682601057000
130384,e6208a42,2023/04/27 21:09:38,1,dc32f1d2bletest0,null,-62.5625,1,,1682601057000
130385,e6208a42,2023/04/27 21:10:20,1,dc32f1d2bletest0,null,-53.88235294117647,1,,1682601057000
130386,e6208a42,2023/04/27 21:09:39,1,dc32f1d2bletest0,null,-64.15384615384616,1,,1682601057000
130390,e6208a42,2023/04/27 21:09:40,1,dc32f1d2bletest0,null,-60.6,1,,1682601057000
130391,e6208a42,2023/04/27 21:09:41,1,dc32f1d2bletest0,null,-63.10526315789474,1,,1682601057000
130393,e6208a42,2023/04/27 21:09:42,1,dc32f1d2bletest0,null,-61,1,,1682601057000
130395,e6208a42,2023/04/27 21:09:43,1,dc32f1d2bletest0,null,-63.266666666666666,1,,1682601057000
130490,e6208a42,2023/04/27 21:11:35,1,dc32f1d2bletest0,null,-63.30769230769231,1,,1682601141000
130493,e6208a42,2023/04/27 21:11:36,1,dc32f1d2bletest0,null,-62.888888888888886,1,,1682601141000
130496,e6208a42,2023/04/27 21:11:37,1,dc32f1d2bletest0,null,-64.70588235294117,1,,1682601141000
130497,e6208a42,2023/04/27 21:11:01,1,dc32f1d2bletest0,null,-59.86666666666667,1,,1682601141000
130500,e6208a42,2023/04/27 21:11:38,1,dc32f1d2bletest0,null,-63.3125,1,,1682601141000
130501,e6208a42,2023/04/27 21:11:02,1,dc32f1d2bletest0,null,-55.111111111111114,1,,1682601141000
130502,e6208a42,2023/04/27 21:11:39,1,dc32f1d2bletest0,null,-60.2,1,,1682601141000
130503,e6208a42,2023/04/27 21:11:03,1,dc32f1d2bletest0,null,-64.86666666666666,1,,1682601141000
130506,e6208a42,2023/04/27 21:11:40,1,dc32f1d2bletest0,null,-65.58823529411765,2,,1682601141000
130507,e6208a42,2023/04/27 21:11:04,1,dc32f1d2bletest0,null,-56.36363636363637,1,,1682601141000
130510,e6208a42,2023/04/27 21:11:41,1,dc32f1d2bletest0,null,-60.07692307692308,1,,1682601141000
130511,e6208a42,2023/04/27 21:11:05,1,dc32f1d2bletest0,null,-65.75,2,,1682601141000
130516,e6208a42,2023/04/27 21:11:42,1,dc32f1d2bletest0,null,-66.06666666666666,2,,1682601141000
130517,e6208a42,2023/04/27 21:11:06,1,dc32f1d2bletest0,null,-56.0625,1,,1682601141000
130518,e6208a42,2023/04/27 21:11:43,1,dc32f1d2bletest0,null,-60.35294117647059,1,,1682601141000
130521,e6208a42,2023/04/27 21:11:07,1,dc32f1d2bletest0,null,-59.44444444444444,1,,1682601141000
130523,e6208a42,2023/04/27 21:11:08,1,dc32f1d2bletest0,null,-52.22222222222222,1,,1682601141000
130524,e6208a42,2023/04/27 21:11:44,1,dc32f1d2bletest0,null,-64.86666666666666,1,,1682601141000
130526,e6208a42,2023/04/27 21:11:45,1,dc32f1d2bletest0,null,-61.53846153846154,1,,1682601141000
130529,e6208a42,2023/04/27 21:11:46,1,dc32f1d2bletest0,null,-64,1,,1682601141000
130530,e6208a42,2023/04/27 21:11:09,1,dc32f1d2bletest0,null,-56.88235294117647,1,,1682601141000
130532,e6208a42,2023/04/27 21:11:10,1,dc32f1d2bletest0,null,-63.61538461538461,1,,1682601141000
130533,e6208a42,2023/04/27 21:11:47,1,dc32f1d2bletest0,null,-63.9375,1,,1682601141000
130537,e6208a42,2023/04/27 21:11:48,1,dc32f1d2bletest0,null,-61.27272727272727,1,,1682601141000
130538,e6208a42,2023/04/27 21:11:11,1,dc32f1d2bletest0,null,-59.76923076923077,1,,1682601141000
130540,e6208a42,2023/04/27 21:11:12,1,dc32f1d2bletest0,null,-62.666666666666664,1,,1682601141000
