id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
125322,e6208a42,2023/04/27 20:00:48,1,dc32f1d2bletest0,null,-72,2,,1682596890000
125328,e6208a42,2023/04/27 20:00:49,1,dc32f1d2bletest0,null,-73,2,,1682596890000
125336,e6208a42,2023/04/27 20:00:50,1,dc32f1d2bletest0,null,-80,3,,1682596890000
125682,e6208a42,2023/04/27 20:03:37,1,dc32f1d2bletest0,null,-67.5,2,,1682597091000
125738,e6208a42,2023/04/27 20:04:55,1,dc32f1d2bletest0,null,-67,2,,1682597180000
125741,e6208a42,2023/04/27 20:04:56,1,dc32f1d2bletest0,null,-68.66666666666667,2,,1682597180000
125743,e6208a42,2023/04/27 20:04:57,1,dc32f1d2bletest0,null,-78,3,,1682597180000
125746,e6208a42,2023/04/27 20:04:58,1,dc32f1d2bletest0,null,-64,1,,1682597180000
125750,e6208a42,2023/04/27 20:04:59,1,dc32f1d2bletest0,null,-62,1,,1682597180000
125753,e6208a42,2023/04/27 20:05:39,1,dc32f1d2bletest0,null,-62.5,1,,1682597180000
125755,e6208a42,2023/04/27 20:05:00,1,dc32f1d2bletest0,null,-85,5,,1682597180000
125758,e6208a42,2023/04/27 20:05:40,1,dc32f1d2bletest0,null,-59.5,1,,1682597180000
125761,e6208a42,2023/04/27 20:05:01,1,dc32f1d2bletest0,null,-65,1,,1682597180000
125762,e6208a42,2023/04/27 20:05:41,1,dc32f1d2bletest0,null,-66.25,2,,1682597180000
125765,e6208a42,2023/04/27 20:05:02,1,dc32f1d2bletest0,null,-66,2,,1682597180000
125766,e6208a42,2023/04/27 20:05:42,1,dc32f1d2bletest0,null,-72.66666666666667,2,,1682597180000
125773,e6208a42,2023/04/27 20:05:03,1,dc32f1d2bletest0,null,-65,1,,1682597180000
125774,e6208a42,2023/04/27 20:05:43,1,dc32f1d2bletest0,null,-64.5,1,,1682597180000
125775,e6208a42,2023/04/27 20:05:04,1,dc32f1d2bletest0,null,-61,1,,1682597180000
125778,e6208a42,2023/04/27 20:05:44,1,dc32f1d2bletest0,null,-66.6,2,,1682597180000
125782,e6208a42,2023/04/27 20:05:45,1,dc32f1d2bletest0,null,-67,2,,1682597180000
125785,e6208a42,2023/04/27 20:05:05,1,dc32f1d2bletest0,null,-58,1,,1682597180000
125790,e6208a42,2023/04/27 20:05:46,1,dc32f1d2bletest0,null,-65,1,,1682597180000
125791,e6208a42,2023/04/27 20:05:06,1,dc32f1d2bletest0,null,-74,2,,1682597180000
125794,e6208a42,2023/04/27 20:05:47,1,dc32f1d2bletest0,null,-64,1,,1682597180000
125795,e6208a42,2023/04/27 20:05:07,1,dc32f1d2bletest0,null,-66,2,,1682597180000
125798,e6208a42,2023/04/27 20:05:48,1,dc32f1d2bletest0,null,-63.666666666666664,1,,1682597180000
125801,e6208a42,2023/04/27 20:05:09,1,dc32f1d2bletest0,null,-60.5,1,,1682597180000
125804,e6208a42,2023/04/27 20:05:49,1,dc32f1d2bletest0,null,-66.5,2,,1682597180000
125808,e6208a42,2023/04/27 20:05:50,1,dc32f1d2bletest0,null,-69.66666666666667,2,,1682597180000
125811,e6208a42,2023/04/27 20:05:10,1,dc32f1d2bletest0,null,-79.5,3,,1682597180000
