id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
126769,e6208a42,2023/04/27 20:21:58,1,defe41ccbletest0,null,-69.6,2,,1682598164000
126771,e6208a42,2023/04/27 20:21:59,1,defe41ccbletest0,null,-69.07692307692308,2,,1682598164000
126773,e6208a42,2023/04/27 20:22:00,1,defe41ccbletest0,null,-63.9375,1,,1682598164000
126775,e6208a42,2023/04/27 20:22:01,1,defe41ccbletest0,null,-72.25,2,,1682598164000
126776,e6208a42,2023/04/27 20:22:02,1,defe41ccbletest0,null,-70.86666666666666,2,,1682598164000
126779,e6208a42,2023/04/27 20:22:03,1,defe41ccbletest0,null,-77.57142857142857,3,,1682598164000
126780,e6208a42,2023/04/27 20:22:04,1,defe41ccbletest0,null,-77.75,3,,1682598164000
126783,e6208a42,2023/04/27 20:22:05,1,defe41ccbletest0,null,-74.26666666666667,2,,1682598164000
126785,e6208a42,2023/04/27 20:22:06,1,defe41ccbletest0,null,-69.64285714285714,2,,1682598164000
126787,e6208a42,2023/04/27 20:22:07,1,defe41ccbletest0,null,-67.625,2,,1682598164000
126788,e6208a42,2023/04/27 20:22:08,1,defe41ccbletest0,null,-65.42857142857143,2,,1682598164000
126790,e6208a42,2023/04/27 20:22:09,1,defe41ccbletest0,null,-63.05882352941177,1,,1682598164000
126802,e6208a42,2023/04/27 20:22:48,1,defe41ccbletest0,null,-66.1,2,,1682598252000
126804,e6208a42,2023/04/27 20:22:49,1,defe41ccbletest0,null,-67.71428571428571,2,,1682598252000
126807,e6208a42,2023/04/27 20:23:27,1,defe41ccbletest0,null,-80.33333333333333,3,,1682598252000
126808,e6208a42,2023/04/27 20:22:50,1,defe41ccbletest0,null,-58,1,,1682598252000
126811,e6208a42,2023/04/27 20:23:28,1,defe41ccbletest0,null,-71.6842105263158,2,,1682598252000
126812,e6208a42,2023/04/27 20:22:51,1,defe41ccbletest0,null,-57.5,1,,1682598252000
126814,e6208a42,2023/04/27 20:22:52,1,defe41ccbletest0,null,-52.611111111111114,1,,1682598252000
126815,e6208a42,2023/04/27 20:23:29,1,defe41ccbletest0,null,-77.42857142857143,3,,1682598252000
126818,e6208a42,2023/04/27 20:22:53,1,defe41ccbletest0,null,-58.53846153846154,1,,1682598252000
126819,e6208a42,2023/04/27 20:23:30,1,defe41ccbletest0,null,-71.3529411764706,2,,1682598252000
126823,e6208a42,2023/04/27 20:23:31,1,defe41ccbletest0,null,-73.52941176470588,2,,1682598252000
126824,e6208a42,2023/04/27 20:22:54,1,defe41ccbletest0,null,-60.125,1,,1682598252000
