id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
109962,75909e89,2023/03/24 10:26:22,1,dc32f1d2bletest0,null,-72.5,2,,1679624823000
109963,75909e89,2023/03/24 10:25:38,1,dc32f1d2bletest0,null,-68,2,,1679624823000
109967,75909e89,2023/03/24 10:25:39,1,dc32f1d2bletest0,null,-68.33333333333333,2,,1679624823000
109971,75909e89,2023/03/24 10:25:40,1,dc32f1d2bletest0,null,-72.2,2,,1679624823000
109973,75909e89,2023/03/24 10:26:23,1,dc32f1d2bletest0,null,-73,2,,1679624823000
109975,75909e89,2023/03/24 10:25:41,1,dc32f1d2bletest0,null,-76.4,3,,1679624823000
109979,75909e89,2023/03/24 10:25:42,1,dc32f1d2bletest0,null,-67.5,2,,1679624823000
109980,75909e89,2023/03/24 10:26:24,1,dc32f1d2bletest0,null,-71.33333333333333,2,,1679624823000
109983,75909e89,2023/03/24 10:25:43,1,dc32f1d2bletest0,null,-67.66666666666667,2,,1679624823000
109987,75909e89,2023/03/24 10:25:44,1,dc32f1d2bletest0,null,-69.75,2,,1679624823000
109988,75909e89,2023/03/24 10:25:45,1,dc32f1d2bletest0,null,-73.14285714285714,2,,1679624823000
109992,75909e89,2023/03/24 10:25:46,1,dc32f1d2bletest0,null,-76.25,3,,1679624823000
109994,75909e89,2023/03/24 10:26:25,1,dc32f1d2bletest0,null,-72.14285714285714,2,,1679624823000
109996,75909e89,2023/03/24 10:25:47,1,dc32f1d2bletest0,null,-71,2,,1679624823000
110000,75909e89,2023/03/24 10:25:48,1,dc32f1d2bletest0,null,-69,2,,1679624823000
110008,75909e89,2023/03/24 10:26:26,1,dc32f1d2bletest0,null,-71,2,,1679624823000
110010,75909e89,2023/03/24 10:26:27,1,dc32f1d2bletest0,null,-69.57142857142857,2,,1679624823000
110017,75909e89,2023/03/24 10:26:28,1,dc32f1d2bletest0,null,-69,2,,1679624823000
110020,75909e89,2023/03/24 10:26:29,1,dc32f1d2bletest0,null,-73.75,2,,1679624823000
110022,75909e89,2023/03/24 10:26:30,1,dc32f1d2bletest0,null,-71.33333333333333,2,,1679624823000
110024,75909e89,2023/03/24 10:26:31,1,dc32f1d2bletest0,null,-75.4,2,,1679624823000
110026,75909e89,2023/03/24 10:26:32,1,dc32f1d2bletest0,null,-75.75,2,,1679624823000
110028,75909e89,2023/03/24 10:26:33,1,dc32f1d2bletest0,null,-75.16666666666667,2,,1679624823000
110030,75909e89,2023/03/24 10:26:34,1,dc32f1d2bletest0,null,-74,2,,1679624823000
110031,75909e89,2023/03/24 10:26:35,1,dc32f1d2bletest0,null,-74,2,,1679624823000
110032,75909e89,2023/03/24 10:26:36,1,dc32f1d2bletest0,null,-71.33333333333333,2,,1679624823000
110186,75909e89,2023/03/24 10:27:07,1,dc32f1d2bletest0,null,-76,3,,1679624910000
110187,75909e89,2023/03/24 10:27:51,1,dc32f1d2bletest0,null,-78,3,,1679624910000
110191,75909e89,2023/03/24 10:27:52,1,dc32f1d2bletest0,null,-80,3,,1679624910000
110194,75909e89,2023/03/24 10:27:08,1,dc32f1d2bletest0,null,-85,5,,1679624910000
110203,75909e89,2023/03/24 10:27:53,1,dc32f1d2bletest0,null,-86.33333333333333,5,,1679624910000
110207,75909e89,2023/03/24 10:27:09,1,dc32f1d2bletest0,null,-73.4,2,,1679624910000
110211,75909e89,2023/03/24 10:27:10,1,dc32f1d2bletest0,null,-74.28571428571429,2,,1679624910000
110218,75909e89,2023/03/24 10:27:54,1,dc32f1d2bletest0,null,-77,3,,1679624910000
110223,75909e89,2023/03/24 10:27:11,1,dc32f1d2bletest0,null,-76.5,3,,1679624910000
110230,75909e89,2023/03/24 10:27:55,1,dc32f1d2bletest0,null,-89,5,,1679624910000
110231,75909e89,2023/03/24 10:27:12,1,dc32f1d2bletest0,null,-80.5,3,,1679624910000
110235,75909e89,2023/03/24 10:27:13,1,dc32f1d2bletest0,null,-79.33333333333333,3,,1679624910000
110236,75909e89,2023/03/24 10:27:56,1,dc32f1d2bletest0,null,-71.25,2,,1679624910000
110240,75909e89,2023/03/24 10:27:14,1,dc32f1d2bletest0,null,-80.5,3,,1679624910000
110243,75909e89,2023/03/24 10:27:15,1,dc32f1d2bletest0,null,-80,3,,1679624910000
110244,75909e89,2023/03/24 10:27:57,1,dc32f1d2bletest0,null,-76,3,,1679624910000
110247,75909e89,2023/03/24 10:27:58,1,dc32f1d2bletest0,null,-73.4,2,,1679624910000
110248,75909e89,2023/03/24 10:27:16,1,dc32f1d2bletest0,null,-82.4,3,,1679624910000
