id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
110428,dc32f1d2,2023/03/24 10:28:22,1,0926bde8bletest0,null,-76,3,,1679624935000
110429,dc32f1d2,2023/03/24 10:28:26,1,0926bde8bletest0,null,-77,3,,1679624935000
110431,dc32f1d2,2023/03/24 10:28:28,1,0926bde8bletest0,null,-78,3,,1679624935000
110661,dc32f1d2,2023/03/24 10:29:06,1,0926bde8bletest0,null,-68,2,,1679625020000
110662,dc32f1d2,2023/03/24 10:29:09,1,0926bde8bletest0,null,-89,5,,1679625020000
110663,dc32f1d2,2023/03/24 10:29:14,1,0926bde8bletest0,null,-80,3,,1679625020000
110848,dc32f1d2,2023/03/24 10:31:05,1,0926bde8bletest0,null,-79.25,3,,1679625108000
111443,dc32f1d2,2023/03/24 10:35:27,1,0926bde8bletest0,null,-73,2,,1679625367000
111444,dc32f1d2,2023/03/24 10:35:28,1,0926bde8bletest0,null,-77,3,,1679625367000
111445,dc32f1d2,2023/03/24 10:35:30,1,0926bde8bletest0,null,-70,2,,1679625367000
111447,dc32f1d2,2023/03/24 10:35:31,1,0926bde8bletest0,null,-83,3,,1679625367000
111450,dc32f1d2,2023/03/24 10:35:32,1,0926bde8bletest0,null,-71,2,,1679625367000
111452,dc32f1d2,2023/03/24 10:35:33,1,0926bde8bletest0,null,-78,3,,1679625367000
111456,dc32f1d2,2023/03/24 10:35:34,1,0926bde8bletest0,null,-86,5,,1679625367000
111458,dc32f1d2,2023/03/24 10:35:36,1,0926bde8bletest0,null,-71,2,,1679625367000
111610,dc32f1d2,2023/03/24 10:36:58,1,0926bde8bletest0,null,-81,3,,1679625452000
111612,dc32f1d2,2023/03/24 10:37:00,1,0926bde8bletest0,null,-76,3,,1679625452000
111613,dc32f1d2,2023/03/24 10:37:01,1,0926bde8bletest0,null,-76.5,3,,1679625452000
111614,dc32f1d2,2023/03/24 10:36:12,1,0926bde8bletest0,null,-72,2,,1679625452000
111617,dc32f1d2,2023/03/24 10:37:02,1,0926bde8bletest0,null,-77,3,,1679625452000
111618,dc32f1d2,2023/03/24 10:36:15,1,0926bde8bletest0,null,-78,3,,1679625452000
111620,dc32f1d2,2023/03/24 10:36:16,1,0926bde8bletest0,null,-76,3,,1679625452000
111776,dc32f1d2,2023/03/24 10:38:29,1,0926bde8bletest0,null,-75.5,2,,1679625545000
111777,dc32f1d2,2023/03/24 10:38:31,1,0926bde8bletest0,null,-74,2,,1679625545000
111778,dc32f1d2,2023/03/24 10:38:32,1,0926bde8bletest0,null,-81,3,,1679625545000
111779,dc32f1d2,2023/03/24 10:37:38,1,0926bde8bletest0,null,-84,3,,1679625545000
111780,dc32f1d2,2023/03/24 10:38:33,1,0926bde8bletest0,null,-75,2,,1679625545000
111781,dc32f1d2,2023/03/24 10:37:40,1,0926bde8bletest0,null,-85,5,,1679625545000
111782,dc32f1d2,2023/03/24 10:38:34,1,0926bde8bletest0,null,-87,5,,1679625545000
111783,dc32f1d2,2023/03/24 10:37:41,1,0926bde8bletest0,null,-81,3,,1679625545000
111784,dc32f1d2,2023/03/24 10:37:43,1,0926bde8bletest0,null,-74,2,,1679625545000
111786,dc32f1d2,2023/03/24 10:37:44,1,0926bde8bletest0,null,-80,3,,1679625545000
111787,dc32f1d2,2023/03/24 10:37:45,1,0926bde8bletest0,null,-88,5,,1679625545000
111788,dc32f1d2,2023/03/24 10:37:46,1,0926bde8bletest0,null,-80,3,,1679625545000
111790,dc32f1d2,2023/03/24 10:37:48,1,0926bde8bletest0,null,-86,5,,1679625545000
111793,dc32f1d2,2023/03/24 10:37:49,1,0926bde8bletest0,null,-86,5,,1679625545000
111933,dc32f1d2,2023/03/24 10:39:18,1,0926bde8bletest0,null,-72,2,,1679625642000
111935,dc32f1d2,2023/03/24 10:39:19,1,0926bde8bletest0,null,-72,2,,1679625642000
111937,dc32f1d2,2023/03/24 10:39:20,1,0926bde8bletest0,null,-78.33333333333333,3,,1679625642000
111942,dc32f1d2,2023/03/24 10:40:05,1,0926bde8bletest0,null,-81,3,,1679625642000
111943,dc32f1d2,2023/03/24 10:39:22,1,0926bde8bletest0,null,-78,3,,1679625642000
111946,dc32f1d2,2023/03/24 10:40:06,1,0926bde8bletest0,null,-78,3,,1679625642000
111947,dc32f1d2,2023/03/24 10:39:23,1,0926bde8bletest0,null,-75,2,,1679625642000
111949,dc32f1d2,2023/03/24 10:40:07,1,0926bde8bletest0,null,-80,3,,1679625642000
111950,dc32f1d2,2023/03/24 10:40:08,1,0926bde8bletest0,null,-88,5,,1679625642000
111952,dc32f1d2,2023/03/24 10:40:09,1,0926bde8bletest0,null,-88,5,,1679625642000
