id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
110409,fedc20de,2023/03/24 10:28:20,1,0926bde8bletest0,null,-75,2,,1679624924000
111955,fedc20de,2023/03/24 10:39:28,1,0926bde8bletest0,null,-85,5,,1679625656000
111962,fedc20de,2023/03/24 10:40:06,1,0926bde8bletest0,null,-78.8,3,,1679625657000
111967,fedc20de,2023/03/24 10:39:29,1,0926bde8bletest0,null,-76.66666666666667,3,,1679625656000
111976,fedc20de,2023/03/24 10:40:08,1,0926bde8bletest0,null,-70,2,,1679625657000
111978,fedc20de,2023/03/24 10:40:09,1,0926bde8bletest0,null,-74.75,2,,1679625657000
111986,fedc20de,2023/03/24 10:40:10,1,0926bde8bletest0,null,-73,2,,1679625657000
111992,fedc20de,2023/03/24 10:40:11,1,0926bde8bletest0,null,-76,3,,1679625657000
111996,fedc20de,2023/03/24 10:40:12,1,0926bde8bletest0,null,-71,2,,1679625657000
112002,fedc20de,2023/03/24 10:40:14,1,0926bde8bletest0,null,-69.66666666666667,2,,1679625657000
112006,fedc20de,2023/03/24 10:40:15,1,0926bde8bletest0,null,-73,2,,1679625657000
112008,fedc20de,2023/03/24 10:40:16,1,0926bde8bletest0,null,-80,3,,1679625657000
112010,fedc20de,2023/03/24 10:40:17,1,0926bde8bletest0,null,-76.33333333333333,3,,1679625657000
