id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
112098,0926bde8,2023/03/24 10:47:05,1,75909e89bletest0,null,-87,5,,1679626049000
112384,0926bde8,2023/03/24 10:50:05,1,75909e89bletest0,null,-53,1,,1679626232000
112523,0926bde8,2023/03/24 10:51:35,1,75909e89bletest0,null,-60.5,1,,1679626336000
112529,0926bde8,2023/03/24 10:51:37,1,75909e89bletest0,null,-57,1,,1679626336000
112530,0926bde8,2023/03/24 10:50:51,1,75909e89bletest0,null,-55,1,,1679626336000
112534,0926bde8,2023/03/24 10:50:52,1,75909e89bletest0,null,-62,1,,1679626336000
112535,0926bde8,2023/03/24 10:51:39,1,75909e89bletest0,null,-62,1,,1679626336000
112538,0926bde8,2023/03/24 10:50:53,1,75909e89bletest0,null,-53,1,,1679626336000
112540,0926bde8,2023/03/24 10:51:41,1,75909e89bletest0,null,-61,1,,1679626336000
112629,0926bde8,2023/03/24 10:52:22,1,75909e89bletest0,null,-84,3,,1679626423000
112632,0926bde8,2023/03/24 10:53:03,1,75909e89bletest0,null,-81,3,,1679626423000
112635,0926bde8,2023/03/24 10:52:24,1,75909e89bletest0,null,-81,3,,1679626423000
112641,0926bde8,2023/03/24 10:52:26,1,75909e89bletest0,null,-73,2,,1679626423000
112642,0926bde8,2023/03/24 10:53:05,1,75909e89bletest0,null,-81,3,,1679626423000
112647,0926bde8,2023/03/24 10:52:28,1,75909e89bletest0,null,-88,5,,1679626423000
112648,0926bde8,2023/03/24 10:53:06,1,75909e89bletest0,null,-87,5,,1679626423000
112651,0926bde8,2023/03/24 10:52:29,1,75909e89bletest0,null,-70,2,,1679626423000
112654,0926bde8,2023/03/24 10:53:07,1,75909e89bletest0,null,-80.5,3,,1679626423000
112655,0926bde8,2023/03/24 10:52:30,1,75909e89bletest0,null,-78,3,,1679626423000
112657,0926bde8,2023/03/24 10:53:08,1,75909e89bletest0,null,-79,3,,1679626423000
112665,0926bde8,2023/03/24 10:53:09,1,75909e89bletest0,null,-84,3,,1679626423000
112669,0926bde8,2023/03/24 10:53:10,1,75909e89bletest0,null,-80,3,,1679626423000
112672,0926bde8,2023/03/24 10:53:11,1,75909e89bletest0,null,-92,5,,1679626423000
112675,0926bde8,2023/03/24 10:53:12,1,75909e89bletest0,null,-89,5,,1679626423000
112677,0926bde8,2023/03/24 10:53:13,1,75909e89bletest0,null,-88,5,,1679626423000
112762,0926bde8,2023/03/24 10:54:35,1,75909e89bletest0,null,-76,3,,1679626510000
112769,0926bde8,2023/03/24 10:53:50,1,75909e89bletest0,null,-77,3,,1679626510000
112770,0926bde8,2023/03/24 10:54:37,1,75909e89bletest0,null,-77,3,,1679626510000
112775,0926bde8,2023/03/24 10:53:51,1,75909e89bletest0,null,-65,1,,1679626510000
112780,0926bde8,2023/03/24 10:54:39,1,75909e89bletest0,null,-74,2,,1679626510000
112787,0926bde8,2023/03/24 10:53:54,1,75909e89bletest0,null,-76,3,,1679626510000
112794,0926bde8,2023/03/24 10:54:43,1,75909e89bletest0,null,-73,2,,1679626510000
112797,0926bde8,2023/03/24 10:53:56,1,75909e89bletest0,null,-73,2,,1679626510000
112798,0926bde8,2023/03/24 10:54:44,1,75909e89bletest0,null,-76,3,,1679626510000
112803,0926bde8,2023/03/24 10:53:58,1,75909e89bletest0,null,-75,2,,1679626510000
112805,0926bde8,2023/03/24 10:53:59,1,75909e89bletest0,null,-73.5,2,,1679626510000
112808,0926bde8,2023/03/24 10:54:00,1,75909e89bletest0,null,-70,2,,1679626510000
112810,0926bde8,2023/03/24 10:54:01,1,75909e89bletest0,null,-74,2,,1679626510000
112813,0926bde8,2023/03/24 10:54:02,1,75909e89bletest0,null,-73.5,2,,1679626510000
112914,0926bde8,2023/03/24 10:55:15,1,75909e89bletest0,null,-80,3,,1679626595000
112918,0926bde8,2023/03/24 10:55:16,1,75909e89bletest0,null,-79,3,,1679626595000
112921,0926bde8,2023/03/24 10:55:57,1,75909e89bletest0,null,-85,5,,1679626595000
112922,0926bde8,2023/03/24 10:55:17,1,75909e89bletest0,null,-79,3,,1679626595000
112925,0926bde8,2023/03/24 10:55:58,1,75909e89bletest0,null,-91,5,,1679626595000
112931,0926bde8,2023/03/24 10:56:00,1,75909e89bletest0,null,-78.5,3,,1679626595000
112932,0926bde8,2023/03/24 10:55:21,1,75909e89bletest0,null,-81,3,,1679626595000
112935,0926bde8,2023/03/24 10:56:01,1,75909e89bletest0,null,-74,2,,1679626595000
112938,0926bde8,2023/03/24 10:55:23,1,75909e89bletest0,null,-78,3,,1679626595000
112939,0926bde8,2023/03/24 10:56:02,1,75909e89bletest0,null,-73,2,,1679626595000
112943,0926bde8,2023/03/24 10:55:25,1,75909e89bletest0,null,-86,5,,1679626595000
112945,0926bde8,2023/03/24 10:55:26,1,75909e89bletest0,null,-74,2,,1679626595000
112949,0926bde8,2023/03/24 10:55:27,1,75909e89bletest0,null,-78,3,,1679626595000
112952,0926bde8,2023/03/24 10:55:29,1,75909e89bletest0,null,-75,2,,1679626595000
113088,0926bde8,2023/03/24 10:56:51,1,75909e89bletest0,null,-80,3,,1679626676000
