id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
112076,0926bde8,2023/03/24 10:46:48,1,dc32f1d2bletest0,null,-64,1,,1679626049000
112077,0926bde8,2023/03/24 10:46:49,1,dc32f1d2bletest0,null,-64.33333333333333,1,,1679626049000
112079,0926bde8,2023/03/24 10:46:50,1,dc32f1d2bletest0,null,-64,1,,1679626049000
112081,0926bde8,2023/03/24 10:46:51,1,dc32f1d2bletest0,null,-68,2,,1679626049000
112084,0926bde8,2023/03/24 10:46:52,1,dc32f1d2bletest0,null,-65,1,,1679626049000
112085,0926bde8,2023/03/24 10:46:53,1,dc32f1d2bletest0,null,-63.5,1,,1679626049000
112088,0926bde8,2023/03/24 10:46:56,1,dc32f1d2bletest0,null,-70.5,2,,1679626049000
112090,0926bde8,2023/03/24 10:46:57,1,dc32f1d2bletest0,null,-62,1,,1679626049000
112091,0926bde8,2023/03/24 10:46:58,1,dc32f1d2bletest0,null,-62,1,,1679626049000
112092,0926bde8,2023/03/24 10:46:59,1,dc32f1d2bletest0,null,-66.33333333333333,2,,1679626049000
112093,0926bde8,2023/03/24 10:47:00,1,dc32f1d2bletest0,null,-81.5,3,,1679626049000
112094,0926bde8,2023/03/24 10:47:01,1,dc32f1d2bletest0,null,-65,1,,1679626049000
112095,0926bde8,2023/03/24 10:47:02,1,dc32f1d2bletest0,null,-67,2,,1679626049000
112096,0926bde8,2023/03/24 10:47:03,1,dc32f1d2bletest0,null,-70,2,,1679626049000
112097,0926bde8,2023/03/24 10:47:04,1,dc32f1d2bletest0,null,-66,2,,1679626049000
112193,0926bde8,2023/03/24 10:48:11,1,dc32f1d2bletest0,null,-71,2,,1679626138000
112194,0926bde8,2023/03/24 10:47:33,1,dc32f1d2bletest0,null,-70.25,2,,1679626138000
112197,0926bde8,2023/03/24 10:48:12,1,dc32f1d2bletest0,null,-62.5,1,,1679626138000
112198,0926bde8,2023/03/24 10:47:34,1,dc32f1d2bletest0,null,-72.5,2,,1679626138000
112201,0926bde8,2023/03/24 10:48:13,1,dc32f1d2bletest0,null,-66.75,2,,1679626138000
112202,0926bde8,2023/03/24 10:47:35,1,dc32f1d2bletest0,null,-70.66666666666667,2,,1679626138000
112205,0926bde8,2023/03/24 10:48:14,1,dc32f1d2bletest0,null,-72,2,,1679626138000
112208,0926bde8,2023/03/24 10:47:36,1,dc32f1d2bletest0,null,-66.33333333333333,2,,1679626138000
112209,0926bde8,2023/03/24 10:48:15,1,dc32f1d2bletest0,null,-66.5,2,,1679626138000
112210,0926bde8,2023/03/24 10:47:37,1,dc32f1d2bletest0,null,-69,2,,1679626138000
112212,0926bde8,2023/03/24 10:47:38,1,dc32f1d2bletest0,null,-67.6,2,,1679626138000
112213,0926bde8,2023/03/24 10:48:16,1,dc32f1d2bletest0,null,-69.66666666666667,2,,1679626138000
112214,0926bde8,2023/03/24 10:47:39,1,dc32f1d2bletest0,null,-65,1,,1679626138000
