id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
112078,0926bde8,2023/03/24 10:46:49,1,fedc20debletest0,null,-88,5,,1679626049000
112080,0926bde8,2023/03/24 10:46:50,1,fedc20debletest0,null,-81,3,,1679626049000
112082,0926bde8,2023/03/24 10:46:51,1,fedc20debletest0,null,-92,5,,1679626049000
112083,0926bde8,2023/03/24 10:46:52,1,fedc20debletest0,null,-84,3,,1679626049000
112086,0926bde8,2023/03/24 10:46:53,1,fedc20debletest0,null,-95,5,,1679626049000
112087,0926bde8,2023/03/24 10:46:54,1,fedc20debletest0,null,-89.5,5,,1679626049000
112089,0926bde8,2023/03/24 10:46:57,1,fedc20debletest0,null,-83,3,,1679626049000
112195,0926bde8,2023/03/24 10:48:11,1,fedc20debletest0,null,-85,5,,1679626138000
112196,0926bde8,2023/03/24 10:47:33,1,fedc20debletest0,null,-83,3,,1679626138000
112199,0926bde8,2023/03/24 10:48:12,1,fedc20debletest0,null,-91,5,,1679626138000
112200,0926bde8,2023/03/24 10:47:34,1,fedc20debletest0,null,-83,3,,1679626138000
112203,0926bde8,2023/03/24 10:48:14,1,fedc20debletest0,null,-91,5,,1679626138000
112204,0926bde8,2023/03/24 10:47:35,1,fedc20debletest0,null,-88,5,,1679626138000
112206,0926bde8,2023/03/24 10:47:36,1,fedc20debletest0,null,-92,5,,1679626138000
112207,0926bde8,2023/03/24 10:48:15,1,fedc20debletest0,null,-82.33333333333333,3,,1679626138000
112211,0926bde8,2023/03/24 10:48:16,1,fedc20debletest0,null,-87,5,,1679626138000
112217,0926bde8,2023/03/24 10:48:18,1,fedc20debletest0,null,-84,3,,1679626138000
112223,0926bde8,2023/03/24 10:48:19,1,fedc20debletest0,null,-94,5,,1679626138000
112224,0926bde8,2023/03/24 10:48:20,1,fedc20debletest0,null,-85.5,5,,1679626138000
112227,0926bde8,2023/03/24 10:48:21,1,fedc20debletest0,null,-80,3,,1679626138000
112229,0926bde8,2023/03/24 10:48:22,1,fedc20debletest0,null,-84,3,,1679626138000
