id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
112050,75909e89,2023/03/24 10:46:40,1,fedc20debletest0,null,-75,2,,1679626040000
112052,75909e89,2023/03/24 10:46:41,1,fedc20debletest0,null,-79,3,,1679626040000
112055,75909e89,2023/03/24 10:46:42,1,fedc20debletest0,null,-75,2,,1679626040000
112058,75909e89,2023/03/24 10:46:43,1,fedc20debletest0,null,-85,5,,1679626040000
112061,75909e89,2023/03/24 10:46:44,1,fedc20debletest0,null,-74,2,,1679626040000
112063,75909e89,2023/03/24 10:46:45,1,fedc20debletest0,null,-81,3,,1679626040000
112068,75909e89,2023/03/24 10:46:47,1,fedc20debletest0,null,-77.5,3,,1679626040000
112072,75909e89,2023/03/24 10:46:49,1,fedc20debletest0,null,-72,2,,1679626040000
112074,75909e89,2023/03/24 10:46:50,1,fedc20debletest0,null,-86,5,,1679626040000
112141,75909e89,2023/03/24 10:47:25,1,fedc20debletest0,null,-83,3,,1679626138000
112147,75909e89,2023/03/24 10:47:26,1,fedc20debletest0,null,-82,3,,1679626138000
112152,75909e89,2023/03/24 10:48:11,1,fedc20debletest0,null,-74,2,,1679626138000
112153,75909e89,2023/03/24 10:47:27,1,fedc20debletest0,null,-75,2,,1679626138000
112156,75909e89,2023/03/24 10:48:12,1,fedc20debletest0,null,-74,2,,1679626138000
112158,75909e89,2023/03/24 10:48:13,1,fedc20debletest0,null,-78,3,,1679626138000
112159,75909e89,2023/03/24 10:47:28,1,fedc20debletest0,null,-79,3,,1679626138000
112162,75909e89,2023/03/24 10:47:29,1,fedc20debletest0,null,-81.5,3,,1679626138000
112163,75909e89,2023/03/24 10:48:15,1,fedc20debletest0,null,-78,3,,1679626138000
112166,75909e89,2023/03/24 10:47:30,1,fedc20debletest0,null,-77,3,,1679626138000
112169,75909e89,2023/03/24 10:48:16,1,fedc20debletest0,null,-81.33333333333333,3,,1679626138000
112172,75909e89,2023/03/24 10:47:31,1,fedc20debletest0,null,-81,3,,1679626138000
112173,75909e89,2023/03/24 10:48:18,1,fedc20debletest0,null,-75.66666666666667,2,,1679626138000
112174,75909e89,2023/03/24 10:47:32,1,fedc20debletest0,null,-78,3,,1679626138000
112177,75909e89,2023/03/24 10:48:19,1,fedc20debletest0,null,-79,3,,1679626138000
112180,75909e89,2023/03/24 10:47:33,1,fedc20debletest0,null,-75,2,,1679626138000
112181,75909e89,2023/03/24 10:48:20,1,fedc20debletest0,null,-80,3,,1679626138000
112184,75909e89,2023/03/24 10:47:34,1,fedc20debletest0,null,-76,3,,1679626138000
112186,75909e89,2023/03/24 10:48:21,1,fedc20debletest0,null,-78,3,,1679626138000
112188,75909e89,2023/03/24 10:48:22,1,fedc20debletest0,null,-76.5,3,,1679626138000
112190,75909e89,2023/03/24 10:48:23,1,fedc20debletest0,null,-79,3,,1679626138000
