id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
113420,75909e89,2023/03/24 11:05:39,1,0926bde8bletest0,null,-71.5,2,,1679627182000
113710,75909e89,2023/03/24 11:07:56,1,0926bde8bletest0,null,-73,2,,1679627363000
113713,75909e89,2023/03/24 11:08:38,1,0926bde8bletest0,null,-76,3,,1679627364000
113714,75909e89,2023/03/24 11:07:57,1,0926bde8bletest0,null,-68.66666666666667,2,,1679627363000
113717,75909e89,2023/03/24 11:08:39,1,0926bde8bletest0,null,-67,2,,1679627364000
113718,75909e89,2023/03/24 11:07:58,1,0926bde8bletest0,null,-69,2,,1679627363000
113721,75909e89,2023/03/24 11:08:40,1,0926bde8bletest0,null,-70,2,,1679627364000
113731,75909e89,2023/03/24 11:08:41,1,0926bde8bletest0,null,-67,2,,1679627364000
113735,75909e89,2023/03/24 11:08:42,1,0926bde8bletest0,null,-70.66666666666667,2,,1679627364000
113741,75909e89,2023/03/24 11:08:43,1,0926bde8bletest0,null,-67,2,,1679627364000
113744,75909e89,2023/03/24 11:08:44,1,0926bde8bletest0,null,-67.5,2,,1679627364000
113746,75909e89,2023/03/24 11:08:45,1,0926bde8bletest0,null,-70.66666666666667,2,,1679627364000
113748,75909e89,2023/03/24 11:08:46,1,0926bde8bletest0,null,-63,1,,1679627364000
113750,75909e89,2023/03/24 11:08:47,1,0926bde8bletest0,null,-68.33333333333333,2,,1679627364000
113752,75909e89,2023/03/24 11:08:48,1,0926bde8bletest0,null,-69.66666666666667,2,,1679627364000
113754,75909e89,2023/03/24 11:08:49,1,0926bde8bletest0,null,-66,2,,1679627364000
