id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
113385,fedc20de,2023/03/24 11:04:28,1,dc32f1d2bletest0,null,-72,2,,1679627115000
113386,fedc20de,2023/03/24 11:04:29,1,dc32f1d2bletest0,null,-78,3,,1679627115000
113388,fedc20de,2023/03/24 11:04:30,1,dc32f1d2bletest0,null,-75.5,2,,1679627115000
113390,fedc20de,2023/03/24 11:04:31,1,dc32f1d2bletest0,null,-77,3,,1679627115000
113391,fedc20de,2023/03/24 11:04:32,1,dc32f1d2bletest0,null,-74,2,,1679627115000
113393,fedc20de,2023/03/24 11:04:35,1,dc32f1d2bletest0,null,-75,2,,1679627115000
113397,fedc20de,2023/03/24 11:04:36,1,dc32f1d2bletest0,null,-80,3,,1679627115000
113403,fedc20de,2023/03/24 11:04:37,1,dc32f1d2bletest0,null,-75,2,,1679627115000
113405,fedc20de,2023/03/24 11:04:38,1,dc32f1d2bletest0,null,-83,3,,1679627115000
113407,fedc20de,2023/03/24 11:04:39,1,dc32f1d2bletest0,null,-67,2,,1679627115000
113411,fedc20de,2023/03/24 11:04:41,1,dc32f1d2bletest0,null,-64,1,,1679627115000
113412,fedc20de,2023/03/24 11:04:42,1,dc32f1d2bletest0,null,-63,1,,1679627115000
113415,fedc20de,2023/03/24 11:04:43,1,dc32f1d2bletest0,null,-73.5,2,,1679627115000
113497,fedc20de,2023/03/24 11:06:05,1,dc32f1d2bletest0,null,-66.8,2,,1679627215000
113498,fedc20de,2023/03/24 11:06:07,1,dc32f1d2bletest0,null,-66.625,2,,1679627215000
113499,fedc20de,2023/03/24 11:05:19,1,dc32f1d2bletest0,null,-70,2,,1679627215000
113500,fedc20de,2023/03/24 11:06:08,1,dc32f1d2bletest0,null,-61,1,,1679627215000
113502,fedc20de,2023/03/24 11:06:09,1,dc32f1d2bletest0,null,-65,1,,1679627215000
113503,fedc20de,2023/03/24 11:05:20,1,dc32f1d2bletest0,null,-67.33333333333333,2,,1679627215000
113504,fedc20de,2023/03/24 11:06:10,1,dc32f1d2bletest0,null,-63.22222222222222,1,,1679627215000
113505,fedc20de,2023/03/24 11:05:21,1,dc32f1d2bletest0,null,-66.75,2,,1679627215000
113506,fedc20de,2023/03/24 11:06:11,1,dc32f1d2bletest0,null,-78.33333333333333,3,,1679627215000
113509,fedc20de,2023/03/24 11:05:23,1,dc32f1d2bletest0,null,-65.5,2,,1679627215000
113510,fedc20de,2023/03/24 11:06:12,1,dc32f1d2bletest0,null,-67,2,,1679627215000
113511,fedc20de,2023/03/24 11:05:24,1,dc32f1d2bletest0,null,-63.25,1,,1679627215000
113513,fedc20de,2023/03/24 11:05:25,1,dc32f1d2bletest0,null,-70.25,2,,1679627215000
113514,fedc20de,2023/03/24 11:06:13,1,dc32f1d2bletest0,null,-67.33333333333333,2,,1679627215000
113515,fedc20de,2023/03/24 11:05:26,1,dc32f1d2bletest0,null,-61.666666666666664,1,,1679627215000
113522,fedc20de,2023/03/24 11:06:14,1,dc32f1d2bletest0,null,-65,1,,1679627215000
113523,fedc20de,2023/03/24 11:05:27,1,dc32f1d2bletest0,null,-72,2,,1679627215000
113524,fedc20de,2023/03/24 11:06:15,1,dc32f1d2bletest0,null,-63.833333333333336,1,,1679627215000
113527,fedc20de,2023/03/24 11:05:28,1,dc32f1d2bletest0,null,-54.5,1,,1679627215000
