"id","identity_code","ground_index","arrival_time"
"1106","f69de6fcbletest0","10","2023/04/27 20:00:01"
"1107","0926bde8bletest0","1","2023/04/27 20:00:02"
"1110","164732b9bletest0","2","2023/04/27 20:00:08"
"1111","164732b9bletest0","3","2023/04/27 20:01:05"
"1112","f69de6fcbletest0","9","2023/04/27 20:02:02"
"1113","0926bde8bletest0","2","2023/04/27 20:02:04"
"1117","f69de6fcbletest0","8","2023/04/27 20:04:03"
"1118","164732b9bletest0","4","2023/04/27 20:04:04"
"1121","0926bde8bletest0","3","2023/04/27 20:05:03"
"1124","f69de6fcbletest0","7","2023/04/27 20:06:03"
"1125","164732b9bletest0","5","2023/04/27 20:06:07"
"1128","0926bde8bletest0","4","2023/04/27 20:07:02"
"1129","f69de6fcbletest0","8","2023/04/27 20:08:03"
"1131","164732b9bletest0","6","2023/04/27 20:08:05"
"1134","0926bde8bletest0","5","2023/04/27 20:10:04"
"1135","f69de6fcbletest0","7","2023/04/27 20:10:04"
"1136","164732b9bletest0","7","2023/04/27 20:10:05"
"1140","0926bde8bletest0","6","2023/04/27 20:12:03"
"1142","f69de6fcbletest0","6","2023/04/27 20:12:04"
"1143","164732b9bletest0","8","2023/04/27 20:12:06"
"1146","0926bde8bletest0","7","2023/04/27 20:14:02"
"1147","164732b9bletest0","9","2023/04/27 20:14:03"
"1151","0926bde8bletest0","8","2023/04/27 20:15:03"
"1152","f69de6fcbletest0","5","2023/04/27 20:15:02"
"1155","0926bde8bletest0","7","2023/04/27 20:16:02"
"1156","f69de6fcbletest0","4","2023/04/27 20:16:02"
"1159","164732b9bletest0","16","2023/04/27 20:16:03"
"1160","164732b9bletest0","16","2023/04/27 20:16:05"
