"id","identity_code","ground_index","arrival_time"
"1278","0926bde8bletest0","10","2023/04/27 21:02:01"
"1279","164732b9bletest0","2","2023/04/27 21:02:02"
"1280","f69de6fcbletest0","1","2023/04/27 21:02:03"
"1284","0926bde8bletest0","9","2023/04/27 21:04:02"
"1285","164732b9bletest0","3","2023/04/27 21:04:02"
"1286","f69de6fcbletest0","2","2023/04/27 21:04:02"
"1288","f69de6fcbletest0","3","2023/04/27 21:06:02"
"1289","164732b9bletest0","4","2023/04/27 21:06:03"
"1293","0926bde8bletest0","8","2023/04/27 21:07:04"
"1294","f69de6fcbletest0","4","2023/04/27 21:08:01"
"1295","164732b9bletest0","5","2023/04/27 21:08:04"
"1298","0926bde8bletest0","7","2023/04/27 21:09:03"
"1301","164732b9bletest0","6","2023/04/27 21:10:03"
"1302","f69de6fcbletest0","5","2023/04/27 21:10:03"
"1304","164732b9bletest0","7","2023/04/27 21:12:02"
"1305","f69de6fcbletest0","6","2023/04/27 21:12:02"
"1306","0926bde8bletest0","6","2023/04/27 21:12:04"
"1309","164732b9bletest0","8","2023/04/27 21:14:03"
"1310","f69de6fcbletest0","7","2023/04/27 21:14:03"
"1313","0926bde8bletest0","5","2023/04/27 21:15:03"
"1315","0926bde8bletest0","4","2023/04/27 21:16:04"
"1318","0926bde8bletest0","3","2023/04/27 21:17:03"
"1319","164732b9bletest0","9","2023/04/27 21:17:02"
"1320","f69de6fcbletest0","8","2023/04/27 21:17:03"
"1326","0926bde8bletest0","2","2023/04/27 21:19:02"
"1327","164732b9bletest0","10","2023/04/27 21:19:02"
"1328","f69de6fcbletest0","9","2023/04/27 21:19:09"
"1329","0926bde8bletest0","1","2023/04/27 21:20:03"
"1330","164732b9bletest0","10","2023/04/27 21:20:04"
"1331","f69de6fcbletest0","8","2023/04/27 21:20:06"
