id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
125396,0926bde8,2023/04/27 20:01:35,1,164732b9bletest0,null,-65.5,2,,1682596939000
125399,0926bde8,2023/04/27 20:00:46,1,164732b9bletest0,null,-73,2,,1682596939000
125400,0926bde8,2023/04/27 20:01:36,1,164732b9bletest0,null,-73,2,,1682596939000
125401,0926bde8,2023/04/27 20:00:47,1,164732b9bletest0,null,-74.5,2,,1682596939000
125407,0926bde8,2023/04/27 20:00:48,1,164732b9bletest0,null,-66,2,,1682596939000
125408,0926bde8,2023/04/27 20:01:39,1,164732b9bletest0,null,-72.5,2,,1682596939000
125411,0926bde8,2023/04/27 20:00:50,1,164732b9bletest0,null,-67,2,,1682596939000
125583,0926bde8,2023/04/27 20:03:16,1,164732b9bletest0,null,-61,1,,1682597038000
125584,0926bde8,2023/04/27 20:03:19,1,164732b9bletest0,null,-62,1,,1682597038000
125586,0926bde8,2023/04/27 20:03:20,1,164732b9bletest0,null,-66,2,,1682597038000
125587,0926bde8,2023/04/27 20:02:23,1,164732b9bletest0,null,-74,2,,1682597038000
125588,0926bde8,2023/04/27 20:02:24,1,164732b9bletest0,null,-71,2,,1682597038000
125590,0926bde8,2023/04/27 20:02:25,1,164732b9bletest0,null,-67.5,2,,1682597038000
125592,0926bde8,2023/04/27 20:02:26,1,164732b9bletest0,null,-75,2,,1682597038000
125593,0926bde8,2023/04/27 20:02:31,1,164732b9bletest0,null,-78,3,,1682597038000
125594,0926bde8,2023/04/27 20:02:32,1,164732b9bletest0,null,-65,1,,1682597038000
125726,0926bde8,2023/04/27 20:04:45,1,164732b9bletest0,null,-71,2,,1682597136000
125730,0926bde8,2023/04/27 20:04:47,1,164732b9bletest0,null,-73,2,,1682597136000
125734,0926bde8,2023/04/27 20:04:49,1,164732b9bletest0,null,-72.5,2,,1682597136000
125965,0926bde8,2023/04/27 20:07:57,1,164732b9bletest0,null,-67,2,,1682597317000
125970,0926bde8,2023/04/27 20:07:59,1,164732b9bletest0,null,-64,1,,1682597317000
125972,0926bde8,2023/04/27 20:08:00,1,164732b9bletest0,null,-76,3,,1682597317000
125978,0926bde8,2023/04/27 20:08:01,1,164732b9bletest0,null,-65,1,,1682597317000
125984,0926bde8,2023/04/27 20:08:03,1,164732b9bletest0,null,-69,2,,1682597317000
125988,0926bde8,2023/04/27 20:08:05,1,164732b9bletest0,null,-70,2,,1682597317000
126100,0926bde8,2023/04/27 20:09:28,1,164732b9bletest0,null,-69,2,,1682597413000
126101,0926bde8,2023/04/27 20:08:42,1,164732b9bletest0,null,-77,3,,1682597413000
126105,0926bde8,2023/04/27 20:08:45,1,164732b9bletest0,null,-75,2,,1682597413000
126108,0926bde8,2023/04/27 20:09:29,1,164732b9bletest0,null,-71,2,,1682597413000
126109,0926bde8,2023/04/27 20:08:46,1,164732b9bletest0,null,-71,2,,1682597413000
126110,0926bde8,2023/04/27 20:09:30,1,164732b9bletest0,null,-70,2,,1682597413000
126113,0926bde8,2023/04/27 20:08:47,1,164732b9bletest0,null,-71,2,,1682597413000
126119,0926bde8,2023/04/27 20:09:31,1,164732b9bletest0,null,-82,3,,1682597413000
126123,0926bde8,2023/04/27 20:09:33,1,164732b9bletest0,null,-72,2,,1682597413000
126126,0926bde8,2023/04/27 20:09:34,1,164732b9bletest0,null,-68,2,,1682597413000
126127,0926bde8,2023/04/27 20:09:35,1,164732b9bletest0,null,-75.5,2,,1682597413000
126131,0926bde8,2023/04/27 20:09:36,1,164732b9bletest0,null,-72,2,,1682597413000
126132,0926bde8,2023/04/27 20:09:37,1,164732b9bletest0,null,-68,2,,1682597413000
126133,0926bde8,2023/04/27 20:09:38,1,164732b9bletest0,null,-62,1,,1682597413000
126241,0926bde8,2023/04/27 20:11:02,1,164732b9bletest0,null,-73,2,,1682597502000
126242,0926bde8,2023/04/27 20:10:17,1,164732b9bletest0,null,-82,3,,1682597502000
126243,0926bde8,2023/04/27 20:11:03,1,164732b9bletest0,null,-71.5,2,,1682597502000
126251,0926bde8,2023/04/27 20:11:06,1,164732b9bletest0,null,-80,3,,1682597502000
126254,0926bde8,2023/04/27 20:11:07,1,164732b9bletest0,null,-85,5,,1682597502000
126255,0926bde8,2023/04/27 20:10:20,1,164732b9bletest0,null,-79,3,,1682597502000
126256,0926bde8,2023/04/27 20:11:08,1,164732b9bletest0,null,-89,5,,1682597502000
126257,0926bde8,2023/04/27 20:10:21,1,164732b9bletest0,null,-77,3,,1682597502000
126260,0926bde8,2023/04/27 20:11:09,1,164732b9bletest0,null,-80,3,,1682597502000
126264,0926bde8,2023/04/27 20:11:10,1,164732b9bletest0,null,-77,3,,1682597502000
126267,0926bde8,2023/04/27 20:10:22,1,164732b9bletest0,null,-67,2,,1682597502000
126270,0926bde8,2023/04/27 20:11:11,1,164732b9bletest0,null,-74,2,,1682597502000
126272,0926bde8,2023/04/27 20:11:12,1,164732b9bletest0,null,-77,3,,1682597502000
126273,0926bde8,2023/04/27 20:10:24,1,164732b9bletest0,null,-82,3,,1682597502000
126278,0926bde8,2023/04/27 20:11:13,1,164732b9bletest0,null,-77,3,,1682597502000
126279,0926bde8,2023/04/27 20:10:25,1,164732b9bletest0,null,-76,3,,1682597502000
126280,0926bde8,2023/04/27 20:10:26,1,164732b9bletest0,null,-75,2,,1682597502000
126282,0926bde8,2023/04/27 20:10:27,1,164732b9bletest0,null,-76,3,,1682597502000
126283,0926bde8,2023/04/27 20:10:28,1,164732b9bletest0,null,-99,5,,1682597502000
126284,0926bde8,2023/04/27 20:10:29,1,164732b9bletest0,null,-80,3,,1682597502000
126285,0926bde8,2023/04/27 20:10:30,1,164732b9bletest0,null,-74.33333333333333,2,,1682597502000
126392,0926bde8,2023/04/27 20:12:30,1,164732b9bletest0,null,-77,3,,1682597598000
126395,0926bde8,2023/04/27 20:12:31,1,164732b9bletest0,null,-76,3,,1682597598000
126399,0926bde8,2023/04/27 20:12:32,1,164732b9bletest0,null,-72.5,2,,1682597598000
126400,0926bde8,2023/04/27 20:11:48,1,164732b9bletest0,null,-70,2,,1682597598000
126403,0926bde8,2023/04/27 20:11:49,1,164732b9bletest0,null,-79,3,,1682597598000
126406,0926bde8,2023/04/27 20:12:33,1,164732b9bletest0,null,-75.66666666666667,2,,1682597598000
126411,0926bde8,2023/04/27 20:11:50,1,164732b9bletest0,null,-66.66666666666667,2,,1682597598000
126414,0926bde8,2023/04/27 20:12:34,1,164732b9bletest0,null,-73,2,,1682597598000
126417,0926bde8,2023/04/27 20:11:51,1,164732b9bletest0,null,-75.66666666666667,2,,1682597598000
126418,0926bde8,2023/04/27 20:12:36,1,164732b9bletest0,null,-75.5,2,,1682597598000
126423,0926bde8,2023/04/27 20:11:52,1,164732b9bletest0,null,-71,2,,1682597598000
126424,0926bde8,2023/04/27 20:12:37,1,164732b9bletest0,null,-70,2,,1682597598000
