id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
125298,f69de6fc,2023/04/27 20:00:01,1,164732b9bletest0,null,-73,2,,1682596841000
125300,f69de6fc,2023/04/27 20:00:02,1,164732b9bletest0,null,-70.6,2,,1682596841000
125302,f69de6fc,2023/04/27 20:00:03,1,164732b9bletest0,null,-67.8,2,,1682596841000
125304,f69de6fc,2023/04/27 20:00:04,1,164732b9bletest0,null,-72,2,,1682596841000
125306,f69de6fc,2023/04/27 20:00:05,1,164732b9bletest0,null,-76,3,,1682596841000
125308,f69de6fc,2023/04/27 20:00:10,1,164732b9bletest0,null,-72.5,2,,1682596841000
125310,f69de6fc,2023/04/27 20:00:11,1,164732b9bletest0,null,-75.66666666666667,2,,1682596841000
125416,f69de6fc,2023/04/27 20:00:46,1,164732b9bletest0,null,-67.5,2,,1682596943000
125418,f69de6fc,2023/04/27 20:00:51,1,164732b9bletest0,null,-68.33333333333333,2,,1682596943000
125556,f69de6fc,2023/04/27 20:02:27,1,164732b9bletest0,null,-72,2,,1682597029000
125559,f69de6fc,2023/04/27 20:03:14,1,164732b9bletest0,null,-69.33333333333333,2,,1682597029000
125560,f69de6fc,2023/04/27 20:02:28,1,164732b9bletest0,null,-75.66666666666667,2,,1682597029000
125563,f69de6fc,2023/04/27 20:03:15,1,164732b9bletest0,null,-72,2,,1682597029000
125564,f69de6fc,2023/04/27 20:02:29,1,164732b9bletest0,null,-73.66666666666667,2,,1682597029000
125567,f69de6fc,2023/04/27 20:03:16,1,164732b9bletest0,null,-71.33333333333333,2,,1682597029000
125571,f69de6fc,2023/04/27 20:03:17,1,164732b9bletest0,null,-70.5,2,,1682597029000
125575,f69de6fc,2023/04/27 20:03:18,1,164732b9bletest0,null,-74.4,2,,1682597029000
125577,f69de6fc,2023/04/27 20:03:19,1,164732b9bletest0,null,-76.25,3,,1682597029000
125687,f69de6fc,2023/04/27 20:03:55,1,164732b9bletest0,null,-69.25,2,,1682597117000
125688,f69de6fc,2023/04/27 20:04:33,1,164732b9bletest0,null,-69.5,2,,1682597117000
125689,f69de6fc,2023/04/27 20:03:56,1,164732b9bletest0,null,-70,2,,1682597117000
125692,f69de6fc,2023/04/27 20:04:34,1,164732b9bletest0,null,-69.66666666666667,2,,1682597117000
125695,f69de6fc,2023/04/27 20:03:57,1,164732b9bletest0,null,-70,2,,1682597117000
125696,f69de6fc,2023/04/27 20:04:41,1,164732b9bletest0,null,-71.75,2,,1682597117000
125700,f69de6fc,2023/04/27 20:04:42,1,164732b9bletest0,null,-70.5,2,,1682597117000
125702,f69de6fc,2023/04/27 20:03:58,1,164732b9bletest0,null,-70,2,,1682597117000
125703,f69de6fc,2023/04/27 20:03:59,1,164732b9bletest0,null,-68.6,2,,1682597117000
125833,f69de6fc,2023/04/27 20:05:25,1,164732b9bletest0,null,-66,2,,1682597199000
125839,f69de6fc,2023/04/27 20:05:26,1,164732b9bletest0,null,-74,2,,1682597199000
125959,f69de6fc,2023/04/27 20:06:52,1,164732b9bletest0,null,-60.333333333333336,1,,1682597291000
125961,f69de6fc,2023/04/27 20:06:55,1,164732b9bletest0,null,-58.5,1,,1682597291000
125963,f69de6fc,2023/04/27 20:06:56,1,164732b9bletest0,null,-59,1,,1682597291000
126224,f69de6fc,2023/04/27 20:09:42,1,164732b9bletest0,null,-69.25,2,,1682597462000
126226,f69de6fc,2023/04/27 20:09:43,1,164732b9bletest0,null,-71,2,,1682597462000
126231,f69de6fc,2023/04/27 20:10:28,1,164732b9bletest0,null,-57.8,1,,1682597462000
126234,f69de6fc,2023/04/27 20:10:29,1,164732b9bletest0,null,-57,1,,1682597462000
126366,f69de6fc,2023/04/27 20:11:51,1,164732b9bletest0,null,-54,1,,1682597554000
126369,f69de6fc,2023/04/27 20:11:08,1,164732b9bletest0,null,-52.333333333333336,1,,1682597554000
126372,f69de6fc,2023/04/27 20:11:52,1,164732b9bletest0,null,-54.333333333333336,1,,1682597554000
126373,f69de6fc,2023/04/27 20:11:09,1,164732b9bletest0,null,-53.75,1,,1682597554000
126377,f69de6fc,2023/04/27 20:11:12,1,164732b9bletest0,null,-61,1,,1682597554000
126380,f69de6fc,2023/04/27 20:11:13,1,164732b9bletest0,null,-64,1,,1682597554000
126383,f69de6fc,2023/04/27 20:11:16,1,164732b9bletest0,null,-64,1,,1682597554000
126717,f69de6fc,2023/04/27 20:14:56,1,164732b9bletest0,null,-76.6,3,,1682597749000
126718,f69de6fc,2023/04/27 20:14:10,1,164732b9bletest0,null,-83.8,3,,1682597749000
126722,f69de6fc,2023/04/27 20:14:11,1,164732b9bletest0,null,-82,3,,1682597749000
126725,f69de6fc,2023/04/27 20:15:00,1,164732b9bletest0,null,-68,2,,1682597749000
126726,f69de6fc,2023/04/27 20:14:14,1,164732b9bletest0,null,-74.5,2,,1682597749000
126729,f69de6fc,2023/04/27 20:15:01,1,164732b9bletest0,null,-69.33333333333333,2,,1682597749000
126730,f69de6fc,2023/04/27 20:14:15,1,164732b9bletest0,null,-75.5,2,,1682597749000
126733,f69de6fc,2023/04/27 20:15:04,1,164732b9bletest0,null,-81,3,,1682597749000
