id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
129581,0926bde8,2023/04/27 21:02:00,1,164732b9bletest0,null,-80.3529411764706,3,,1682600559000
129583,0926bde8,2023/04/27 21:02:01,1,164732b9bletest0,null,-75.5,2,,1682600559000
129584,0926bde8,2023/04/27 21:02:02,1,164732b9bletest0,null,-80.53846153846153,3,,1682600559000
129585,0926bde8,2023/04/27 21:02:03,1,164732b9bletest0,null,-81.27272727272727,3,,1682600559000
129587,0926bde8,2023/04/27 21:02:04,1,164732b9bletest0,null,-80.125,3,,1682600559000
129589,0926bde8,2023/04/27 21:02:05,1,164732b9bletest0,null,-79.375,3,,1682600559000
129590,0926bde8,2023/04/27 21:02:06,1,164732b9bletest0,null,-88.57142857142857,5,,1682600559000
129591,0926bde8,2023/04/27 21:02:07,1,164732b9bletest0,null,-78.11111111111111,3,,1682600559000
129664,0926bde8,2023/04/27 21:03:29,1,164732b9bletest0,null,-72.5,2,,1682600655000
129666,0926bde8,2023/04/27 21:03:30,1,164732b9bletest0,null,-75.9,2,,1682600655000
129670,0926bde8,2023/04/27 21:03:31,1,164732b9bletest0,null,-75.28571428571429,2,,1682600655000
129671,0926bde8,2023/04/27 21:02:43,1,164732b9bletest0,null,-82,3,,1682600655000
129672,0926bde8,2023/04/27 21:03:32,1,164732b9bletest0,null,-73.2,2,,1682600655000
129673,0926bde8,2023/04/27 21:02:44,1,164732b9bletest0,null,-82.91666666666667,3,,1682600655000
129677,0926bde8,2023/04/27 21:02:45,1,164732b9bletest0,null,-77,3,,1682600655000
129678,0926bde8,2023/04/27 21:03:33,1,164732b9bletest0,null,-73.33333333333333,2,,1682600655000
129680,0926bde8,2023/04/27 21:03:34,1,164732b9bletest0,null,-72.85714285714286,2,,1682600655000
129681,0926bde8,2023/04/27 21:02:46,1,164732b9bletest0,null,-76.18181818181819,3,,1682600655000
129683,0926bde8,2023/04/27 21:03:35,1,164732b9bletest0,null,-75,2,,1682600655000
129686,0926bde8,2023/04/27 21:02:47,1,164732b9bletest0,null,-73.78571428571429,2,,1682600655000
129687,0926bde8,2023/04/27 21:03:36,1,164732b9bletest0,null,-80,3,,1682600655000
129690,0926bde8,2023/04/27 21:02:48,1,164732b9bletest0,null,-72.9090909090909,2,,1682600655000
129691,0926bde8,2023/04/27 21:03:37,1,164732b9bletest0,null,-72.73333333333333,2,,1682600655000
129694,0926bde8,2023/04/27 21:02:49,1,164732b9bletest0,null,-78.0909090909091,3,,1682600655000
129695,0926bde8,2023/04/27 21:03:38,1,164732b9bletest0,null,-75.25,2,,1682600655000
129698,0926bde8,2023/04/27 21:02:50,1,164732b9bletest0,null,-79.4,3,,1682600655000
129699,0926bde8,2023/04/27 21:03:39,1,164732b9bletest0,null,-77.6,3,,1682600655000
129702,0926bde8,2023/04/27 21:02:51,1,164732b9bletest0,null,-80,3,,1682600655000
129703,0926bde8,2023/04/27 21:03:40,1,164732b9bletest0,null,-75.25,2,,1682600655000
129706,0926bde8,2023/04/27 21:02:52,1,164732b9bletest0,null,-76.33333333333333,3,,1682600655000
129707,0926bde8,2023/04/27 21:03:41,1,164732b9bletest0,null,-76.875,3,,1682600655000
129710,0926bde8,2023/04/27 21:02:53,1,164732b9bletest0,null,-80.81818181818181,3,,1682600655000
129711,0926bde8,2023/04/27 21:03:42,1,164732b9bletest0,null,-75.11111111111111,2,,1682600655000
129714,0926bde8,2023/04/27 21:02:54,1,164732b9bletest0,null,-82.75,3,,1682600655000
129715,0926bde8,2023/04/27 21:03:43,1,164732b9bletest0,null,-77.08333333333333,3,,1682600655000
129717,0926bde8,2023/04/27 21:03:44,1,164732b9bletest0,null,-72.8125,2,,1682600655000
129718,0926bde8,2023/04/27 21:02:55,1,164732b9bletest0,null,-81.0909090909091,3,,1682600655000
129721,0926bde8,2023/04/27 21:03:45,1,164732b9bletest0,null,-72.8,2,,1682600655000
129722,0926bde8,2023/04/27 21:02:56,1,164732b9bletest0,null,-81.55555555555556,3,,1682600655000
129726,0926bde8,2023/04/27 21:02:57,1,164732b9bletest0,null,-80.11111111111111,3,,1682600655000
129727,0926bde8,2023/04/27 21:03:46,1,164732b9bletest0,null,-71.75,2,,1682600655000
129729,0926bde8,2023/04/27 21:03:47,1,164732b9bletest0,null,-71.66666666666667,2,,1682600655000
129730,0926bde8,2023/04/27 21:02:58,1,164732b9bletest0,null,-82.11111111111111,3,,1682600655000
129733,0926bde8,2023/04/27 21:03:48,1,164732b9bletest0,null,-70.75,2,,1682600655000
129734,0926bde8,2023/04/27 21:02:59,1,164732b9bletest0,null,-82.27272727272727,3,,1682600655000
129737,0926bde8,2023/04/27 21:03:00,1,164732b9bletest0,null,-78.11111111111111,3,,1682600655000
129738,0926bde8,2023/04/27 21:03:01,1,164732b9bletest0,null,-74.58333333333333,2,,1682600655000
129775,0926bde8,2023/04/27 21:05:04,1,164732b9bletest0,null,-73,2,,1682600745000
129776,0926bde8,2023/04/27 21:04:19,1,164732b9bletest0,null,-80,3,,1682600745000
129777,0926bde8,2023/04/27 21:05:05,1,164732b9bletest0,null,-69.91666666666667,2,,1682600745000
129778,0926bde8,2023/04/27 21:04:20,1,164732b9bletest0,null,-73.33333333333333,2,,1682600745000
129781,0926bde8,2023/04/27 21:05:06,1,164732b9bletest0,null,-73.28571428571429,2,,1682600745000
129782,0926bde8,2023/04/27 21:04:21,1,164732b9bletest0,null,-72.1,2,,1682600745000
129783,0926bde8,2023/04/27 21:05:07,1,164732b9bletest0,null,-72.0625,2,,1682600745000
129786,0926bde8,2023/04/27 21:04:22,1,164732b9bletest0,null,-70.78947368421052,2,,1682600745000
129787,0926bde8,2023/04/27 21:05:08,1,164732b9bletest0,null,-66.5,2,,1682600745000
129790,0926bde8,2023/04/27 21:04:23,1,164732b9bletest0,null,-72,2,,1682600745000
129792,0926bde8,2023/04/27 21:04:24,1,164732b9bletest0,null,-72.3125,2,,1682600745000
129793,0926bde8,2023/04/27 21:05:09,1,164732b9bletest0,null,-78.33333333333333,3,,1682600745000
129795,0926bde8,2023/04/27 21:05:10,1,164732b9bletest0,null,-78.4,3,,1682600745000
129796,0926bde8,2023/04/27 21:04:25,1,164732b9bletest0,null,-70.92857142857143,2,,1682600745000
