id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
129624,164732b9,2023/04/27 21:02:49,1,f69de6fcbletest0,null,-65,1,,1682600609000
129627,164732b9,2023/04/27 21:02:04,1,f69de6fcbletest0,null,-67.5,2,,1682600609000
129628,164732b9,2023/04/27 21:02:50,1,f69de6fcbletest0,null,-65,1,,1682600609000
129631,164732b9,2023/04/27 21:02:05,1,f69de6fcbletest0,null,-68,2,,1682600609000
129638,164732b9,2023/04/27 21:02:58,1,f69de6fcbletest0,null,-70.75,2,,1682600609000
129740,164732b9,2023/04/27 21:03:33,1,f69de6fcbletest0,null,-66,2,,1682600709000
129742,164732b9,2023/04/27 21:03:34,1,f69de6fcbletest0,null,-64,1,,1682600709000
129745,164732b9,2023/04/27 21:03:38,1,f69de6fcbletest0,null,-66.25,2,,1682600709000
129748,164732b9,2023/04/27 21:03:42,1,f69de6fcbletest0,null,-68,2,,1682600709000
129751,164732b9,2023/04/27 21:03:43,1,f69de6fcbletest0,null,-68,2,,1682600709000
129755,164732b9,2023/04/27 21:03:46,1,f69de6fcbletest0,null,-67.8,2,,1682600709000
129756,164732b9,2023/04/27 21:04:14,1,f69de6fcbletest0,null,-71,2,,1682600709000
129758,164732b9,2023/04/27 21:04:15,1,f69de6fcbletest0,null,-69.75,2,,1682600709000
129760,164732b9,2023/04/27 21:04:18,1,f69de6fcbletest0,null,-63,1,,1682600709000
129762,164732b9,2023/04/27 21:04:19,1,f69de6fcbletest0,null,-67.25,2,,1682600709000
129764,164732b9,2023/04/27 21:04:23,1,f69de6fcbletest0,null,-69.66666666666667,2,,1682600709000
129765,164732b9,2023/04/27 21:04:24,1,f69de6fcbletest0,null,-67,2,,1682600709000
129768,164732b9,2023/04/27 21:04:27,1,f69de6fcbletest0,null,-69.6,2,,1682600709000
129769,164732b9,2023/04/27 21:04:28,1,f69de6fcbletest0,null,-74.5,2,,1682600709000
129772,164732b9,2023/04/27 21:04:31,1,f69de6fcbletest0,null,-64,1,,1682600709000
129774,164732b9,2023/04/27 21:04:32,1,f69de6fcbletest0,null,-70,2,,1682600709000
129899,164732b9,2023/04/27 21:05:13,1,f69de6fcbletest0,null,-73,2,,1682600796000
129901,164732b9,2023/04/27 21:05:14,1,f69de6fcbletest0,null,-76,3,,1682600796000
129902,164732b9,2023/04/27 21:05:18,1,f69de6fcbletest0,null,-66.28571428571429,2,,1682600796000
129905,164732b9,2023/04/27 21:05:19,1,f69de6fcbletest0,null,-62,1,,1682600796000
129908,164732b9,2023/04/27 21:05:23,1,f69de6fcbletest0,null,-76,3,,1682600796000
129910,164732b9,2023/04/27 21:05:26,1,f69de6fcbletest0,null,-70,2,,1682600796000
129913,164732b9,2023/04/27 21:05:27,1,f69de6fcbletest0,null,-72,2,,1682600796000
129914,164732b9,2023/04/27 21:05:59,1,f69de6fcbletest0,null,-78.26666666666667,3,,1682600796000
129917,164732b9,2023/04/27 21:06:03,1,f69de6fcbletest0,null,-68.57142857142857,2,,1682600796000
129919,164732b9,2023/04/27 21:06:04,1,f69de6fcbletest0,null,-64.66666666666667,1,,1682600796000
129920,164732b9,2023/04/27 21:06:07,1,f69de6fcbletest0,null,-68.66666666666667,2,,1682600796000
129923,164732b9,2023/04/27 21:06:08,1,f69de6fcbletest0,null,-80.42857142857143,3,,1682600796000
129924,164732b9,2023/04/27 21:06:11,1,f69de6fcbletest0,null,-76,3,,1682600796000
130066,164732b9,2023/04/27 21:06:41,1,f69de6fcbletest0,null,-70.6923076923077,2,,1682600881000
130069,164732b9,2023/04/27 21:07:18,1,f69de6fcbletest0,null,-74.86666666666666,2,,1682600881000
130071,164732b9,2023/04/27 21:07:19,1,f69de6fcbletest0,null,-70.5,2,,1682600881000
130076,164732b9,2023/04/27 21:06:46,1,f69de6fcbletest0,null,-69.77777777777777,2,,1682600881000
130077,164732b9,2023/04/27 21:07:22,1,f69de6fcbletest0,null,-68.6,2,,1682600881000
130080,164732b9,2023/04/27 21:06:49,1,f69de6fcbletest0,null,-76,3,,1682600881000
130081,164732b9,2023/04/27 21:07:23,1,f69de6fcbletest0,null,-67.875,2,,1682600881000
130084,164732b9,2023/04/27 21:06:50,1,f69de6fcbletest0,null,-69.875,2,,1682600881000
