id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
129639,f69de6fc,2023/04/27 21:03:31,1,164732b9bletest0,null,-71.75,2,,1682600649000
129642,f69de6fc,2023/04/27 21:03:32,1,164732b9bletest0,null,-66.18181818181819,2,,1682600649000
129645,f69de6fc,2023/04/27 21:03:33,1,164732b9bletest0,null,-62.588235294117645,1,,1682600649000
129647,f69de6fc,2023/04/27 21:03:34,1,164732b9bletest0,null,-59.16326530612245,1,,1682600649000
129649,f69de6fc,2023/04/27 21:03:35,1,164732b9bletest0,null,-60,1,,1682600649000
129653,f69de6fc,2023/04/27 21:03:36,1,164732b9bletest0,null,-59.91891891891892,1,,1682600649000
129656,f69de6fc,2023/04/27 21:03:37,1,164732b9bletest0,null,-61.432432432432435,1,,1682600649000
129657,f69de6fc,2023/04/27 21:03:38,1,164732b9bletest0,null,-60.45238095238095,1,,1682600649000
129662,f69de6fc,2023/04/27 21:03:39,1,164732b9bletest0,null,-62.96153846153846,1,,1682600649000
129819,f69de6fc,2023/04/27 21:04:31,1,164732b9bletest0,null,-67.11320754716981,2,,1682600755000
129822,f69de6fc,2023/04/27 21:04:32,1,164732b9bletest0,null,-64.25531914893617,1,,1682600755000
130089,f69de6fc,2023/04/27 21:08:03,1,164732b9bletest0,null,-65.25,2,,1682600921000
130091,f69de6fc,2023/04/27 21:08:04,1,164732b9bletest0,null,-62.93617021276596,1,,1682600921000
130092,f69de6fc,2023/04/27 21:08:05,1,164732b9bletest0,null,-62.5,1,,1682600921000
130095,f69de6fc,2023/04/27 21:08:06,1,164732b9bletest0,null,-60.75757575757576,1,,1682600921000
130096,f69de6fc,2023/04/27 21:08:07,1,164732b9bletest0,null,-64.9,1,,1682600921000
130099,f69de6fc,2023/04/27 21:08:08,1,164732b9bletest0,null,-61.05128205128205,1,,1682600921000
130100,f69de6fc,2023/04/27 21:08:09,1,164732b9bletest0,null,-60.94285714285714,1,,1682600921000
130103,f69de6fc,2023/04/27 21:08:10,1,164732b9bletest0,null,-65.57777777777778,2,,1682600921000
130104,f69de6fc,2023/04/27 21:08:11,1,164732b9bletest0,null,-61.130434782608695,1,,1682600921000
130106,f69de6fc,2023/04/27 21:08:12,1,164732b9bletest0,null,-60.45454545454545,1,,1682600921000
130109,f69de6fc,2023/04/27 21:08:13,1,164732b9bletest0,null,-60.1875,1,,1682600921000
130582,f69de6fc,2023/04/27 21:12:30,1,164732b9bletest0,null,-62.65,1,,1682601197000
130585,f69de6fc,2023/04/27 21:12:31,1,164732b9bletest0,null,-65.92,2,,1682601197000
130586,f69de6fc,2023/04/27 21:12:32,1,164732b9bletest0,null,-70.8125,2,,1682601197000
130588,f69de6fc,2023/04/27 21:12:33,1,164732b9bletest0,null,-64,1,,1682601197000
130591,f69de6fc,2023/04/27 21:12:34,1,164732b9bletest0,null,-67.5,2,,1682601197000
130592,f69de6fc,2023/04/27 21:12:35,1,164732b9bletest0,null,-67.4,2,,1682601197000
130595,f69de6fc,2023/04/27 21:12:38,1,164732b9bletest0,null,-66.38461538461539,2,,1682601197000
130597,f69de6fc,2023/04/27 21:12:39,1,164732b9bletest0,null,-60.166666666666664,1,,1682601197000
