id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
77524,0926bde8,2023/02/21 12:15:48,1,164732b9bletest0,,-59.0,1,,1676953000000
77534,0926bde8,2023/02/21 12:15:49,1,164732b9bletest0,,-63.0,1,,1676953000000
77551,0926bde8,2023/02/21 12:15:52,1,164732b9bletest0,,-61.0,1,,1676953000000
77555,0926bde8,2023/02/21 12:15:53,1,164732b9bletest0,,-61.0,1,,1676953000000
77558,0926bde8,2023/02/21 12:15:54,1,164732b9bletest0,,-58.0,1,,1676953000000
77561,0926bde8,2023/02/21 12:15:55,1,164732b9bletest0,,-61.5,1,,1676953000000
77565,0926bde8,2023/02/21 12:15:56,1,164732b9bletest0,,-52.0,1,,1676953000000
77566,0926bde8,2023/02/21 12:15:57,1,164732b9bletest0,,-74.0,2,,1676953000000
78617,0926bde8,2023/02/21 12:20:14,1,164732b9bletest0,,-61.0,1,,1676953252000
78623,0926bde8,2023/02/21 12:20:15,1,164732b9bletest0,,-62.0,1,,1676953252000
78631,0926bde8,2023/02/21 12:20:17,1,164732b9bletest0,,-61.0,1,,1676953252000
78646,0926bde8,2023/02/21 12:20:20,1,164732b9bletest0,,-60.0,1,,1676953252000
78656,0926bde8,2023/02/21 12:20:23,1,164732b9bletest0,,-64.0,1,,1676953252000
79028,0926bde8,2023/02/21 12:20:56,1,164732b9bletest0,,-62.0,1,,1676953344000
79036,0926bde8,2023/02/21 12:20:57,1,164732b9bletest0,,-60.0,1,,1676953344000
79043,0926bde8,2023/02/21 12:20:58,1,164732b9bletest0,,-65.0,1,,1676953344000
79052,0926bde8,2023/02/21 12:20:59,1,164732b9bletest0,,-62.0,1,,1676953344000
79055,0926bde8,2023/02/21 12:21:00,1,164732b9bletest0,,-80.5,3,,1676953344000
79065,0926bde8,2023/02/21 12:21:02,1,164732b9bletest0,,-79.0,3,,1676953344000
79079,0926bde8,2023/02/21 12:21:04,1,164732b9bletest0,,-79.0,3,,1676953344000
79084,0926bde8,2023/02/21 12:21:05,1,164732b9bletest0,,-72.0,2,,1676953344000
79095,0926bde8,2023/02/21 12:21:07,1,164732b9bletest0,,-75.0,2,,1676953344000
