id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
77913,7.5909e+93,2023/02/21 12:16:40,1,0926bde8bletest0,,-69.0,2,,1676953090000
77948,7.5909e+93,2023/02/21 12:17:31,1,0926bde8bletest0,,-64.0,1,,1676953090000
78823,7.5909e+93,2023/02/21 12:19:59,1,0926bde8bletest0,,-62.0,1,,1676953297000
78829,7.5909e+93,2023/02/21 12:20:00,1,0926bde8bletest0,,-58.0,1,,1676953297000
78837,7.5909e+93,2023/02/21 12:20:01,1,0926bde8bletest0,,-63.0,1,,1676953297000
78843,7.5909e+93,2023/02/21 12:20:02,1,0926bde8bletest0,,-56.66666666666666,1,,1676953297000
78855,7.5909e+93,2023/02/21 12:20:03,1,0926bde8bletest0,,-60.0,1,,1676953297000
78861,7.5909e+93,2023/02/21 12:20:04,1,0926bde8bletest0,,-59.0,1,,1676953297000
78873,7.5909e+93,2023/02/21 12:20:06,1,0926bde8bletest0,,-62.0,1,,1676953297000
78877,7.5909e+93,2023/02/21 12:20:07,1,0926bde8bletest0,,-68.0,2,,1676953297000
78884,7.5909e+93,2023/02/21 12:20:09,1,0926bde8bletest0,,-67.33333333333333,2,,1676953297000
78888,7.5909e+93,2023/02/21 12:20:10,1,0926bde8bletest0,,-63.5,1,,1676953297000
78890,7.5909e+93,2023/02/21 12:20:11,1,0926bde8bletest0,,-65.0,1,,1676953297000
78894,7.5909e+93,2023/02/21 12:20:12,1,0926bde8bletest0,,-66.5,2,,1676953297000
78783,7.5909e+93,2023/02/21 12:20:47,1,0926bde8bletest0,,-72.0,2,,1676953297000
78787,7.5909e+93,2023/02/21 12:20:48,1,0926bde8bletest0,,-70.0,2,,1676953297000
78791,7.5909e+93,2023/02/21 12:20:49,1,0926bde8bletest0,,-60.0,1,,1676953297000
78799,7.5909e+93,2023/02/21 12:20:50,1,0926bde8bletest0,,-67.0,2,,1676953297000
78801,7.5909e+93,2023/02/21 12:20:51,1,0926bde8bletest0,,-70.0,2,,1676953297000
78814,7.5909e+93,2023/02/21 12:20:52,1,0926bde8bletest0,,-68.0,2,,1676953297000
78822,7.5909e+93,2023/02/21 12:20:53,1,0926bde8bletest0,,-61.0,1,,1676953297000
81091,7.5909e+93,2023/02/21 12:29:55,1,0926bde8bletest0,,-77.0,3,,1676953839000
84675,7.5909e+93,2023/02/21 13:03:43,1,0926bde8bletest0,,-64.0,1,,1676955865000
84681,7.5909e+93,2023/02/21 13:03:45,1,0926bde8bletest0,,-67.0,2,,1676955865000
84685,7.5909e+93,2023/02/21 13:03:46,1,0926bde8bletest0,,-70.66666666666667,2,,1676955865000
84689,7.5909e+93,2023/02/21 13:03:47,1,0926bde8bletest0,,-67.0,2,,1676955865000
84691,7.5909e+93,2023/02/21 13:03:48,1,0926bde8bletest0,,-68.5,2,,1676955865000
84694,7.5909e+93,2023/02/21 13:03:49,1,0926bde8bletest0,,-65.0,1,,1676955865000
84696,7.5909e+93,2023/02/21 13:03:50,1,0926bde8bletest0,,-65.0,1,,1676955865000
84697,7.5909e+93,2023/02/21 13:03:51,1,0926bde8bletest0,,-70.5,2,,1676955865000
84700,7.5909e+93,2023/02/21 13:03:52,1,0926bde8bletest0,,-66.75,2,,1676955865000
84702,7.5909e+93,2023/02/21 13:03:53,1,0926bde8bletest0,,-68.66666666666667,2,,1676955865000
84704,7.5909e+93,2023/02/21 13:03:54,1,0926bde8bletest0,,-66.0,2,,1676955865000
84706,7.5909e+93,2023/02/21 13:03:55,1,0926bde8bletest0,,-63.66666666666666,1,,1676955865000
85154,7.5909e+93,2023/02/21 13:04:30,1,0926bde8bletest0,,-59.0,1,,1676955959000
85160,7.5909e+93,2023/02/21 13:04:31,1,0926bde8bletest0,,-67.0,2,,1676955959000
85168,7.5909e+93,2023/02/21 13:04:32,1,0926bde8bletest0,,-63.0,1,,1676955959000
85172,7.5909e+93,2023/02/21 13:04:33,1,0926bde8bletest0,,-60.0,1,,1676955959000
85183,7.5909e+93,2023/02/21 13:04:34,1,0926bde8bletest0,,-60.0,1,,1676955959000
85190,7.5909e+93,2023/02/21 13:04:35,1,0926bde8bletest0,,-61.0,1,,1676955959000
85198,7.5909e+93,2023/02/21 13:04:36,1,0926bde8bletest0,,-67.0,2,,1676955959000
85200,7.5909e+93,2023/02/21 13:04:37,1,0926bde8bletest0,,-66.0,2,,1676955959000
85208,7.5909e+93,2023/02/21 13:04:38,1,0926bde8bletest0,,-67.0,2,,1676955959000
85212,7.5909e+93,2023/02/21 13:04:39,1,0926bde8bletest0,,-60.5,1,,1676955959000
85226,7.5909e+93,2023/02/21 13:04:41,1,0926bde8bletest0,,-59.0,1,,1676955959000
85155,7.5909e+93,2023/02/21 13:05:14,1,0926bde8bletest0,,-66.5,2,,1676955959000
85167,7.5909e+93,2023/02/21 13:05:15,1,0926bde8bletest0,,-59.66666666666666,1,,1676955959000
85180,7.5909e+93,2023/02/21 13:05:16,1,0926bde8bletest0,,-63.0,1,,1676955959000
85189,7.5909e+93,2023/02/21 13:05:17,1,0926bde8bletest0,,-61.0,1,,1676955959000
85193,7.5909e+93,2023/02/21 13:05:18,1,0926bde8bletest0,,-65.33333333333333,2,,1676955959000
85197,7.5909e+93,2023/02/21 13:05:19,1,0926bde8bletest0,,-60.333333333333336,1,,1676955959000
85201,7.5909e+93,2023/02/21 13:05:20,1,0926bde8bletest0,,-65.5,2,,1676955959000
85205,7.5909e+93,2023/02/21 13:05:21,1,0926bde8bletest0,,-59.0,1,,1676955959000
85209,7.5909e+93,2023/02/21 13:05:22,1,0926bde8bletest0,,-62.66666666666666,1,,1676955959000
85213,7.5909e+93,2023/02/21 13:05:23,1,0926bde8bletest0,,-64.5,1,,1676955959000
85865,7.5909e+93,2023/02/21 13:06:45,1,0926bde8bletest0,,-62.0,1,,1676956052000
85869,7.5909e+93,2023/02/21 13:06:46,1,0926bde8bletest0,,-62.0,1,,1676956052000
85872,7.5909e+93,2023/02/21 13:06:47,1,0926bde8bletest0,,-64.0,1,,1676956052000
85873,7.5909e+93,2023/02/21 13:06:48,1,0926bde8bletest0,,-66.0,2,,1676956052000
85875,7.5909e+93,2023/02/21 13:06:49,1,0926bde8bletest0,,-72.5,2,,1676956052000
85876,7.5909e+93,2023/02/21 13:06:50,1,0926bde8bletest0,,-71.5,2,,1676956052000
85879,7.5909e+93,2023/02/21 13:06:51,1,0926bde8bletest0,,-65.0,1,,1676956052000
85882,7.5909e+93,2023/02/21 13:06:52,1,0926bde8bletest0,,-60.0,1,,1676956052000
86415,7.5909e+93,2023/02/21 13:07:36,1,0926bde8bletest0,,-64.66666666666667,1,,1676956154000
86424,7.5909e+93,2023/02/21 13:07:37,1,0926bde8bletest0,,-62.0,1,,1676956154000
86427,7.5909e+93,2023/02/21 13:07:39,1,0926bde8bletest0,,-63.0,1,,1676956154000
86413,7.5909e+93,2023/02/21 13:08:21,1,0926bde8bletest0,,-66.5,2,,1676956154000
86420,7.5909e+93,2023/02/21 13:08:22,1,0926bde8bletest0,,-72.0,2,,1676956154000
86423,7.5909e+93,2023/02/21 13:08:23,1,0926bde8bletest0,,-71.0,2,,1676956154000
86430,7.5909e+93,2023/02/21 13:08:24,1,0926bde8bletest0,,-64.5,1,,1676956154000
86439,7.5909e+93,2023/02/21 13:08:25,1,0926bde8bletest0,,-71.0,2,,1676956154000
86443,7.5909e+93,2023/02/21 13:08:26,1,0926bde8bletest0,,-66.5,2,,1676956154000
86450,7.5909e+93,2023/02/21 13:08:27,1,0926bde8bletest0,,-80.0,3,,1676956154000
86455,7.5909e+93,2023/02/21 13:08:28,1,0926bde8bletest0,,-71.5,2,,1676956154000
86926,7.5909e+93,2023/02/21 13:10:01,1,0926bde8bletest0,,-65.0,1,,1676956246000
86942,7.5909e+93,2023/02/21 13:10:02,1,0926bde8bletest0,,-64.5,1,,1676956246000
86950,7.5909e+93,2023/02/21 13:10:03,1,0926bde8bletest0,,-59.66666666666666,1,,1676956246000
86960,7.5909e+93,2023/02/21 13:10:05,1,0926bde8bletest0,,-59.0,1,,1676956246000
86970,7.5909e+93,2023/02/21 13:10:06,1,0926bde8bletest0,,-58.0,1,,1676956246000
87548,7.5909e+93,2023/02/21 13:11:33,1,0926bde8bletest0,,-48.66666666666666,1,,1676956345000
87560,7.5909e+93,2023/02/21 13:11:34,1,0926bde8bletest0,,-52.5,1,,1676956345000
87576,7.5909e+93,2023/02/21 13:11:35,1,0926bde8bletest0,,-54.0,1,,1676956345000
87580,7.5909e+93,2023/02/21 13:11:36,1,0926bde8bletest0,,-53.5,1,,1676956345000
87591,7.5909e+93,2023/02/21 13:11:37,1,0926bde8bletest0,,-49.0,1,,1676956345000
87597,7.5909e+93,2023/02/21 13:11:38,1,0926bde8bletest0,,-53.0,1,,1676956345000
87607,7.5909e+93,2023/02/21 13:11:39,1,0926bde8bletest0,,-51.0,1,,1676956345000
88563,7.5909e+93,2023/02/21 13:14:39,1,0926bde8bletest0,,-69.0,2,,1676956524000
89721,7.5909e+93,2023/02/21 13:17:16,1,0926bde8bletest0,,-69.0,2,,1676956704000
