id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
101021,0926bde8,2023/03/24 09:20:11,1,75909e89bletest0,,-74.0,2,,1679620903000
101027,0926bde8,2023/03/24 09:20:12,1,75909e89bletest0,,-69.0,2,,1679620903000
101384,0926bde8,2023/03/24 09:22:25,1,75909e89bletest0,,-52.0,1,,1679620993000
101386,0926bde8,2023/03/24 09:22:26,1,75909e89bletest0,,-49.5,1,,1679620993000
101395,0926bde8,2023/03/24 09:22:27,1,75909e89bletest0,,-47.0,1,,1679620993000
101398,0926bde8,2023/03/24 09:22:28,1,75909e89bletest0,,-48.0,1,,1679620993000
102968,0926bde8,2023/03/24 09:28:18,1,75909e89bletest0,,-89.0,5,,1679621383000
102980,0926bde8,2023/03/24 09:28:20,1,75909e89bletest0,,-89.0,5,,1679621383000
102988,0926bde8,2023/03/24 09:28:22,1,75909e89bletest0,,-80.0,3,,1679621383000
103002,0926bde8,2023/03/24 09:28:24,1,75909e89bletest0,,-80.0,3,,1679621383000
103017,0926bde8,2023/03/24 09:28:26,1,75909e89bletest0,,-83.0,3,,1679621383000
103022,0926bde8,2023/03/24 09:28:27,1,75909e89bletest0,,-81.5,3,,1679621383000
103031,0926bde8,2023/03/24 09:28:28,1,75909e89bletest0,,-85.5,5,,1679621383000
103040,0926bde8,2023/03/24 09:28:29,1,75909e89bletest0,,-75.0,2,,1679621383000
102959,0926bde8,2023/03/24 09:29:06,1,75909e89bletest0,,-77.0,3,,1679621383000
102965,0926bde8,2023/03/24 09:29:07,1,75909e89bletest0,,-78.0,3,,1679621383000
102969,0926bde8,2023/03/24 09:29:08,1,75909e89bletest0,,-77.0,3,,1679621383000
102982,0926bde8,2023/03/24 09:29:10,1,75909e89bletest0,,-75.0,2,,1679621383000
102986,0926bde8,2023/03/24 09:29:11,1,75909e89bletest0,,-71.0,2,,1679621383000
103382,0926bde8,2023/03/24 09:29:49,1,75909e89bletest0,,-80.0,3,,1679621471000
103394,0926bde8,2023/03/24 09:29:51,1,75909e89bletest0,,-71.0,2,,1679621471000
103406,0926bde8,2023/03/24 09:29:53,1,75909e89bletest0,,-85.0,5,,1679621471000
103414,0926bde8,2023/03/24 09:29:55,1,75909e89bletest0,,-84.0,3,,1679621471000
103423,0926bde8,2023/03/24 09:29:57,1,75909e89bletest0,,-76.5,3,,1679621471000
103412,0926bde8,2023/03/24 09:30:40,1,75909e89bletest0,,-78.0,3,,1679621471000
