id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
100255,7.5909e+93,2023/03/24 09:16:12,1,0926bde8bletest0,,-74.0,2,,1679620672000
100259,7.5909e+93,2023/03/24 09:16:13,1,0926bde8bletest0,,-72.33333333333333,2,,1679620672000
100271,7.5909e+93,2023/03/24 09:16:14,1,0926bde8bletest0,,-72.0,2,,1679620672000
100279,7.5909e+93,2023/03/24 09:16:15,1,0926bde8bletest0,,-72.5,2,,1679620672000
100287,7.5909e+93,2023/03/24 09:16:16,1,0926bde8bletest0,,-72.5,2,,1679620672000
100291,7.5909e+93,2023/03/24 09:16:17,1,0926bde8bletest0,,-69.5,2,,1679620672000
100295,7.5909e+93,2023/03/24 09:16:18,1,0926bde8bletest0,,-71.5,2,,1679620672000
100949,7.5909e+93,2023/03/24 09:19:27,1,0926bde8bletest0,,-71.5,2,,1679620856000
100953,7.5909e+93,2023/03/24 09:19:28,1,0926bde8bletest0,,-71.0,2,,1679620856000
102047,7.5909e+93,2023/03/24 09:24:08,1,0926bde8bletest0,,-73.0,2,,1679621131000
102041,7.5909e+93,2023/03/24 09:24:45,1,0926bde8bletest0,,-76.0,3,,1679621131000
102053,7.5909e+93,2023/03/24 09:24:47,1,0926bde8bletest0,,-73.5,2,,1679621131000
102060,7.5909e+93,2023/03/24 09:24:48,1,0926bde8bletest0,,-87.0,5,,1679621131000
102068,7.5909e+93,2023/03/24 09:24:49,1,0926bde8bletest0,,-81.0,3,,1679621131000
102072,7.5909e+93,2023/03/24 09:24:50,1,0926bde8bletest0,,-79.5,3,,1679621131000
102080,7.5909e+93,2023/03/24 09:24:51,1,0926bde8bletest0,,-76.0,3,,1679621131000
102088,7.5909e+93,2023/03/24 09:24:52,1,0926bde8bletest0,,-76.0,3,,1679621131000
102095,7.5909e+93,2023/03/24 09:24:53,1,0926bde8bletest0,,-74.75,2,,1679621131000
102100,7.5909e+93,2023/03/24 09:24:54,1,0926bde8bletest0,,-76.0,3,,1679621131000
102300,7.5909e+93,2023/03/24 09:25:35,1,0926bde8bletest0,,-81.0,3,,1679621225000
102307,7.5909e+93,2023/03/24 09:25:36,1,0926bde8bletest0,,-83.5,3,,1679621225000
102315,7.5909e+93,2023/03/24 09:25:38,1,0926bde8bletest0,,-81.0,3,,1679621225000
102327,7.5909e+93,2023/03/24 09:25:39,1,0926bde8bletest0,,-83.5,3,,1679621225000
102718,7.5909e+93,2023/03/24 09:27:11,1,0926bde8bletest0,,-86.0,5,,1679621312000
102727,7.5909e+93,2023/03/24 09:27:12,1,0926bde8bletest0,,-81.0,3,,1679621312000
102731,7.5909e+93,2023/03/24 09:27:13,1,0926bde8bletest0,,-82.0,3,,1679621312000
102740,7.5909e+93,2023/03/24 09:27:14,1,0926bde8bletest0,,-81.5,3,,1679621312000
102752,7.5909e+93,2023/03/24 09:27:15,1,0926bde8bletest0,,-84.5,3,,1679621312000
102714,7.5909e+93,2023/03/24 09:27:50,1,0926bde8bletest0,,-83.0,3,,1679621312000
102721,7.5909e+93,2023/03/24 09:27:51,1,0926bde8bletest0,,-80.0,3,,1679621312000
102733,7.5909e+93,2023/03/24 09:27:52,1,0926bde8bletest0,,-79.0,3,,1679621312000
102741,7.5909e+93,2023/03/24 09:27:53,1,0926bde8bletest0,,-82.0,3,,1679621312000
102757,7.5909e+93,2023/03/24 09:27:54,1,0926bde8bletest0,,-84.0,3,,1679621312000
102770,7.5909e+93,2023/03/24 09:27:55,1,0926bde8bletest0,,-79.0,3,,1679621312000
102771,7.5909e+93,2023/03/24 09:27:56,1,0926bde8bletest0,,-85.66666666666667,5,,1679621312000
102782,7.5909e+93,2023/03/24 09:27:57,1,0926bde8bletest0,,-84.0,3,,1679621312000
102788,7.5909e+93,2023/03/24 09:27:58,1,0926bde8bletest0,,-85.5,5,,1679621312000
102791,7.5909e+93,2023/03/24 09:27:59,1,0926bde8bletest0,,-81.5,3,,1679621312000
103195,7.5909e+93,2023/03/24 09:28:44,1,0926bde8bletest0,,-80.0,3,,1679621399000
103207,7.5909e+93,2023/03/24 09:28:46,1,0926bde8bletest0,,-84.0,3,,1679621399000
103215,7.5909e+93,2023/03/24 09:28:47,1,0926bde8bletest0,,-85.0,5,,1679621399000
103219,7.5909e+93,2023/03/24 09:28:48,1,0926bde8bletest0,,-77.0,3,,1679621399000
103223,7.5909e+93,2023/03/24 09:28:49,1,0926bde8bletest0,,-85.0,5,,1679621399000
103232,7.5909e+93,2023/03/24 09:28:50,1,0926bde8bletest0,,-83.0,3,,1679621399000
103238,7.5909e+93,2023/03/24 09:28:51,1,0926bde8bletest0,,-83.0,3,,1679621399000
103242,7.5909e+93,2023/03/24 09:28:52,1,0926bde8bletest0,,-91.0,5,,1679621399000
