id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
99895,7.5909e+93,2023/03/24 09:15:18,1,dc32f1d2bletest0,,-79.5,3,,1679620567000
99897,7.5909e+93,2023/03/24 09:15:19,1,dc32f1d2bletest0,,-71.66666666666667,2,,1679620567000
99905,7.5909e+93,2023/03/24 09:15:20,1,dc32f1d2bletest0,,-76.0,3,,1679620567000
99919,7.5909e+93,2023/03/24 09:15:21,1,dc32f1d2bletest0,,-72.5,2,,1679620567000
99923,7.5909e+93,2023/03/24 09:15:22,1,dc32f1d2bletest0,,-73.0,2,,1679620567000
100253,7.5909e+93,2023/03/24 09:17:01,1,dc32f1d2bletest0,,-75.0,2,,1679620672000
100261,7.5909e+93,2023/03/24 09:17:02,1,dc32f1d2bletest0,,-76.0,3,,1679620672000
101356,7.5909e+93,2023/03/24 09:21:57,1,dc32f1d2bletest0,,-64.0,1,,1679620950000
101360,7.5909e+93,2023/03/24 09:21:58,1,dc32f1d2bletest0,,-62.0,1,,1679620950000
101366,7.5909e+93,2023/03/24 09:21:59,1,dc32f1d2bletest0,,-66.0,2,,1679620950000
101368,7.5909e+93,2023/03/24 09:22:00,1,dc32f1d2bletest0,,-63.0,1,,1679620950000
101374,7.5909e+93,2023/03/24 09:22:01,1,dc32f1d2bletest0,,-59.0,1,,1679620950000
101707,7.5909e+93,2023/03/24 09:22:48,1,dc32f1d2bletest0,,-59.0,1,,1679621044000
101713,7.5909e+93,2023/03/24 09:22:49,1,dc32f1d2bletest0,,-69.5,2,,1679621044000
101716,7.5909e+93,2023/03/24 09:22:50,1,dc32f1d2bletest0,,-57.0,1,,1679621044000
101719,7.5909e+93,2023/03/24 09:22:51,1,dc32f1d2bletest0,,-59.0,1,,1679621044000
101682,7.5909e+93,2023/03/24 09:23:24,1,dc32f1d2bletest0,,-51.0,1,,1679621044000
101686,7.5909e+93,2023/03/24 09:23:25,1,dc32f1d2bletest0,,-47.66666666666666,1,,1679621044000
101694,7.5909e+93,2023/03/24 09:23:26,1,dc32f1d2bletest0,,-46.0,1,,1679621044000
101706,7.5909e+93,2023/03/24 09:23:27,1,dc32f1d2bletest0,,-48.5,1,,1679621044000
101715,7.5909e+93,2023/03/24 09:23:29,1,dc32f1d2bletest0,,-62.0,1,,1679621044000
101718,7.5909e+93,2023/03/24 09:23:30,1,dc32f1d2bletest0,,-55.5,1,,1679621044000
101723,7.5909e+93,2023/03/24 09:23:31,1,dc32f1d2bletest0,,-59.333333333333336,1,,1679621044000
101725,7.5909e+93,2023/03/24 09:23:32,1,dc32f1d2bletest0,,-58.333333333333336,1,,1679621044000
101726,7.5909e+93,2023/03/24 09:23:33,1,dc32f1d2bletest0,,-48.75,1,,1679621044000
102066,7.5909e+93,2023/03/24 09:24:13,1,dc32f1d2bletest0,,-72.0,2,,1679621131000
102070,7.5909e+93,2023/03/24 09:24:14,1,dc32f1d2bletest0,,-73.0,2,,1679621131000
102079,7.5909e+93,2023/03/24 09:24:15,1,dc32f1d2bletest0,,-76.33333333333333,3,,1679621131000
102083,7.5909e+93,2023/03/24 09:24:16,1,dc32f1d2bletest0,,-71.0,2,,1679621131000
102093,7.5909e+93,2023/03/24 09:24:17,1,dc32f1d2bletest0,,-74.66666666666667,2,,1679621131000
102099,7.5909e+93,2023/03/24 09:24:18,1,dc32f1d2bletest0,,-80.0,3,,1679621131000
102717,7.5909e+93,2023/03/24 09:27:50,1,dc32f1d2bletest0,,-79.0,3,,1679621312000
102719,7.5909e+93,2023/03/24 09:27:51,1,dc32f1d2bletest0,,-74.0,2,,1679621312000
102737,7.5909e+93,2023/03/24 09:27:52,1,dc32f1d2bletest0,,-76.0,3,,1679621312000
102745,7.5909e+93,2023/03/24 09:27:53,1,dc32f1d2bletest0,,-81.5,3,,1679621312000
102753,7.5909e+93,2023/03/24 09:27:54,1,dc32f1d2bletest0,,-78.0,3,,1679621312000
103149,7.5909e+93,2023/03/24 09:28:36,1,dc32f1d2bletest0,,-85.0,5,,1679621399000
103157,7.5909e+93,2023/03/24 09:28:37,1,dc32f1d2bletest0,,-91.0,5,,1679621399000
103165,7.5909e+93,2023/03/24 09:28:38,1,dc32f1d2bletest0,,-79.0,3,,1679621399000
103168,7.5909e+93,2023/03/24 09:28:39,1,dc32f1d2bletest0,,-84.0,3,,1679621399000
103176,7.5909e+93,2023/03/24 09:28:40,1,dc32f1d2bletest0,,-89.0,5,,1679621399000
103155,7.5909e+93,2023/03/24 09:29:21,1,dc32f1d2bletest0,,-82.0,3,,1679621399000
103164,7.5909e+93,2023/03/24 09:29:22,1,dc32f1d2bletest0,,-80.5,3,,1679621399000
103169,7.5909e+93,2023/03/24 09:29:24,1,dc32f1d2bletest0,,-80.0,3,,1679621399000
103181,7.5909e+93,2023/03/24 09:29:25,1,dc32f1d2bletest0,,-78.5,3,,1679621399000
103185,7.5909e+93,2023/03/24 09:29:26,1,dc32f1d2bletest0,,-78.0,3,,1679621399000
103193,7.5909e+93,2023/03/24 09:29:27,1,dc32f1d2bletest0,,-79.66666666666667,3,,1679621399000
103205,7.5909e+93,2023/03/24 09:29:28,1,dc32f1d2bletest0,,-78.0,3,,1679621399000
103209,7.5909e+93,2023/03/24 09:29:29,1,dc32f1d2bletest0,,-81.0,3,,1679621399000
103221,7.5909e+93,2023/03/24 09:29:30,1,dc32f1d2bletest0,,-85.0,5,,1679621399000
