id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
106825,7.5909e+93,2023/03/24 10:01:09,1,fedc20debletest0,,-71.0,2,,1679623318000
106830,7.5909e+93,2023/03/24 10:01:10,1,fedc20debletest0,,-73.0,2,,1679623318000
106835,7.5909e+93,2023/03/24 10:01:11,1,fedc20debletest0,,-72.0,2,,1679623318000
106838,7.5909e+93,2023/03/24 10:01:12,1,fedc20debletest0,,-75.0,2,,1679623318000
106844,7.5909e+93,2023/03/24 10:01:13,1,fedc20debletest0,,-77.0,3,,1679623318000
106853,7.5909e+93,2023/03/24 10:01:14,1,fedc20debletest0,,-80.0,3,,1679623318000
106859,7.5909e+93,2023/03/24 10:01:16,1,fedc20debletest0,,-73.5,2,,1679623318000
106871,7.5909e+93,2023/03/24 10:01:17,1,fedc20debletest0,,-76.0,3,,1679623318000
106878,7.5909e+93,2023/03/24 10:01:18,1,fedc20debletest0,,-75.5,2,,1679623318000
106889,7.5909e+93,2023/03/24 10:01:19,1,fedc20debletest0,,-77.5,3,,1679623318000
106899,7.5909e+93,2023/03/24 10:01:21,1,fedc20debletest0,,-76.66666666666667,3,,1679623318000
106903,7.5909e+93,2023/03/24 10:01:22,1,fedc20debletest0,,-79.0,3,,1679623318000
107134,7.5909e+93,2023/03/24 10:02:03,1,fedc20debletest0,,-72.0,2,,1679623409000
107150,7.5909e+93,2023/03/24 10:02:04,1,fedc20debletest0,,-76.0,3,,1679623409000
107159,7.5909e+93,2023/03/24 10:02:05,1,fedc20debletest0,,-89.0,5,,1679623409000
107179,7.5909e+93,2023/03/24 10:02:06,1,fedc20debletest0,,-77.0,3,,1679623409000
107187,7.5909e+93,2023/03/24 10:02:07,1,fedc20debletest0,,-73.0,2,,1679623409000
107203,7.5909e+93,2023/03/24 10:02:08,1,fedc20debletest0,,-69.0,2,,1679623409000
107211,7.5909e+93,2023/03/24 10:02:09,1,fedc20debletest0,,-73.0,2,,1679623409000
107219,7.5909e+93,2023/03/24 10:02:10,1,fedc20debletest0,,-70.0,2,,1679623409000
107223,7.5909e+93,2023/03/24 10:02:11,1,fedc20debletest0,,-73.0,2,,1679623409000
107233,7.5909e+93,2023/03/24 10:02:12,1,fedc20debletest0,,-79.0,3,,1679623409000
107149,7.5909e+93,2023/03/24 10:02:53,1,fedc20debletest0,,-71.0,2,,1679623409000
107164,7.5909e+93,2023/03/24 10:02:54,1,fedc20debletest0,,-78.0,3,,1679623409000
107176,7.5909e+93,2023/03/24 10:02:55,1,fedc20debletest0,,-72.0,2,,1679623409000
107189,7.5909e+93,2023/03/24 10:02:56,1,fedc20debletest0,,-72.0,2,,1679623409000
107198,7.5909e+93,2023/03/24 10:02:57,1,fedc20debletest0,,-77.0,3,,1679623409000
107214,7.5909e+93,2023/03/24 10:02:58,1,fedc20debletest0,,-68.0,2,,1679623409000
107226,7.5909e+93,2023/03/24 10:02:59,1,fedc20debletest0,,-75.0,2,,1679623409000
107229,7.5909e+93,2023/03/24 10:03:00,1,fedc20debletest0,,-72.5,2,,1679623409000
107240,7.5909e+93,2023/03/24 10:03:01,1,fedc20debletest0,,-74.0,2,,1679623409000
107242,7.5909e+93,2023/03/24 10:03:02,1,fedc20debletest0,,-79.0,3,,1679623409000
107464,7.5909e+93,2023/03/24 10:03:34,1,fedc20debletest0,,-78.0,3,,1679623503000
107468,7.5909e+93,2023/03/24 10:03:35,1,fedc20debletest0,,-86.0,5,,1679623503000
107478,7.5909e+93,2023/03/24 10:03:36,1,fedc20debletest0,,-84.0,3,,1679623503000
107487,7.5909e+93,2023/03/24 10:03:39,1,fedc20debletest0,,-85.0,5,,1679623503000
