id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
128154,e6208a42,2023/04/27 20:43:20,1,dc32f1d2bletest0,,-74.0,2,,1682599495000
128156,e6208a42,2023/04/27 20:43:21,1,dc32f1d2bletest0,,-71.66666666666667,2,,1682599495000
128162,e6208a42,2023/04/27 20:43:22,1,dc32f1d2bletest0,,-72.625,2,,1682599495000
128168,e6208a42,2023/04/27 20:43:23,1,dc32f1d2bletest0,,-70.4,2,,1682599495000
128173,e6208a42,2023/04/27 20:43:24,1,dc32f1d2bletest0,,-73.8,2,,1682599495000
128179,e6208a42,2023/04/27 20:43:25,1,dc32f1d2bletest0,,-69.33333333333333,2,,1682599495000
128187,e6208a42,2023/04/27 20:43:26,1,dc32f1d2bletest0,,-70.85714285714286,2,,1682599495000
128191,e6208a42,2023/04/27 20:43:27,1,dc32f1d2bletest0,,-74.2,2,,1682599495000
128197,e6208a42,2023/04/27 20:43:28,1,dc32f1d2bletest0,,-74.8125,2,,1682599495000
128201,e6208a42,2023/04/27 20:43:29,1,dc32f1d2bletest0,,-66.53846153846153,2,,1682599495000
128205,e6208a42,2023/04/27 20:43:30,1,dc32f1d2bletest0,,-71.85714285714286,2,,1682599495000
128211,e6208a42,2023/04/27 20:43:31,1,dc32f1d2bletest0,,-66.8,2,,1682599495000
128217,e6208a42,2023/04/27 20:43:32,1,dc32f1d2bletest0,,-66.9,2,,1682599495000
128223,e6208a42,2023/04/27 20:43:33,1,dc32f1d2bletest0,,-64.75,1,,1682599495000
128227,e6208a42,2023/04/27 20:43:34,1,dc32f1d2bletest0,,-69.06666666666666,2,,1682599495000
128230,e6208a42,2023/04/27 20:43:35,1,dc32f1d2bletest0,,-74.66666666666667,2,,1682599495000
128232,e6208a42,2023/04/27 20:43:36,1,dc32f1d2bletest0,,-70.77777777777777,2,,1682599495000
128235,e6208a42,2023/04/27 20:43:37,1,dc32f1d2bletest0,,-71.06666666666666,2,,1682599495000
128239,e6208a42,2023/04/27 20:43:38,1,dc32f1d2bletest0,,-71.0,2,,1682599495000
128148,e6208a42,2023/04/27 20:44:09,1,dc32f1d2bletest0,,-66.0,2,,1682599495000
128149,e6208a42,2023/04/27 20:44:10,1,dc32f1d2bletest0,,-70.25,2,,1682599495000
128155,e6208a42,2023/04/27 20:44:11,1,dc32f1d2bletest0,,-68.75,2,,1682599495000
128159,e6208a42,2023/04/27 20:44:12,1,dc32f1d2bletest0,,-74.7,2,,1682599495000
128167,e6208a42,2023/04/27 20:44:13,1,dc32f1d2bletest0,,-66.77777777777777,2,,1682599495000
128175,e6208a42,2023/04/27 20:44:14,1,dc32f1d2bletest0,,-69.375,2,,1682599495000
128180,e6208a42,2023/04/27 20:44:15,1,dc32f1d2bletest0,,-69.92307692307692,2,,1682599495000
128184,e6208a42,2023/04/27 20:44:16,1,dc32f1d2bletest0,,-72.33333333333333,2,,1682599495000
128186,e6208a42,2023/04/27 20:44:17,1,dc32f1d2bletest0,,-64.05882352941177,1,,1682599495000
128190,e6208a42,2023/04/27 20:44:18,1,dc32f1d2bletest0,,-68.53333333333333,2,,1682599495000
128198,e6208a42,2023/04/27 20:44:19,1,dc32f1d2bletest0,,-68.8,2,,1682599495000
128202,e6208a42,2023/04/27 20:44:20,1,dc32f1d2bletest0,,-70.16666666666667,2,,1682599495000
128210,e6208a42,2023/04/27 20:44:21,1,dc32f1d2bletest0,,-67.33333333333333,2,,1682599495000
128214,e6208a42,2023/04/27 20:44:22,1,dc32f1d2bletest0,,-66.0,2,,1682599495000
128224,e6208a42,2023/04/27 20:44:23,1,dc32f1d2bletest0,,-66.45454545454545,2,,1682599495000
128382,e6208a42,2023/04/27 20:44:59,1,dc32f1d2bletest0,,-71.0,2,,1682599595000
128383,e6208a42,2023/04/27 20:45:00,1,dc32f1d2bletest0,,-67.11111111111111,2,,1682599595000
128387,e6208a42,2023/04/27 20:45:01,1,dc32f1d2bletest0,,-68.07692307692308,2,,1682599595000
128388,e6208a42,2023/04/27 20:45:02,1,dc32f1d2bletest0,,-67.07142857142857,2,,1682599595000
128390,e6208a42,2023/04/27 20:45:03,1,dc32f1d2bletest0,,-59.76923076923077,1,,1682599595000
128395,e6208a42,2023/04/27 20:45:04,1,dc32f1d2bletest0,,-63.375,1,,1682599595000
128401,e6208a42,2023/04/27 20:45:05,1,dc32f1d2bletest0,,-70.0,2,,1682599595000
128405,e6208a42,2023/04/27 20:45:06,1,dc32f1d2bletest0,,-66.0,2,,1682599595000
128409,e6208a42,2023/04/27 20:45:07,1,dc32f1d2bletest0,,-66.625,2,,1682599595000
128411,e6208a42,2023/04/27 20:45:08,1,dc32f1d2bletest0,,-68.75,2,,1682599595000
