id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
126853,dc32f1d2,2023/04/27 20:22:56,1,defe41ccbletest0,,-87.07142857142857,5,,1682598266000
126854,dc32f1d2,2023/04/27 20:22:57,1,defe41ccbletest0,,-84.6,3,,1682598266000
126856,dc32f1d2,2023/04/27 20:22:58,1,defe41ccbletest0,,-87.57142857142857,5,,1682598266000
126858,dc32f1d2,2023/04/27 20:22:59,1,defe41ccbletest0,,-84.0,3,,1682598266000
126860,dc32f1d2,2023/04/27 20:23:00,1,defe41ccbletest0,,-84.6,3,,1682598266000
126862,dc32f1d2,2023/04/27 20:23:01,1,defe41ccbletest0,,-90.46666666666668,5,,1682598266000
126863,dc32f1d2,2023/04/27 20:23:03,1,defe41ccbletest0,,-82.0,3,,1682598266000
126864,dc32f1d2,2023/04/27 20:23:05,1,defe41ccbletest0,,-87.0,5,,1682598266000
126865,dc32f1d2,2023/04/27 20:23:09,1,defe41ccbletest0,,-90.0,5,,1682598266000
126866,dc32f1d2,2023/04/27 20:23:10,1,defe41ccbletest0,,-88.5,5,,1682598266000
126855,dc32f1d2,2023/04/27 20:23:46,1,defe41ccbletest0,,-85.4,5,,1682598266000
126857,dc32f1d2,2023/04/27 20:23:49,1,defe41ccbletest0,,-88.33333333333333,5,,1682598266000
126859,dc32f1d2,2023/04/27 20:23:53,1,defe41ccbletest0,,-92.33333333333331,5,,1682598266000
126861,dc32f1d2,2023/04/27 20:23:54,1,defe41ccbletest0,,-88.0,5,,1682598266000
126987,dc32f1d2,2023/04/27 20:24:35,1,defe41ccbletest0,,-85.0,5,,1682598367000
126988,dc32f1d2,2023/04/27 20:24:37,1,defe41ccbletest0,,-87.0,5,,1682598367000
126990,dc32f1d2,2023/04/27 20:24:40,1,defe41ccbletest0,,-84.5,3,,1682598367000
126992,dc32f1d2,2023/04/27 20:24:43,1,defe41ccbletest0,,-93.0,5,,1682598367000
126994,dc32f1d2,2023/04/27 20:24:44,1,defe41ccbletest0,,-94.0,5,,1682598367000
126996,dc32f1d2,2023/04/27 20:24:47,1,defe41ccbletest0,,-86.66666666666667,5,,1682598367000
126989,dc32f1d2,2023/04/27 20:25:17,1,defe41ccbletest0,,-88.0,5,,1682598367000
126991,dc32f1d2,2023/04/27 20:25:18,1,defe41ccbletest0,,-90.75,5,,1682598367000
126993,dc32f1d2,2023/04/27 20:25:20,1,defe41ccbletest0,,-73.0,2,,1682598367000
126995,dc32f1d2,2023/04/27 20:25:21,1,defe41ccbletest0,,-83.2,3,,1682598367000
126997,dc32f1d2,2023/04/27 20:25:22,1,defe41ccbletest0,,-78.0,3,,1682598367000
126999,dc32f1d2,2023/04/27 20:25:25,1,defe41ccbletest0,,-77.85714285714286,3,,1682598367000
127000,dc32f1d2,2023/04/27 20:25:27,1,defe41ccbletest0,,-76.5,3,,1682598367000
127002,dc32f1d2,2023/04/27 20:25:30,1,defe41ccbletest0,,-86.5,5,,1682598367000
127003,dc32f1d2,2023/04/27 20:25:31,1,defe41ccbletest0,,-79.6,3,,1682598367000
127005,dc32f1d2,2023/04/27 20:25:33,1,defe41ccbletest0,,-78.0,3,,1682598367000
127006,dc32f1d2,2023/04/27 20:25:34,1,defe41ccbletest0,,-83.33333333333333,3,,1682598367000
127007,dc32f1d2,2023/04/27 20:25:35,1,defe41ccbletest0,,-79.0,3,,1682598367000
127145,dc32f1d2,2023/04/27 20:26:12,1,defe41ccbletest0,,-79.07692307692308,3,,1682598449000
127147,dc32f1d2,2023/04/27 20:26:14,1,defe41ccbletest0,,-81.5,3,,1682598449000
127149,dc32f1d2,2023/04/27 20:26:15,1,defe41ccbletest0,,-81.625,3,,1682598449000
127151,dc32f1d2,2023/04/27 20:26:19,1,defe41ccbletest0,,-78.0,3,,1682598449000
127155,dc32f1d2,2023/04/27 20:26:20,1,defe41ccbletest0,,-77.0,3,,1682598449000
127157,dc32f1d2,2023/04/27 20:26:21,1,defe41ccbletest0,,-80.0,3,,1682598449000
127144,dc32f1d2,2023/04/27 20:26:50,1,defe41ccbletest0,,-76.0,3,,1682598449000
127146,dc32f1d2,2023/04/27 20:26:52,1,defe41ccbletest0,,-80.5,3,,1682598449000
127148,dc32f1d2,2023/04/27 20:26:53,1,defe41ccbletest0,,-81.6,3,,1682598449000
127150,dc32f1d2,2023/04/27 20:26:54,1,defe41ccbletest0,,-77.0,3,,1682598449000
127152,dc32f1d2,2023/04/27 20:26:55,1,defe41ccbletest0,,-77.25,3,,1682598449000
127154,dc32f1d2,2023/04/27 20:26:56,1,defe41ccbletest0,,-76.0,3,,1682598449000
127156,dc32f1d2,2023/04/27 20:26:57,1,defe41ccbletest0,,-76.33333333333333,3,,1682598449000
127159,dc32f1d2,2023/04/27 20:26:58,1,defe41ccbletest0,,-77.0,3,,1682598449000
127290,dc32f1d2,2023/04/27 20:27:34,1,defe41ccbletest0,,-83.23076923076923,3,,1682598561000
127291,dc32f1d2,2023/04/27 20:27:36,1,defe41ccbletest0,,-77.66666666666667,3,,1682598561000
127292,dc32f1d2,2023/04/27 20:27:37,1,defe41ccbletest0,,-84.28571428571429,3,,1682598561000
127294,dc32f1d2,2023/04/27 20:27:39,1,defe41ccbletest0,,-77.33333333333333,3,,1682598561000
127295,dc32f1d2,2023/04/27 20:27:41,1,defe41ccbletest0,,-81.0,3,,1682598561000
127299,dc32f1d2,2023/04/27 20:27:44,1,defe41ccbletest0,,-88.0,5,,1682598561000
127301,dc32f1d2,2023/04/27 20:27:45,1,defe41ccbletest0,,-83.75,3,,1682598561000
127303,dc32f1d2,2023/04/27 20:27:47,1,defe41ccbletest0,,-85.0,5,,1682598561000
127305,dc32f1d2,2023/04/27 20:27:48,1,defe41ccbletest0,,-85.0,5,,1682598561000
127307,dc32f1d2,2023/04/27 20:27:51,1,defe41ccbletest0,,-80.0,3,,1682598561000
127296,dc32f1d2,2023/04/27 20:28:27,1,defe41ccbletest0,,-71.0,2,,1682598561000
127298,dc32f1d2,2023/04/27 20:28:28,1,defe41ccbletest0,,-72.5,2,,1682598561000
127304,dc32f1d2,2023/04/27 20:28:29,1,defe41ccbletest0,,-79.0,3,,1682598561000
127306,dc32f1d2,2023/04/27 20:28:30,1,defe41ccbletest0,,-82.5,3,,1682598561000
127308,dc32f1d2,2023/04/27 20:28:31,1,defe41ccbletest0,,-90.66666666666669,5,,1682598561000
127309,dc32f1d2,2023/04/27 20:28:33,1,defe41ccbletest0,,-93.0,5,,1682598561000
127310,dc32f1d2,2023/04/27 20:28:34,1,defe41ccbletest0,,-93.0,5,,1682598561000
127311,dc32f1d2,2023/04/27 20:28:35,1,defe41ccbletest0,,-70.5,2,,1682598561000
127312,dc32f1d2,2023/04/27 20:28:36,1,defe41ccbletest0,,-81.5,3,,1682598561000
127313,dc32f1d2,2023/04/27 20:28:37,1,defe41ccbletest0,,-71.5,2,,1682598561000
127314,dc32f1d2,2023/04/27 20:28:38,1,defe41ccbletest0,,-71.75,2,,1682598561000
