id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
110849,dc32f1d2,2023/03/24 10:31:06,1,fedc20debletest0,,-75.0,2,,1679625108000
110850,dc32f1d2,2023/03/24 10:31:07,1,fedc20debletest0,,-83.0,3,,1679625108000
110851,dc32f1d2,2023/03/24 10:31:08,1,fedc20debletest0,,-78.0,3,,1679625108000
111209,dc32f1d2,2023/03/24 10:31:53,1,fedc20debletest0,,-70.0,2,,1679625199000
111210,dc32f1d2,2023/03/24 10:31:54,1,fedc20debletest0,,-77.0,3,,1679625199000
111211,dc32f1d2,2023/03/24 10:31:55,1,fedc20debletest0,,-63.0,1,,1679625199000
111203,dc32f1d2,2023/03/24 10:32:42,1,fedc20debletest0,,-63.333333333333336,1,,1679625199000
111207,dc32f1d2,2023/03/24 10:32:44,1,fedc20debletest0,,-82.0,3,,1679625199000
111208,dc32f1d2,2023/03/24 10:32:45,1,fedc20debletest0,,-72.0,2,,1679625199000
111313,dc32f1d2,2023/03/24 10:34:07,1,fedc20debletest0,,-72.0,2,,1679625286000
111446,dc32f1d2,2023/03/24 10:34:50,1,fedc20debletest0,,-70.0,2,,1679625367000
111449,dc32f1d2,2023/03/24 10:34:51,1,fedc20debletest0,,-71.0,2,,1679625367000
111451,dc32f1d2,2023/03/24 10:34:56,1,fedc20debletest0,,-77.0,3,,1679625367000
111448,dc32f1d2,2023/03/24 10:35:31,1,fedc20debletest0,,-68.0,2,,1679625367000
111454,dc32f1d2,2023/03/24 10:35:34,1,fedc20debletest0,,-65.0,1,,1679625367000
111459,dc32f1d2,2023/03/24 10:35:36,1,fedc20debletest0,,-76.0,3,,1679625367000
111460,dc32f1d2,2023/03/24 10:35:38,1,fedc20debletest0,,-66.0,2,,1679625367000
111461,dc32f1d2,2023/03/24 10:35:39,1,fedc20debletest0,,-80.0,3,,1679625367000
111616,dc32f1d2,2023/03/24 10:36:14,1,fedc20debletest0,,-62.0,1,,1679625452000
111622,dc32f1d2,2023/03/24 10:36:17,1,fedc20debletest0,,-55.0,1,,1679625452000
111624,dc32f1d2,2023/03/24 10:36:18,1,fedc20debletest0,,-62.5,1,,1679625452000
111611,dc32f1d2,2023/03/24 10:36:59,1,fedc20debletest0,,-65.0,1,,1679625452000
111615,dc32f1d2,2023/03/24 10:37:01,1,fedc20debletest0,,-75.0,2,,1679625452000
111619,dc32f1d2,2023/03/24 10:37:04,1,fedc20debletest0,,-55.0,1,,1679625452000
111621,dc32f1d2,2023/03/24 10:37:05,1,fedc20debletest0,,-62.0,1,,1679625452000
111623,dc32f1d2,2023/03/24 10:37:07,1,fedc20debletest0,,-60.0,1,,1679625452000
111625,dc32f1d2,2023/03/24 10:37:08,1,fedc20debletest0,,-65.0,1,,1679625452000
111626,dc32f1d2,2023/03/24 10:37:09,1,fedc20debletest0,,-61.0,1,,1679625452000
111785,dc32f1d2,2023/03/24 10:37:43,1,fedc20debletest0,,-61.0,1,,1679625545000
111789,dc32f1d2,2023/03/24 10:37:46,1,fedc20debletest0,,-67.5,2,,1679625545000
111791,dc32f1d2,2023/03/24 10:37:48,1,fedc20debletest0,,-61.0,1,,1679625545000
111792,dc32f1d2,2023/03/24 10:37:49,1,fedc20debletest0,,-59.0,1,,1679625545000
111925,dc32f1d2,2023/03/24 10:39:12,1,fedc20debletest0,,-69.0,2,,1679625642000
111927,dc32f1d2,2023/03/24 10:39:13,1,fedc20debletest0,,-79.25,3,,1679625642000
111929,dc32f1d2,2023/03/24 10:39:14,1,fedc20debletest0,,-73.33333333333333,2,,1679625642000
111931,dc32f1d2,2023/03/24 10:39:15,1,fedc20debletest0,,-68.5,2,,1679625642000
111939,dc32f1d2,2023/03/24 10:39:20,1,fedc20debletest0,,-68.33333333333333,2,,1679625642000
111941,dc32f1d2,2023/03/24 10:39:21,1,fedc20debletest0,,-69.0,2,,1679625642000
111945,dc32f1d2,2023/03/24 10:39:23,1,fedc20debletest0,,-72.0,2,,1679625642000
111924,dc32f1d2,2023/03/24 10:39:55,1,fedc20debletest0,,-80.0,3,,1679625642000
111926,dc32f1d2,2023/03/24 10:39:56,1,fedc20debletest0,,-68.0,2,,1679625642000
111928,dc32f1d2,2023/03/24 10:39:59,1,fedc20debletest0,,-65.0,1,,1679625642000
111930,dc32f1d2,2023/03/24 10:40:00,1,fedc20debletest0,,-73.0,2,,1679625642000
111932,dc32f1d2,2023/03/24 10:40:01,1,fedc20debletest0,,-69.0,2,,1679625642000
111934,dc32f1d2,2023/03/24 10:40:03,1,fedc20debletest0,,-71.5,2,,1679625642000
111938,dc32f1d2,2023/03/24 10:40:04,1,fedc20debletest0,,-69.0,2,,1679625642000
