id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
127655,0926bde8,2023/04/27 20:32:26,1,164732b9bletest0,,-59.333333333333336,1,,1682598809000
127656,0926bde8,2023/04/27 20:32:27,1,164732b9bletest0,,-59.25,1,,1682598809000
127657,0926bde8,2023/04/27 20:32:28,1,164732b9bletest0,,-57.8,1,,1682598809000
127659,0926bde8,2023/04/27 20:32:29,1,164732b9bletest0,,-58.25,1,,1682598809000
127660,0926bde8,2023/04/27 20:32:30,1,164732b9bletest0,,-57.0,1,,1682598809000
127661,0926bde8,2023/04/27 20:32:31,1,164732b9bletest0,,-56.5,1,,1682598809000
127662,0926bde8,2023/04/27 20:32:32,1,164732b9bletest0,,-57.333333333333336,1,,1682598809000
127664,0926bde8,2023/04/27 20:32:34,1,164732b9bletest0,,-58.25,1,,1682598809000
127665,0926bde8,2023/04/27 20:32:35,1,164732b9bletest0,,-59.25,1,,1682598809000
127666,0926bde8,2023/04/27 20:32:36,1,164732b9bletest0,,-53.0,1,,1682598809000
127988,0926bde8,2023/04/27 20:37:41,1,164732b9bletest0,,-75.0,2,,1682599095000
127991,0926bde8,2023/04/27 20:37:42,1,164732b9bletest0,,-74.5,2,,1682599095000
127992,0926bde8,2023/04/27 20:37:43,1,164732b9bletest0,,-73.0,2,,1682599095000
