id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
80005,defe41cc,2023/02/21 12:26:00,1,f69de6fcbletest0,,-89.0,5,,1676953565000
80214,defe41cc,2023/02/21 12:27:02,1,f69de6fcbletest0,,-85.0,5,,1676953630000
80220,defe41cc,2023/02/21 12:27:06,1,f69de6fcbletest0,,-78.0,3,,1676953630000
80699,defe41cc,2023/02/21 12:28:47,1,f69de6fcbletest0,,-66.0,2,,1676953735000
81071,defe41cc,2023/02/21 12:30:19,1,f69de6fcbletest0,,-58.0,1,,1676953827000
81078,defe41cc,2023/02/21 12:30:23,1,f69de6fcbletest0,,-53.0,1,,1676953827000
81120,defe41cc,2023/02/21 12:30:32,1,f69de6fcbletest0,,-58.0,1,,1676953841000
81148,defe41cc,2023/02/21 12:31:02,1,f69de6fcbletest0,,-53.0,1,,1676953867000
81159,defe41cc,2023/02/21 12:31:03,1,f69de6fcbletest0,,-53.0,1,,1676953867000
81543,defe41cc,2023/02/21 12:32:04,1,f69de6fcbletest0,,-77.0,3,,1676953933000
81668,defe41cc,2023/02/21 12:32:43,1,f69de6fcbletest0,,-76.0,3,,1676953972000
