id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
110034,fedc20de,2023/03/24 10:25:54,1,dc32f1d2bletest0,,-61.0,1,,1679624830000
110037,fedc20de,2023/03/24 10:25:55,1,dc32f1d2bletest0,,-63.0,1,,1679624830000
110040,fedc20de,2023/03/24 10:25:56,1,dc32f1d2bletest0,,-71.66666666666667,2,,1679624830000
110044,fedc20de,2023/03/24 10:25:57,1,dc32f1d2bletest0,,-74.5,2,,1679624830000
110048,fedc20de,2023/03/24 10:25:58,1,dc32f1d2bletest0,,-66.0,2,,1679624830000
110052,fedc20de,2023/03/24 10:25:59,1,dc32f1d2bletest0,,-61.0,1,,1679624830000
110056,fedc20de,2023/03/24 10:26:00,1,dc32f1d2bletest0,,-60.333333333333336,1,,1679624830000
110060,fedc20de,2023/03/24 10:26:01,1,dc32f1d2bletest0,,-66.0,2,,1679624830000
110064,fedc20de,2023/03/24 10:26:02,1,dc32f1d2bletest0,,-71.0,2,,1679624830000
110068,fedc20de,2023/03/24 10:26:03,1,dc32f1d2bletest0,,-66.0,2,,1679624830000
110035,fedc20de,2023/03/24 10:26:33,1,dc32f1d2bletest0,,-61.833333333333336,1,,1679624830000
110038,fedc20de,2023/03/24 10:26:34,1,dc32f1d2bletest0,,-55.0,1,,1679624830000
110041,fedc20de,2023/03/24 10:26:35,1,dc32f1d2bletest0,,-58.5,1,,1679624830000
110045,fedc20de,2023/03/24 10:26:36,1,dc32f1d2bletest0,,-61.5,1,,1679624830000
110049,fedc20de,2023/03/24 10:26:37,1,dc32f1d2bletest0,,-67.5,2,,1679624830000
110053,fedc20de,2023/03/24 10:26:38,1,dc32f1d2bletest0,,-61.5,1,,1679624830000
110057,fedc20de,2023/03/24 10:26:39,1,dc32f1d2bletest0,,-62.5,1,,1679624830000
110061,fedc20de,2023/03/24 10:26:40,1,dc32f1d2bletest0,,-62.5,1,,1679624830000
110065,fedc20de,2023/03/24 10:26:42,1,dc32f1d2bletest0,,-65.0,1,,1679624830000
110337,fedc20de,2023/03/24 10:27:14,1,dc32f1d2bletest0,,-57.25,1,,1679624924000
110341,fedc20de,2023/03/24 10:27:15,1,dc32f1d2bletest0,,-56.0,1,,1679624924000
110345,fedc20de,2023/03/24 10:27:16,1,dc32f1d2bletest0,,-60.75,1,,1679624924000
110349,fedc20de,2023/03/24 10:27:17,1,dc32f1d2bletest0,,-65.33333333333333,2,,1679624924000
110354,fedc20de,2023/03/24 10:27:18,1,dc32f1d2bletest0,,-59.0,1,,1679624924000
