id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
87170,cb581061,2023/02/21 13:09:27,1,fedc20debletest0,,-70.0,2,,1676956262000
87172,cb581061,2023/02/21 13:09:28,1,fedc20debletest0,,-68.0,2,,1676956262000
87178,cb581061,2023/02/21 13:09:30,1,fedc20debletest0,,-73.0,2,,1676956262000
87180,cb581061,2023/02/21 13:09:32,1,fedc20debletest0,,-59.0,1,,1676956262000
87190,cb581061,2023/02/21 13:09:34,1,fedc20debletest0,,-71.0,2,,1676956262000
87196,cb581061,2023/02/21 13:09:37,1,fedc20debletest0,,-61.0,1,,1676956262000
87204,cb581061,2023/02/21 13:09:40,1,fedc20debletest0,,-61.0,1,,1676956262000
87206,cb581061,2023/02/21 13:09:41,1,fedc20debletest0,,-68.0,2,,1676956262000
87169,cb581061,2023/02/21 13:10:12,1,fedc20debletest0,,-59.66666666666666,1,,1676956262000
87177,cb581061,2023/02/21 13:10:13,1,fedc20debletest0,,-55.0,1,,1676956262000
87183,cb581061,2023/02/21 13:10:14,1,fedc20debletest0,,-58.0,1,,1676956262000
87185,cb581061,2023/02/21 13:10:15,1,fedc20debletest0,,-53.0,1,,1676956262000
87189,cb581061,2023/02/21 13:10:16,1,fedc20debletest0,,-45.333333333333336,1,,1676956262000
87195,cb581061,2023/02/21 13:10:17,1,fedc20debletest0,,-51.5,1,,1676956262000
87199,cb581061,2023/02/21 13:10:18,1,fedc20debletest0,,-50.0,1,,1676956262000
87201,cb581061,2023/02/21 13:10:19,1,fedc20debletest0,,-57.0,1,,1676956262000
87211,cb581061,2023/02/21 13:10:22,1,fedc20debletest0,,-63.0,1,,1676956262000
87212,cb581061,2023/02/21 13:10:23,1,fedc20debletest0,,-61.0,1,,1676956262000
87214,cb581061,2023/02/21 13:10:24,1,fedc20debletest0,,-62.0,1,,1676956262000
87217,cb581061,2023/02/21 13:10:25,1,fedc20debletest0,,-61.0,1,,1676956262000
87221,cb581061,2023/02/21 13:10:27,1,fedc20debletest0,,-52.0,1,,1676956262000
87660,cb581061,2023/02/21 13:11:06,1,fedc20debletest0,,-79.0,3,,1676956347000
87662,cb581061,2023/02/21 13:11:07,1,fedc20debletest0,,-73.0,2,,1676956347000
87663,cb581061,2023/02/21 13:11:08,1,fedc20debletest0,,-77.0,3,,1676956347000
87673,cb581061,2023/02/21 13:11:09,1,fedc20debletest0,,-84.0,3,,1676956347000
87677,cb581061,2023/02/21 13:11:10,1,fedc20debletest0,,-83.0,3,,1676956347000
87681,cb581061,2023/02/21 13:11:11,1,fedc20debletest0,,-86.5,5,,1676956347000
87685,cb581061,2023/02/21 13:11:12,1,fedc20debletest0,,-77.0,3,,1676956347000
87690,cb581061,2023/02/21 13:11:14,1,fedc20debletest0,,-81.0,3,,1676956347000
87694,cb581061,2023/02/21 13:11:15,1,fedc20debletest0,,-82.0,3,,1676956347000
87700,cb581061,2023/02/21 13:11:17,1,fedc20debletest0,,-79.5,3,,1676956347000
87670,cb581061,2023/02/21 13:11:47,1,fedc20debletest0,,-75.5,2,,1676956347000
87675,cb581061,2023/02/21 13:11:48,1,fedc20debletest0,,-85.0,5,,1676956347000
87680,cb581061,2023/02/21 13:11:49,1,fedc20debletest0,,-78.0,3,,1676956347000
87682,cb581061,2023/02/21 13:11:50,1,fedc20debletest0,,-81.0,3,,1676956347000
