id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
84675,7.5909e+93,2023/02/21 13:03:43,1,0926bde8bletest0,,-64.0,1,,1676955865000
84681,7.5909e+93,2023/02/21 13:03:45,1,0926bde8bletest0,,-67.0,2,,1676955865000
84685,7.5909e+93,2023/02/21 13:03:46,1,0926bde8bletest0,,-70.66666666666667,2,,1676955865000
84689,7.5909e+93,2023/02/21 13:03:47,1,0926bde8bletest0,,-67.0,2,,1676955865000
84691,7.5909e+93,2023/02/21 13:03:48,1,0926bde8bletest0,,-68.5,2,,1676955865000
84694,7.5909e+93,2023/02/21 13:03:49,1,0926bde8bletest0,,-65.0,1,,1676955865000
84696,7.5909e+93,2023/02/21 13:03:50,1,0926bde8bletest0,,-65.0,1,,1676955865000
84697,7.5909e+93,2023/02/21 13:03:51,1,0926bde8bletest0,,-70.5,2,,1676955865000
84700,7.5909e+93,2023/02/21 13:03:52,1,0926bde8bletest0,,-66.75,2,,1676955865000
84702,7.5909e+93,2023/02/21 13:03:53,1,0926bde8bletest0,,-68.66666666666667,2,,1676955865000
84704,7.5909e+93,2023/02/21 13:03:54,1,0926bde8bletest0,,-66.0,2,,1676955865000
84706,7.5909e+93,2023/02/21 13:03:55,1,0926bde8bletest0,,-63.66666666666666,1,,1676955865000
85154,7.5909e+93,2023/02/21 13:04:30,1,0926bde8bletest0,,-59.0,1,,1676955959000
85160,7.5909e+93,2023/02/21 13:04:31,1,0926bde8bletest0,,-67.0,2,,1676955959000
85168,7.5909e+93,2023/02/21 13:04:32,1,0926bde8bletest0,,-63.0,1,,1676955959000
85172,7.5909e+93,2023/02/21 13:04:33,1,0926bde8bletest0,,-60.0,1,,1676955959000
85183,7.5909e+93,2023/02/21 13:04:34,1,0926bde8bletest0,,-60.0,1,,1676955959000
85190,7.5909e+93,2023/02/21 13:04:35,1,0926bde8bletest0,,-61.0,1,,1676955959000
85198,7.5909e+93,2023/02/21 13:04:36,1,0926bde8bletest0,,-67.0,2,,1676955959000
85200,7.5909e+93,2023/02/21 13:04:37,1,0926bde8bletest0,,-66.0,2,,1676955959000
85208,7.5909e+93,2023/02/21 13:04:38,1,0926bde8bletest0,,-67.0,2,,1676955959000
85212,7.5909e+93,2023/02/21 13:04:39,1,0926bde8bletest0,,-60.5,1,,1676955959000
85226,7.5909e+93,2023/02/21 13:04:41,1,0926bde8bletest0,,-59.0,1,,1676955959000
85155,7.5909e+93,2023/02/21 13:05:14,1,0926bde8bletest0,,-66.5,2,,1676955959000
85167,7.5909e+93,2023/02/21 13:05:15,1,0926bde8bletest0,,-59.66666666666666,1,,1676955959000
85180,7.5909e+93,2023/02/21 13:05:16,1,0926bde8bletest0,,-63.0,1,,1676955959000
85189,7.5909e+93,2023/02/21 13:05:17,1,0926bde8bletest0,,-61.0,1,,1676955959000
85193,7.5909e+93,2023/02/21 13:05:18,1,0926bde8bletest0,,-65.33333333333333,2,,1676955959000
85197,7.5909e+93,2023/02/21 13:05:19,1,0926bde8bletest0,,-60.333333333333336,1,,1676955959000
85201,7.5909e+93,2023/02/21 13:05:20,1,0926bde8bletest0,,-65.5,2,,1676955959000
85205,7.5909e+93,2023/02/21 13:05:21,1,0926bde8bletest0,,-59.0,1,,1676955959000
85209,7.5909e+93,2023/02/21 13:05:22,1,0926bde8bletest0,,-62.66666666666666,1,,1676955959000
85213,7.5909e+93,2023/02/21 13:05:23,1,0926bde8bletest0,,-64.5,1,,1676955959000
85865,7.5909e+93,2023/02/21 13:06:45,1,0926bde8bletest0,,-62.0,1,,1676956052000
85869,7.5909e+93,2023/02/21 13:06:46,1,0926bde8bletest0,,-62.0,1,,1676956052000
85872,7.5909e+93,2023/02/21 13:06:47,1,0926bde8bletest0,,-64.0,1,,1676956052000
85873,7.5909e+93,2023/02/21 13:06:48,1,0926bde8bletest0,,-66.0,2,,1676956052000
85875,7.5909e+93,2023/02/21 13:06:49,1,0926bde8bletest0,,-72.5,2,,1676956052000
