id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
90263,cb581061,2023/02/21 13:19:29,1,fedc20debletest0,,-65.625,2,,1676956796000
90271,cb581061,2023/02/21 13:19:30,1,fedc20debletest0,,-75.5,2,,1676956796000
90884,cb581061,2023/02/21 13:20:00,1,fedc20debletest0,,-70.66666666666667,2,,1676956893000
90886,cb581061,2023/02/21 13:20:01,1,fedc20debletest0,,-78.0,3,,1676956893000
90888,cb581061,2023/02/21 13:20:02,1,fedc20debletest0,,-77.0,3,,1676956893000
90890,cb581061,2023/02/21 13:20:03,1,fedc20debletest0,,-72.0,2,,1676956893000
90893,cb581061,2023/02/21 13:20:04,1,fedc20debletest0,,-74.0,2,,1676956893000
90895,cb581061,2023/02/21 13:20:05,1,fedc20debletest0,,-62.85714285714285,1,,1676956893000
90897,cb581061,2023/02/21 13:20:06,1,fedc20debletest0,,-76.0,3,,1676956893000
90900,cb581061,2023/02/21 13:20:07,1,fedc20debletest0,,-77.25,3,,1676956893000
90902,cb581061,2023/02/21 13:20:08,1,fedc20debletest0,,-68.63636363636364,2,,1676956893000
90904,cb581061,2023/02/21 13:20:09,1,fedc20debletest0,,-66.11111111111111,2,,1676956893000
90907,cb581061,2023/02/21 13:20:10,1,fedc20debletest0,,-69.0,2,,1676956893000
90909,cb581061,2023/02/21 13:20:11,1,fedc20debletest0,,-69.0,2,,1676956893000
90911,cb581061,2023/02/21 13:20:12,1,fedc20debletest0,,-60.5,1,,1676956893000
90917,cb581061,2023/02/21 13:20:13,1,fedc20debletest0,,-68.0,2,,1676956893000
90885,cb581061,2023/02/21 13:20:47,1,fedc20debletest0,,-63.333333333333336,1,,1676956893000
90889,cb581061,2023/02/21 13:20:48,1,fedc20debletest0,,-68.0,2,,1676956893000
90891,cb581061,2023/02/21 13:20:49,1,fedc20debletest0,,-69.4,2,,1676956893000
90894,cb581061,2023/02/21 13:20:50,1,fedc20debletest0,,-66.77777777777777,2,,1676956893000
90896,cb581061,2023/02/21 13:20:51,1,fedc20debletest0,,-69.57142857142857,2,,1676956893000
90898,cb581061,2023/02/21 13:20:52,1,fedc20debletest0,,-65.25,2,,1676956893000
90901,cb581061,2023/02/21 13:20:53,1,fedc20debletest0,,-69.83333333333333,2,,1676956893000
90903,cb581061,2023/02/21 13:20:54,1,fedc20debletest0,,-65.2,2,,1676956893000
90905,cb581061,2023/02/21 13:20:55,1,fedc20debletest0,,-77.5,3,,1676956893000
90906,cb581061,2023/02/21 13:20:56,1,fedc20debletest0,,-72.27272727272727,2,,1676956893000
90910,cb581061,2023/02/21 13:20:57,1,fedc20debletest0,,-68.11111111111111,2,,1676956893000
90912,cb581061,2023/02/21 13:20:58,1,fedc20debletest0,,-68.25,2,,1676956893000
90914,cb581061,2023/02/21 13:20:59,1,fedc20debletest0,,-74.75,2,,1676956893000
90916,cb581061,2023/02/21 13:21:00,1,fedc20debletest0,,-67.6,2,,1676956893000
91471,cb581061,2023/02/21 13:21:38,1,fedc20debletest0,,-81.75,3,,1676956981000
